cell	n	n_in	peak	peak_lo	peak_hi	median	median_in	implied_fudge	implied_lo	implied_hi	sanity	note
A all matched hand pairs	56	40	138.28244685215094	134.4780472155884	141.68429906094894	138.73277008200816	143.30693267485748	0.860572004639366	0.836896115933214	0.8817427232768676	peak<median	fixed pairing, hand angle, PRODUCTION energies -- the scale estimator
B ledger-clean gammas only	50	36	138.35505432664314	134.4214411078427	141.8180310667915	138.73277008200816	141.84681819145032	0.861023862133198	0.8365438396123471	0.8825749765597114	peak<median	both gammas 0.80<=E_prod/E_lab<=1.25 -- scale without the clustering deficit
C production-accepted subset	30	29	135.75029268301932	132.25875189298674	138.79243893724856	138.73277008200816	138.94318865603546	0.8448136705992159	0.8230847937579558	0.8637458341528973	peak<median	NOT a scale estimator: the (100,160) acceptance window truncates it
D ncpi0 origin only	25	20	136.96196144601936	129.31009764252434	142.3743663332508	145.67147428929303	144.82580284687603	0.85235423876293	0.8047344582159337	0.8860372132094603	peak<median	the pr/126 PRIMARY gate, like-for-like with its 139.8 MeV at fudge 0.80
