sample	evt	shower_id	start_seg	E	L	nmem	trk_len	trk_frac	trk_frac_sl	maxUnflag	conn
nueCC48	389538	54060	7	236.57443711259776	50.489940921997444	8	1.5	0.0297	0.0	5.11	3
nueCC48	400474	18139	0	1262.9362296478932	251.98061467344115	45	6.9	0.0274	0.0	27.23	1
nueCC48	42280	8023	0	1791.0822959675077	470.1835390299998	57	15.57	0.0331	0.0	24.92	1
nueCC48	422851	1017	0	1184.726166482597	235.17787098378767	61	19.24	0.0818	0.0	23.6	1
nueCC48	423981	12088	0	879.5457904494889	200.4728959550551	31	12.44	0.0621	0.0	1.55	1
nueCC48	433451	4031	0	2077.871370408545	429.4778300339746	96	27.46	0.0639	0.0	27.31	1
nueCC48	437699	11024	0	1284.3004293025401	251.24385138814984	45	51.76	0.206	0.0	23.54	1
nueCC48	447477	11018	3	812.9442622208717	156.9100255248697	23	13.34	0.085	0.0	38.31	1
nueCC48	46363	19084	0	606.2936285441608	108.00710965886022	30	13.14	0.1216	0.0	26.66	1
nueCC48	469665	15003	3	745.029247160859	187.48972802422202	30	29.61	0.1579	0.0573	27.47	1
nueCC48	489330	4020	0	1485.4023390024715	306.03951641759403	49	12.19	0.0398	0.0	22.37	1
nueCC48	52672	80079	6	453.2472711844345	90.07340576927422	12	6.24	0.0693	0.0	3.25	3
nueCC48	52672	9001	46	551.819417850922	123.04931347533145	13	0	0.0	0.0	13.69	4
nueCC48	54095	17044	0	2650.9656496970606	551.3457098032893	81	23.55	0.0427	0.0	20.67	1
nueCC48	69314	3015	27	595.8948285417069	147.09566146921821	21	7.28	0.0495	0.0	38.39	1
nueCC48	74544	12107	0	2062.245722074373	383.1454845540185	51	14.91	0.0389	0.0	38.52	1
nueCC48	81597	19009	0	1414.4074220760965	304.41949434150354	57	15.74	0.0517	0.0	10.57	1
nueCC48	90055	11032	2	2047.8748290028884	440.20171706940084	60	12.88	0.0293	0.0	14.73	1
NCpi0	105946	55043	0	508.40782737130525	112.96922093031023	20	2.24	0.0198	0.0	6.93	2
NCpi0	105946	53029	3	110.16668561062518	29.542850667286793	6	10.83	0.3665	0.0	3.25	2
NCpi0	142421	108106	0	612.3270410083948	148.16470146499333	42	17.55	0.1185	0.0	9.44	2
NCpi0	142421	7013	20	795.2512861806063	41.924174843012366	1	0	0.0	0.0	41.92	3
NCpi0	180801	15091	0	338.87239732147026	80.10133468295813	7	0	0.0	0.0	1.86	1
NCpi0	180801	81046	2	398.17720604888393	96.39254461434429	8	32.22	0.3342	0.0	6.44	2
NCpi0	18625	126070	0	718.9379295317202	190.3856321732009	35	17.67	0.0928	0.0	11.76	2
NCpi0	21073	60070	1	758.0991135140695	219.28206129967688	37	2.15	0.0098	0.0	6.24	2
NCpi0	21073	63101	2	108.89119657197493	35.53168804419164	7	0.99	0.0279	0.0	0.0	2
NCpi0	259542	17138	8	998.993879426794	154.6949758262562	20	31.22	0.2018	0.0	20.33	2
NCpi0	259542	124087	13	189.15804718884874	25.53300323442415	2	0	0.0	0.0	21.44	2
NCpi0	259542	131132	18	156.19778569342253	29.33688077297229	5	0.72	0.0245	0.0	0.0	3
NCpi0	285567	8105	0	1193.2909172050367	185.0017833023465	14	58.82	0.3179	0.3114	47.48	1
