evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
388	nuecc48	human	0	23009	0.22	1	0	0	23009	23009	23009	23009	23009	None	None	23009	1
10550	nuecc48	human	0	49071	0.00	0	0	0	7001	7009	7009	7009	7009	None	None	7001	0
18625	ncpi0	human	0	11003	2.79	1	0	0	11003	11003	11003	11003	11003	None	None	11003	1
21073	ncpi0	human	0	11001	0.16	1	0	0	11004	11001	11001	11001	11001	None	None	11004	1
30504	nuecc48	human	0	11001	0.00	0	0	0	11021	55053	11021	11021	11021	None	None	11021	0
37112	ncpi0	human	0	84098	0.21	0	0	0	9009	84099	84099	84099	84099	None	None	9009	0
38856	nuecc48	human	0	12004	0.00	0	0	0	12004	12014	12014	12014	12014	None	None	12004	0
42280	nuecc48	human	0	8001	0.13	1	0	0	8001	8001	8001	8001	8001	None	None	8001	1
46363	nuecc48	human	0	19001	0.00	1	0	0	19001	19001	19001	19001	19001	None	None	19001	1
47058	mcp2k	ai-scanner	0	11002	0.00	1	0	0	11002	11002	11002	11002	11002	None	None	11002	1
47278	mcp2k	ai-scanner	0	6004	0.30	1	0	0	6004	6004	6004	6004	6004	None	None	6004	1
47784	mcp2k	ai-scanner	0	17003	0.38	1	0	0	17003	17003	17003	17003	17003	None	None	17003	1
47916	mcp2k	ai-scanner	0	11002	0.00	1	0	0	11002	11002	11002	11002	11002	None	None	11002	1
48367	mcp1k	human	0	19001	0.00	0	0	0	19001	19001	19001	19001	19001	None	None	19001	1
48488	mcp2k	ai-scanner	0	21002	0.79	1	0	0	21002	21002	21002	21002	21002	None	None	21002	1
48774	mcp2k	ai-scanner	0	7003	0.82	1	0	0	7003	7003	7003	7003	7003	None	None	7003	1
48895	mcp1k	human	0	17001	0.00	1	0	0	17001	17001	17001	17001	17001	None	None	17001	1
49742	mcp2k	human	0	16000	0.00	1	0	0	16000	20003	16000	16000	16000	None	None	16000	1
49951	mcp1k	human	0	16002	0.01	1	0	0	16002	16002	16002	16002	16002	None	None	16002	1
50182	mcp2k	ai-scanner	0	10002	0.24	1	0	0	10002	10002	10002	10002	10002	None	None	10002	1
50303	mcp1k	human	0	12004	0.00	0	0	0	12005	66027	12005	12005	12005	None	None	12005	0
