setname	sample	event	origin	match	mass_vertex	mass_axis	why
141	mcp2k	57709	other_em	exact	161.78756024411422	178.31262518374822	
98	mcp1k	64591	ncpi0	exact	149.5837856118518	173.98104698528056	
98	ncpi0	71372	ncpi0	exact	139.23263424509608	140.04418054760515	
141	mcp2k	71872	numucc_em	exact	101.14115014379587	97.14203623319904	
141	mcp2k	74123	numucc_em	exact	151.58041331154152	177.70337348904488	
141	mcp2k	91917	numucc_em	exact	140.74162841182454	152.43618946159137	
141	mcp2k	99782	numucc_em	exact	158.83697077197914	153.87237346672694	
98	mcp2k	99838	ncpi0	exact	125.75048735293461	111.9880365050334	
98	mcp1k	169356	ncpi0	exact	138.08985754498488	155.91090960725785	
141	mcp2k	171729	numucc_em	exact		130.73681747607972	
98	mcp2k	173093	ncpi0	exact	148.99379139810804	149.85463870065396	
141	mcp2k	242726	numucc_em	exact	134.52706080296065	161.7599776859509	
98	mcp1k	278794	ncpi0	exact	159.07220820649397	143.01116149129618	
98	mcp2k	281165	ncpi0	exact	148.10533784720272	137.3890466402442	
98	mcp1k	281639	ncpi0	exact	128.09304032730137	125.08228423087716	
141	mcp1k	283713	numucc_em	exact	94.77528160596205	90.83918434820013	
98	mcp1k	284235	ncpi0	exact	146.45053877227502	161.0706247178788	
141	mcp1k	292027	numucc_em	exact	154.68540489877725	154.10119135496205	
141	mcp2k	292524	numucc_em	exact	114.29581876525504	88.03659055975979	
98	ncpi0	359980	ncpi0	exact	157.35022974643715	184.49214176250865	
98	mcp1k	399052	ncpi0	exact	159.03889679896517	161.02102551580813	
141	mcp1k	399118	numucc_em	exact	141.93717724610497	157.25376922237294	
141	mcp1k	400504	numucc_em	exact	141.7750147392416	164.8858863027366	
141	mcp2k	403023	numucc_em	exact	159.6084296205512	169.7025259733456	
141	mcp1k	489327	numucc_em	exact	130.75643741067202	124.91053951208387	
141	mcp2k	499577	numucc_em	exact	119.4652320022505	126.53295073705125	
141	mcp2k	52044	numucc_em	no-group		195.12728488286686	g1:pdg=211
141	mcp1k	54341	other_em	no-group	100.6815746980868	135.21072087119535	g2:pdg=211
141	mcp1k	56243	numucc_em	no-group	165.92634680166552	138.85857185327333	mass 166 outside with-vertex window (100,160)
141	mcp1k	71178	other_em	no-group	25.645294226526467	149.77823286927205	mass 26 outside with-vertex window (100,160)
141	mcp2k	103798	other_em	no-group	74.49607670055852	137.75028667686092	mass 74 outside with-vertex window (100,160)
141	mcp1k	168432	numucc_em	no-group	61.631744136586256	117.01702611882429	mass 62 outside with-vertex window (100,160)
98	mcp1k	169626	owner	no-group	145.44846908337985	144.57156906285562	g2:pdg=211
141	mcp1k	285443	numucc_em	no-group	161.4970461424005	163.85765699155306	mass 161 outside with-vertex window (100,160)
98	ncpi0	285567	ncpi0	no-group		147.9300576732301	g2:pdg=211
98	nuecc48	342199	nuecc	no-group	152.86601403889549	118.89753945653113	
98	mcp1k	347129	owner	no-group	131.1284602972805	130.69122634252085	
98	ncpi0	506746	ncpi0	no-group		142.62121242498984	g2:pdg=211
98	mcp2k	47212	ncpi0	none	132.75811026491846	131.4102586155196	g1:pdg=2212; g2:pdg=2212
98	mcp1k	281485	ncpi0	none	67.22058155874241	60.612099133634885	mass 67 outside with-vertex window (100,160)
98	ncpi0	21073	ncpi0	partial	218.5235697237694	201.83219224627797	mass 219 outside with-vertex window (100,160)
98	mcp2k	54332	ncpi0	partial	111.93802654558117	147.0509219562497	
98	mcp2k	76346	ncpi0	partial	40.77003833325798	40.76047560570244	g2:len<3cm; mass 41 outside with-vertex window (100,160)
98	ncpi0	105946	ncpi0	partial	133.8210096912716	226.3411786014171	
98	mcp1k	166870	ncpi0	partial	116.29154311507344	116.12680535768705	g2:pdg=13
98	nuecc48	269774	nuecc	partial	154.31411906030496	162.58885764081114	
141	mcp2k	280159	numucc_em	partial	75.6007655793415	133.9402018530602	mass 76 outside with-vertex window (100,160)
141	mcp2k	347824	numucc_em	partial	114.0077707067417	112.98648707335155	g1:absent-on-arm
98	mcp1k	409634	ncpi0	partial	83.43074115696923	41.02596081710179	mass 83 outside with-vertex window (100,160)
98	ncpi0	506114	ncpi0	partial	158.9218945128548	279.83645890871475	
