evt	arm	em_excl	deg	n_trk_near	n_sh_near	n_stubs	n_passthru	n_shortcut	n_orphans	kink	kink_seg	numu	nue	detail
166738	work-pr103-on-mcp1k	0	2	2	0	0	0	0	0	0.59	16001	3.901160717010498	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
166804	work-pr103-on-mcp1k	0	2	2	0	0	0	0	0	0.16	9003	-1.2655905485153198	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
166870	work-pr103-on-mcp1k	0	3	2	0	0	0	0	0	1.91	10074	-0.540395200252533	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
167112	work-pr103-on-mcp1k	0	3	3	0	0	0	0	0	0.89	16001	3.56064510345459	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
167684	work-pr103-on-mcp1k	1	2	1	1	0	0	0	0	0.0	-1	-1.5693708658218384	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
168432	work-pr103-on-mcp1k	0	3	3	0	0	0	0	0	0.4	19032	2.0067663192749023	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
168526	work-pr103-on-mcp1k	0	4	4	0	0	0	0	0	2.17	19024	3.7231152057647705	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
168614	work-pr103-on-mcp1k	0	1	1	0	0	0	0	0	0.73	5002	2.364877939224243	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
168658	work-pr103-on-mcp1k	0	1	1	0	0	0	0	0	0.6	12000	1.9718239307403564	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
169356	work-pr103-on-mcp1k	0	2	2	0	0	0	0	0	0.24	16005	0.9956201910972595	-15.0	{"stubs": [], "passthru": [], "shortcut": [], "orphans": []}
169488	work-pr103-on-mcp1k	0	1	0	0	1	0	0	0	0.0	-1	-1.7560523748397827	-15.0	{"stubs": [[8000, 0.99]], "passthru": [], "shortcut": [], "orphans": []}
