arm	event	kind	cluster	segs	overlap	angle_or_ratio	len_a_or_path	len_b_or_chord
work-nuecc48-pr83off	214469	fold	16	16050	0.087	5.1	27.2	5.4
work-nuecc48-pr83off	246579	dup	19	19055/19104	0.864	2.1	12.8	24.1
work-nuecc48-pr83off	269774	dup	13	13014/13016	1.000	5.6	14.1	16.3
work-nuecc48-pr83off	400474	retrace	18	18132	1.000	42.3	31.3	0.7
work-nuecc48-pr83off	46363	dup	19	19109/19108	0.704	17.2	15.8	16.5
work-ncpi0-pr83off	359980	dup	75	75097/75096	0.821	7.3	16.4	24.6
work-ncpi0-pr83off	506114	dup	19	19034/19025	0.810	18.2	11.9	11.9
work-ncpi0-pr83off	506746	dup	13	13018/13014	0.950	3.8	11.5	15.9
work-ncpi0-pr83off	521075	dup	18	18025/18027	0.955	8.5	12.9	14.6
work-mcp1k-pr83off	283040	dup	2	2005/2004	0.945	2.9	75.7	76.4
work-mcp1k-pr83off	283040	dup	2	2008/2004	0.797	1.2	70.3	76.4
work-mcp1k-pr83off	283040	dup	2	2008/2005	0.992	1.8	70.3	75.7
work-mcp1k-pr83off	285564	retrace	9	9003	1.000	37.2	25.1	0.7
work-mcp1k-pr83off	285564	fold	9	9004	0.367	5.7	71.2	12.6
work-mcp1k-pr83off	315167	dup	8	8012/8013	0.727	18.5	12.6	15.7
work-mcp1k-pr83off	350935	dup	11	11004/11001	1.000	4.0	13.4	251.4
work-mcp1k-pr83off	353223	retrace	15	15010	0.978	156.8	55.3	0.4
work-mcp1k-pr83off	394796	retrace	15	15014	0.723	2802.7	120.7	0.0
work-mcp1k-pr83off	404684	dup	9	9005/9004	0.741	4.5	15.8	61.5
work-mcp1k-pr83off	59899	dup	5	5006/5005	0.985	17.7	40.5	68.1
work-mcp1k-pr83off	59899	dup	5	5009/5005	0.886	18.9	41.2	68.1
work-mcp1k-pr83off	59899	dup	5	5006/5009	1.000	1.9	40.5	41.2
work-mcp1k-pr83off	59899	retrace	5	5005	1.000	55.2	68.1	1.2
work-mcp1k-pr83off	64409	dup	8	8038/8043	1.000	14.2	10.3	16.4
work-mcp1k-pr83off	72586	fold	17	17004	0.239	295.1	633.2	2.1
