ev	seg	pdg	verdict	kept	len_cm	mdqdx	p90dqdx	score	declined	key
388	53068	13	UNL	1	0.4	0.679	0.828	100.0	0	0
388	60076	13	UNL	1	0.37	1.001	1.018	100.0	0	0
388	65081	2212	UNL	1	0.39	1.441	1.475	100.0	0	0
388	68084	13	UNL	1	0.36	0.739	0.95	100.0	0	0
388	71087	13	UNL	1	0.25	0.703	0.721	100.0	0	0
388	72088	13	UNL	1	1.81	0.926	1.605	100.0	0	0
388	74091	13	UNL	1	0.57	0.892	0.917	100.0	0	0
388	76093	13	UNL	1	1.02	0.92	1.051	100.0	0	0
388	77094	13	UNL	1	0.21	0.92	0.96	100.0	0	0
388	78095	13	UNL	1	0.07	0.721	0.79	100.0	0	0
388	79096	13	UNL	1	0.34	0.368	0.4	100.0	0	0
388	80097	13	UNL	1	0.35	0.59	0.641	100.0	0	0
388	84102	13	UNL	1	0.35	1.091	1.123	100.0	0	0
388	85103	2212	UNL	1	0.38	1.693	1.705	100.0	0	0
388	86104	13	UNL	1	0.46	0.906	0.966	100.0	0	0
388	89107	13	UNL	1	0.41	0.592	0.626	100.0	0	0
388	90108	13	UNL	1	0.3	0.586	0.779	100.0	0	0
388	95141	2212	UNL	1	4.71	1.316	1.891	100.0	0	0
388	98180	2212	UNL	1	0.76	1.343	1.38	100.0	0	0
10550	28042	13	UNL	1	0.41	0.668	0.71	100.0	0	0
10550	29043	13	UNL	1	0.7	0.397	0.4	100.0	0	0
10550	30044	13	UNL	1	0.73	0.828	0.946	100.0	0	0
10550	31045	13	UNL	1	0.26	0.47	0.526	100.0	0	0
10550	32046	2212	UNL	1	1.02	1.388	1.648	100.0	0	0
10550	33047	13	UNL	1	0.49	0.999	1.038	100.0	0	0
10550	35049	13	UNL	1	0.36	0.492	0.506	100.0	0	0
10550	36050	13	UNL	1	0.41	0.618	0.619	100.0	0	0
10550	38052	13	UNL	1	0.39	1.011	1.027	100.0	0	0
10550	41055	2212	UNL	1	1.92	1.398	1.482	100.0	0	0
10550	43057	2212	UNL	1	0.48	1.56	1.781	100.0	0	0
10550	47061	2212	UNL	1	0.36	1.207	1.846	100.0	0	0
10550	49068	2212	UNL	1	8.45	2.068	2.632	100.0	0	0
10550	49071	13	UNL	1	7.84	1.147	1.744	100.0	0	0
10550	61081	13	UNL	1	0.34	0.547	0.614	100.0	0	0
10550	63083	13	UNL	1	1.92	1.001	1.415	100.0	0	0
10550	64096	13	UNL	1	4.77	0.925	1.974	100.0	0	0
10550	65098	2212	UNL	1	1.08	1.22	1.902	100.0	0	0
30504	43025	13	UNL	1	0.37	0.87	0.905	100.0	0	0
30504	44026	13	UNL	1	0.5	0.881	1.19	100.0	0	0
30504	49031	2212	UNL	1	0.24	1.742	1.766	100.0	0	0
30504	51033	13	UNL	1	0.58	1.146	1.181	100.0	0	0
30504	54036	13	UNL	1	0.78	1.005	1.145	100.0	0	0
30504	56038	13	UNL	1	0.55	1.14	1.197	100.0	0	0
30504	59041	2212	UNL	1	0.26	1.28	1.33	100.0	0	0
30504	60042	13	UNL	1	0.28	0.522	0.648	100.0	0	0
30504	61043	13	UNL	1	3.48	0.886	1.091	100.0	0	0
30504	64046	13	UNL	1	7.23	0.94	1.234	100.0	0	0
30504	66053	211	UNL	1	7.88	0.89	1.285	100.0	0	0
30504	66054	2212	UNL	1	4.75	1.874	2.273	100.0	0	0
37112	35016	13	UNL	1	0.17	0.734	0.744	100.0	0	0
37112	36017	13	UNL	1	0.32	0.845	0.856	100.0	0	0
37112	38019	13	UNL	0	0.95	0.961	0.98	100.0	0	0
38856	34039	13	UNL	1	0.23	0.516	0.538	100.0	0	0
38856	36041	13	UNL	1	0.36	0.674	0.815	100.0	0	0
38856	37042	13	UNL	1	0.62	0.784	0.803	100.0	0	0
38856	40045	13	UNL	1	0.46	1.035	1.21	100.0	0	0
38856	41046	13	UNL	1	0.64	0.922	0.992	100.0	0	0
38856	43048	13	UNL	1	2.65	0.971	1.543	100.0	0	0
38856	46051	13	UNL	1	5.11	0.948	1.425	100.0	0	0
38856	61059	13	UNL	1	1.8	0.797	1.001	100.0	0	0
38856	66070	13	UNL	0	0.55	1.154	1.202	100.0	0	0
38856	68072	13	UNL	1	0.25	0.797	0.826	100.0	0	0
38856	69077	13	UNL	1	6.47	0.542	0.736	100.0	0	0
38856	69078	211	UNL	1	4.32	0.933	1.582	100.0	0	0
42280	31078	13	UNL	1	0.59	2.236	2.589	0.33806720902678106	0	0
42280	33080	13	UNL	1	0.2	1.025	1.064	100.0	0	0
42280	34081	2212	UNL	1	0.66	1.673	1.675	100.0	0	0
42280	36083	13	UNL	1	2.55	1.19	1.354	100.0	0	0
42280	38085	13	UNL	1	1.71	0.885	0.984	100.0	0	0
42280	39086	13	UNL	1	2.39	1.097	1.58	100.0	0	0
42280	41088	13	UNL	1	0.23	0.401	0.409	100.0	0	0
