event	node	verdict	own_k	n_seed	nacc	valley	a_k2	a_k3
396222	9059	SPLIT4+	7	4	2	0.2447	0.5716495484531385	0.3845454649823733
415278	23037	SPLIT4+	5	4	2	0.6592	0.8009982200232705	0.872488027193119
415278	23012	SPLIT3	3	4	2	0.519	0.9196833643944955	0.9196833643944955
463565	13001	SPLIT3	3	4	2	0.5183	0.9064783948730183	0.9064783948730183
67394	58035	SPLIT2	2	4	2	0.0119	1.0	1.0
84229	69134	SPLIT2	2	4	2	0.9298	1.0	1.0
98844	6013	SPLIT2	2	4	2	0.9405	0.9453123217574109	0.9453123217574109
174771	91075	SPLIT2	2	4	2	0.4057	0.8758867204307005	0.8758867204307005
175896	17044	SPLIT2	2	3	2	0.9222	1.0	1.0
269774	13237	SPLIT2	2	4	2	0.8566	0.8990782864538183	0.8990782864538183
281325	42039	SPLIT2	2	4	2	0.4098	1.0	1.0
281485	89095	SPLIT2	2	2	2	0.9403	1.0	1.0
294174	16004	SPLIT2	2	2	2	0.0	1.0	1.0
294174	71067	SPLIT2	2	4	2	0.6987	1.0	1.0
314838	110088	SPLIT2	2	4	2	0.7818	1.0	1.0
350354	18092	SPLIT2	2	4	2	0.084	1.0	1.0
396037	69026	SPLIT2	2	4	2	0.7458	1.0	1.0
406125	38021	SPLIT2	2	4	2	0.3914	1.0	0.94835656992485
415278	83139	SPLIT2	2	4	2	0.3254	1.0	1.0
54332	122091	KEEP	1	4	2	0.0	0.7421875	0.4933448573898012
165157	9000	KEEP	1	4	2	0.638	0.5270054330457016	0.5270054330457016
174771	87065	KEEP	1	2	2	0.0089	0.956399661790278	0.956399661790278
278420	61027	KEEP	1	4	2	0.2067	0.5169204737732654	0.5169642101700651
393505	63025	KEEP	1	4	2	0.0071	0.9101689890305366	0.7777283511269276
