event	numu	nue	cosmict	enu	dvtx_cm
283040	1.924->1.234	=	=	965->431	0.1
285564	0.984->1.243	=	=	577->340	10.8
353223	1.160->-1.204	=	=	175->250	0.2
394796	2.361->2.266	=	=	855->855	0.5
59899	1.253->-1.525	=	=	654->355	38.3
66712	1.002->1.109	-4.301->-15.000	=	703->906	0.1
72586	1.837->0.584	=	=	1517->827	0.5
