setname	sample	event	labelsrc	origin	theta_deg	e1_prod	e2_prod	m_prod	R_prod	A_prod	mark_in1	mark_out1	mark_in2	mark_out2	d1_arm	d2_arm	m_marks	R_marks	in_window	in_window_marks	has_marks	accepted
98	ncpi0	21073	base	ncpi0	45.689	680.2	104.7	207.3	2.258	0.68	76.0	0	0	0	76.0	0.0	218.5	2.476	0	0	1	0
98	mcp2k	47212	base	ncpi0	67.06	221.9	65.1	132.8	1.174	0.838	0	0	0	0	0.0	0.0	132.8	1.174	1	1	0	0
98	mcp2k	54332	base	ncpi0	61.855	139.6	65.0	97.9	0.779	0.931	52.5	0	0	0	52.5	0.0	114.8	0.979	0	1	1	0
98	mcp1k	64591	base	ncpi0	74.918	303.3	52.9	154.1	1.605	0.711	4.1	0	0	0	4.1	0.0	155.2	1.624	1	1	1	1
98	ncpi0	71372	base	ncpi0	102.712	118.1	81.3	153.1	1.154	0.983	0	0	0	0	0.0	0.0	153.1	1.154	1	1	0	1
98	mcp2k	99838	base	ncpi0	67.305	131.5	108.8	132.6	0.987	0.996	0	0	0	0	0.0	0.0	132.6	0.987	1	1	0	1
98	ncpi0	105946	base	ncpi0	41.033	501.8	47.1	107.8	1.425	0.56	110.2	0	13.2	0	110.2	13.2	134.7	1.746	1	1	1	0
98	ncpi0	142421	overlay	ncpi0	23.329	706.5	583.7	259.6	1.932	0.995	0	0	0	0	0.0	0.0	259.6	1.932	0	0	0	0
98	mcp2k	165157	overlay	ncpi0	52.771	167.6	127.4	129.9	0.971	0.991	0	0	0	0	0.0	0.0	129.9	0.971	1	1	0	0
98	mcp1k	166870	base	ncpi0	90.475	177.2	38.6	117.4	1.135	0.766	2.4	0	0	0	2.4	0.0	118.2	1.148	1	1	1	0
98	mcp1k	169356	base	ncpi0	96.932	100.2	88.6	141.1	1.047	0.998	0	0	0	0	0.0	0.0	141.1	1.047	1	1	0	1
98	mcp1k	169626	base	owner	35.172	537.1	107.9	145.4	1.444	0.746	23.6	0	0	0	23.6	0.0	148.6	1.497	1	1	1	0
98	mcp2k	173093	base	ncpi0	95.983	224.1	38.8	138.6	1.448	0.71	39.4	0	0	0	39.4	0.0	150.3	1.664	1	1	1	1
98	mcp2k	176986	overlay	ncpi0	46.008	176.5	120.1	113.8	0.859	0.982	0	0	0	0	0.0	0.0	113.8	0.859	1	1	0	0
