event	truth	frac_wanted	keep_node	cand_node	conn1	conn2	mv1	mv2	len1	len2	gap	gap_exact	angle_fold	nstep	ngood	nbad	badrun	cont_frac	qmed	qfrac	dqdx_frag	dqdx_abs	t0_frag	t0_abs	walked	ax15_ang	ax100_ang	ax_d	jx15_ang	jx100_ang	jx_d
388	DISTINCT	0.0	23032	23028	1	1	1	1	307.8	153.5	0.0	0.0	46.8	0	0	0	0	1.0	-1.0	-1.0	5216.0	6319.0	1.7	1.7	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
388	DISTINCT	0.0	23028	58073	1	3	1	0	153.5	0.4	19.78	19.78	55.25	32	0	32	32	0.0	0.0	0.438	3333.1	6510.4	1.7	1.7	1	20.4	26.31	86.5	20.4	26.31	86.5
388	DISTINCT	0.0	23028	67083	1	3	1	0	153.5	0.4	14.85	14.85	71.3	24	1	23	23	0.042	1923.4	1.0	3207.9	5216.0	1.7	1.7	1	52.05	38.09	18.97	51.1	37.23	18.92
388	DISTINCT	0.0	23032	67083	1	3	1	0	307.8	0.4	10.05	10.05	80.39	16	1	15	15	0.062	2304.8	0.688	3207.9	6319.0	1.7	1.7	1	32.16	31.85	18.97	32.16	31.85	18.97
388	DISTINCT	0.0	23028	69085	1	3	1	0	153.5	0.3	11.19	11.19	82.44	18	0	18	18	0.0	8471.6	0.778	5725.1	5216.0	1.7	1.7	1	29.12	29.26	24.01	29.12	29.26	24.01
388	DISTINCT	0.0	23032	69085	1	3	1	0	307.8	0.3	13.21	13.21	72.66	21	3	18	18	0.143	0.0	0.429	5725.1	6319.0	1.7	1.7	1	35.36	34.71	24.01	35.02	34.38	24.0
388	DISTINCT	0.0	67083	69085	3	3	0	0	0.4	0.3	21.61	21.61	19.11	35	0	35	35	0.0	0.0	0.371	5725.1	3207.9	1.7	1.7	1	67.34	67.34	21.77	68.03	68.03	21.76
388	DISTINCT	0.0	23032	81098	1	3	1	0	307.8	6.2	20.98	20.98	29.36	34	0	34	34	0.0	376.4	0.588	7419.4	3467.0	1.7	1.7	1	45.08	45.12	71.85	35.73	34.68	64.7
388	DISTINCT	0.0	28067	97179	3	4	0	0	2.9	2.3	8.03	8.03	87.9	12	12	0	0	1.0	4648.1	1.0	5211.0	2939.7	1.7	1.7	1	33.37	33.37	11.74	23.94	23.94	10.36
10550	DISTINCT	0.0	7036	7016	1	1	1	1	150.2	3.7	0.0	0.0	80.99	0	0	0	0	1.0	-1.0	-1.0	18682.2	6809.3	1.2	1.2	1	-1.0	-1.0	0.0	-1.0	-1.0	0.0
