set	sample	event	shower	matched	sites	had_cone_seat	conn	seg	seg_cluster	seg_is_main	q	verdict	cur_owner	detail
98	nuecc48	269774	97197	97197	from_vertices	1	2	96190	96	0	352639.8	OWNED	13237	owner=13237 site=pass4_angle
98	nuecc48	269774	97197	97197	from_vertices	1	2	100213	100	0	77399.9	OWNED	13237	owner=13237 site=pass4_angle
98	nuecc48	269774	97197	97197	from_vertices	1	2	108232	108	0	25719.9	REJECT	13237	site=pass4_angle_cone angle_v2=5.1 dis=128.9
98	nuecc48	269774	97197	97197	from_vertices	1	2	109233	109	0	32408.5	REJECT	13237	site=pass4_angle_cone angle_v2=5.4 dis=139.4
98	mcp1k	281485	88090	88090	in_other_clusters_A	1	3	62041	62	0	50191.5	ABSENT	90104	
98	mcp1k	281485	88090	88090	in_other_clusters_A	1	3	90104	90	0	333688.0	OWNED	90104	owner=90104 site=in_other_clusters
98	mcp1k	281485	88090	88090	in_other_clusters_A	1	3	90105	90	0	187541.4	OWNED	90104	owner=90104 site=in_other_clusters
98	mcp1k	284235	74027	74027	from_vertices	1	2	38019	38	0	239700.3	REJECT	38019	site=pass4_angle_early angle_v2=33.8 dis=65.7
98	ncpi0	314838	110088	110088	from_vertices	1	2	13010	13	1	2036454.9	REJECT	13010	site=pass4_angle_early angle_v2=60.6 dis=17.4
98	ncpi0	314838	110088	110088	from_vertices	1	2	83027	83	0	28159.0	REJECT	87031	site=pass4_angle_cone angle_v2=25.2 dis=104.1
98	ncpi0	314838	110088	110088	from_vertices	1	2	85029	85	0	53932.5	REJECT	87031	site=pass4_angle_cone angle_v2=27.5 dis=110.9
98	ncpi0	314838	110088	110088	from_vertices	1	2	87031	87	0	80451.0	REJECT	87031	site=pass4_angle_early angle_v2=42.1 dis=100.9
98	ncpi0	314838	110088	110088	from_vertices	1	2	89033	89	0	38662.9	REJECT	13010	site=pass4_angle_early angle_v2=36.7 dis=55.9
98	ncpi0	314838	110088	110088	from_vertices	1	2	91035	91	0	63967.1	REJECT	87031	site=pass4_angle_cone angle_v2=29.7 dis=102.0
98	ncpi0	314838	110088	110088	from_vertices	1	2	94038	94	0	20778.3	REJECT	87031	site=pass4_angle_cone angle_v2=21.4 dis=112.3
98	ncpi0	314838	110088	110088	from_vertices	1	2	95039	95	0	58570.4	REJECT	87031	site=pass4_angle_cone angle_v2=23.9 dis=105.2
98	ncpi0	314838	110088	110088	from_vertices	1	2	109070	109	0	210963.5	REJECT	87031	site=pass4_angle_cone angle_v2=28.2 dis=111.7
98	ncpi0	314838	110088	110088	from_vertices	1	2	109071	109	0	46369.6	REJECT	87031	site=pass4_angle_cone angle_v2=28.1 dis=116.5
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	25035	25	0	513236.9	NO_SEAT	25109	
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	25037	25	0	269966.7	NO_SEAT	25109	
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	25038	25	0	385375.5	NO_SEAT	25109	
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	25108	25	0	37390.3	NO_SEAT	25109	
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	25109	25	0	15127.2	NO_SEAT	25109	
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	72098	72	0	65084.0	NO_SEAT	25109	
98	nuecc48	342199	74101	74101	in_other_clusters_B	0	3	73099	73	0	32167.4	NO_SEAT	25109	
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	36002	36	0	22995.3	ABSENT	36002	
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	37003	37	0	16386.3	ABSENT	37003	
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	38004	38	0	16203.5	ABSENT	38004	
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	39005	39	0	56405.4	ABSENT	39005	
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	40032	40	0	30632.9	OWNED	40032	owner=40032 site=in_other_clusters
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	40033	40	0	75833.5	OWNED	40032	owner=40032 site=in_other_clusters
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	41007	41	0	35630.1	OWNED	40032	owner=40032 site=in_other_clusters
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	42008	42	0	25569.3	ABSENT	42008	
98	mcp1k	347129	11000	11000	in_other_clusters_A	1	3	43009	43	0	40956.3	ABSENT	43009	
98	mcp1k	409634	69032	27015	from_vertices	1	2	69032	69	0	487324.4	REJECT	69032	site=pass4_angle_early angle_v2=169.7 dis=7.4
98	mcp1k	409634	69032	27015	from_vertices	1	2	69033	69	0	157933.4	REJECT	69032	site=pass4_angle_early angle_v2=169.7 dis=7.4
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	102168	102	0	134496.3	NO_SEAT	83139	
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	103169	103	0	75388.1	NO_SEAT	83139	
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	104175	104	0	228738.1	NO_SEAT	83139	
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	104176	104	0	406933.1	NO_SEAT	83139	
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	105181	105	0	148707.1	NO_SEAT	83139	
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	105182	105	0	391986.3	NO_SEAT	83139	
98	mcp2k	415278	23012	23012	in_main_cluster	0	1	110187	110	0	133623.7	NO_SEAT	83139	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	23047	23	0	2168026.9	SAME_CLUSTER	23047	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	56092	56	0	1736846.1	NO_SEAT	-1	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	75131	75	0	37277.9	NO_SEAT	99156	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	76132	76	0	89390.4	NO_SEAT	99156	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	77133	77	0	37261.5	NO_SEAT	96152	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	80136	80	0	174228.8	NO_SEAT	99156	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	96152	96	0	222052.6	NO_SEAT	96152	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	99156	99	0	376500.5	NO_SEAT	99156	
98	mcp2k	415278	23037	23037	in_main_cluster	0	1	99157	99	0	320396.3	NO_SEAT	99156	
98	nuecc48	423981	12095	12095	examine_shower_1_tmp	0	1	63070	63	0	31887.0	NO_SEAT	64071	
98	nuecc48	423981	12095	12095	examine_shower_1_tmp	0	1	64071	64	0	135278.7	NO_SEAT	64071	
98	nuecc48	444187	19079	19079	in_main_cluster	0	1	19039	19	1	171359.4	SAME_CLUSTER	19082	
98	nuecc48	444187	19079	19079	in_main_cluster	0	1	19067	19	1	1134734.5	SAME_CLUSTER	19082	
98	nuecc48	444187	19079	19079	in_main_cluster	0	1	19082	19	1	1245871.7	SAME_CLUSTER	19082	
98	nuecc48	444187	19079	19079	in_main_cluster	0	1	61074	61	0	56132.8	NO_SEAT	19082	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	48040	48	0	27705.9	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	49041	49	0	39063.0	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	50042	50	0	38894.2	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	51043	51	0	26750.3	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	59051	59	0	125008.9	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	72064	72	0	271839.7	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	73065	73	0	74181.2	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	75067	75	0	199048.5	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	109073	109	0	558621.1	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	109074	109	0	408865.9	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	110075	110	0	183178.5	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	111079	111	0	515923.3	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	112080	112	0	124114.0	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	113081	113	0	42806.4	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	114084	114	0	151690.8	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	114086	114	0	292455.5	NO_SEAT	114086	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115088	115	0	732470.2	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115090	115	0	171384.6	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115092	115	0	73442.3	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115094	115	0	31916.8	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115099	115	0	353856.3	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115100	115	0	944192.4	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115101	115	0	185032.3	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115102	115	0	225739.0	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115103	115	0	417500.1	NO_SEAT	115088	
98	ncpi0	463565	13001	13001	in_other_clusters_B	0	3	115106	115	0	519785.0	NO_SEAT	115088	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	32007	32	0	23124.8	NO_SEAT	68052	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	35010	35	0	26919.5	NO_SEAT	68052	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	37012	37	0	17942.1	NO_SEAT	68052	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	62073	62	0	391486.5	NO_SEAT	62073	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	62074	62	0	21307.4	NO_SEAT	62073	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	66042	66	0	369011.3	NO_SEAT	66042	
98	nuecc48	469665	15003	15003	connecting_to_main_vertex|examine_showers_retarget	0	1	66048	66	0	327944.4	NO_SEAT	66042	
141	mcp2k	52044	24035	58029	from_vertices	1	2	24007	24	0	478187.2	OWNED	24035	owner=24035 site=pass4_angle
141	mcp2k	52044	24035	58029	from_vertices	1	2	24009	24	0	832966.8	REJECT	-1	site=pass4_angle_early angle_v2=162.5 dis=25.6
141	mcp2k	52044	24035	58029	from_vertices	1	2	24034	24	0	63346.3	ABSENT	24035	
141	mcp2k	52044	24035	58029	from_vertices	1	2	24035	24	0	257806.3	ABSENT	24035	
141	mcp1k	54341	96031	96031	from_vertices	1	2	77019	77	0	14258.1	REJECT	77019	site=pass4_angle_early angle_v2=42.8 dis=36.3
