run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	282979	-0.93942404	-0.7487138			449.00674	603.9423		
18255	1	283009	1.6288607	3.9469771			592.2041	1131.9069		
18255	1	283040	3.6491568	1.5083554			651.2766	884.6566		
18255	1	283091	3.6794946	3.416691						
18255	1	283229	4.2298927	3.8255568			799.2926	807.1134		
18255	1	283463	-0.46106106	-2.0769591			306.94812	145.29384	0.0	6.972210366754291
18255	1	283595	-2.0617778	1.0176102			241.32695	590.953	0.0	4.221989547412102
18255	1	283713	4.0831575	4.301008			2032.4209	1849.4753		
18255	1	283771	3.4121277	3.4996727					0.0	1.0116228271445833
18255	1	283991	2.8497722	2.64091						
18255	1	284013	2.2708964	2.9192524	-15.0	-4.300936	509.86053	571.0645	0.0	8.62998023055187
18255	1	284103	2.6821454	2.501734						
18255	1	284145	2.7395058	3.339181			1612.627	1332.361	0.0	5.127625769397448
18255	1	284200	0.21660143	0.26776177						
18255	1	284211	2.7532113	2.4051034						
18255	1	284235	-0.20972593	-1.6708068			572.3728	284.2419	0.0	40.85732946042471
18255	1	284637	1.7045398	1.3325043						
18255	1	284657	3.5219896	3.268435						
18255	1	284769					1424.8433	1249.88		
18255	1	284794	3.3015637	3.0242512						
18255	1	285311	2.3393784	2.431687			888.8986	872.7098		
18255	1	285531	3.67154	4.250875						
18255	1	285564	0.99985236	1.2430178			346.56497	339.86676	0.0	1.7138966346793436
18255	1	285665	1.3295139	1.2563988						
18255	1	285753	-1.3010759	-1.5526699						
18255	1	285929					1165.9205	1311.4448		
18255	1	285971	3.2301087	2.7835183						
18255	1	286180	2.79916	2.2804248						
18255	1	286191	2.415968	2.2328467						
18255	1	286353	2.0157864	2.3508787			937.75653	943.12427	0.0	1.272702617521072
18255	1	286527					270.0105	281.19806		
18255	1	286655					420.83847	541.7749		
18255	1	286681	0.7851239	2.6726146			1814.9766	1235.2454	0.0	40.79836419028562
18255	1	286818	0.7986546	0.5205293						
18255	1	287211	2.7677836	2.59393			863.974	834.32947		
18255	1	287249	3.1638107	3.0689788						
18255	1	287517	3.0595348	3.0004444			702.71765	674.27673		
18255	1	287555	2.5335562	2.7417433			1220.1279	1026.5135	0.0	1.9273745437016143
18255	1	287599	1.6968961	1.3875846			399.36316	421.96985	0.0	4.833618461049677
18255	1	287621	2.6779206	2.233608			679.74243	891.7857		
18255	1	287654	2.0378714	-0.3654297	-4.300936	-15.0	641.15924	521.33704	0.0	52.27076208072411
18255	1	287825	3.0621867	3.2688124						
18255	1	288067	3.6871636	3.8677938						
18255	1	288287					1053.3767	1145.152	0.0	2.9376285399557043
18255	1	288358	3.4502063	3.515586						
18255	1	288639	2.9715486	2.665489						
18255	1	288745	0.6411022	0.8683705			702.46716	617.44324		
18255	1	288859	3.3591697	3.5260053						
18255	1	288947					949.6677	942.6362		
18255	1	289251	-0.041957486	0.15167946						
18255	1	289559	4.2873125	3.2305245			898.6867	872.4962		
18255	1	290052					502.76453	556.2494		
18255	1	290294	2.695602	2.5189872			277.85196	284.72394		
18255	1	290729	2.0589561	1.9332056			578.1945	507.25302		
18255	1	291037	1.9721779	1.7355497						
18255	1	291262					678.1344	523.5432		
18255	1	291548	1.5038197	1.6253517						
18255	1	291961			-15.0	-4.300936	1005.98	845.39453		
18255	1	292005	4.170196	4.301008			925.69006	920.1719	0.0	1.0607566850130867
18255	1	292027					1323.0354	1154.8556		
18255	1	292533					1120.4381	1114.6198	0.0	1.2316848123347133
18255	1	292687	3.8121216	4.1295133			763.84045	833.6957		
18255	1	293149	-1.0742053	-1.0012935					0.0	1.267354022860645
18255	1	313781	-3.1673007	-2.795867					0.0	2.6793380281890466
18255	1	314507	-0.12140931	0.056861345						
18255	1	314705	-0.7124728	-1.619071						
18255	1	315013	2.0414891	0.68083185			844.18054	660.14954	0.0	11.19723383161392
18255	1	315167	2.8047507	2.1128955			1425.9111	1583.3751		
18255	1	315343	-1.0001212	-0.65475255			393.64395	438.57806	0.0	10.798799250189818
18255	1	315871	2.542169	3.951096			581.112	600.5056		
18255	1	316003	-3.225632	-2.02841			232.94708	282.24115	0.0	1.8302991837674825
18255	1	316025	2.9184341	2.7409875			839.1819	736.2844		
18255	1	316553	3.7483284	4.2745986						
18255	1	316729	3.9586263	3.7282789			682.3154	668.78906	0.0	5.656320808124407
18255	1	317191					1050.7018	1062.54	0.0	1.5181653785079008
18255	1	317939	2.4537168	2.5727072			1340.9587	1457.1559	0.0	1.7966361768107122
18255	1	318731	3.3120654	3.6717973			479.20316	472.36032		
18255	1	319611	2.9982193	3.1794384			462.30084	503.32712		
18255	1	320029	3.1388714	3.4520793						
18255	1	320667	1.151725	0.9715965			637.05695	784.89636		
18255	1	320865	4.209985	4.0206027					0.0	1.3321745645267362
18255	1	321173	3.0098152	3.1124377						
18255	1	321371	1.3966581	3.1954827			643.1636	732.97876		
18255	1	321767	3.1378593	2.8640573			1051.2493	825.33453		
18255	1	345633	0.51698196	3.2205184			312.18988	628.5906	0.0	3.468860751249762
18255	1	347085	2.6586852	0.4948732			956.6652	705.3573		
18255	1	347129	-2.9056654	-2.9830785						
18255	1	348515	0.053749386	-0.50912863			560.7269	416.89374	0.0	2.2632500273918112
18255	1	348691					1916.1237	2039.6855		
18255	1	348713	2.7076898	-1.8431141			570.19	398.54547	0.0	90.21645875167845
18255	1	348845	2.622377	2.7793477						
18255	1	349087	-1.5770311	-2.6790655			257.28302	247.27966	0.0	2.763668063479373
18255	1	349241	2.168548	2.0300553			476.59528	405.41022		
18255	1	349461	2.9211807	3.5147297						
