apa,face,plane,wind,tmin,tmax
0,0,2,217,-1,5998
2,0,0,33,-1,5990
2,0,0,36,-1,5990
2,0,0,84,-1,5990
2,0,0,85,-1,5990
2,0,0,87,-1,5990
2,0,0,88,-1,5990
2,0,0,656,-1,5990
2,0,0,659,-1,5990
2,0,0,749,-1,5990
2,0,0,752,-1,5990
2,0,0,833,-1,5990
2,0,0,836,-1,5990
2,0,0,884,-1,5990
2,0,0,885,-1,5990
2,0,0,887,-1,5990
2,0,0,888,-1,5990
2,0,1,595,-1,5990
2,0,1,598,-1,5990
2,0,1,746,-1,5990
2,0,1,747,-1,5990
2,0,1,749,-1,5990
2,0,1,750,-1,5990
2,0,2,88,-1,5990
2,0,2,479,-1,5990
3,1,0,148,-1,6002
3,1,0,151,-1,6002
3,1,0,948,-1,6002
3,1,0,951,-1,6002
3,1,1,640,-1,6002
3,1,1,643,-1,6002
3,1,1,645,-1,6002
3,1,1,646,-1,6002
3,1,1,647,-1,6002
3,1,1,648,-1,6002
3,1,1,649,-1,6002
3,1,1,650,-1,6002
3,1,2,26,-1,6002
3,1,2,27,-1,6002
3,1,2,29,-1,6002
3,1,2,30,-1,6002
3,1,2,254,-1,6002
