apa	field_response	npoints	nexcluded	excl_frac	p0	p1	p2	p3
0	np04hd-garfield-6paths-mcmc-bestfit	267772	70110	0.2618	0.0011	0.2612	0.5443	0.1934
1	dune-garfield-1d565	166205	32969	0.1984	0.0024	0.2052	0.5691	0.2233
2	dune-garfield-1d565	132323	33174	0.2507	0.0034	0.2490	0.5068	0.2408
3	dune-garfield-1d565	210229	44084	0.2097	0.0040	0.2068	0.5670	0.2221
