detector	arm	event	mains_evaluated	fitted	tagged	st0	st2	st3	st4	st5	st7	st8	nofit_nopass	nofit_contained	nofit_no_steiner_pc	nofit_few_points	nofit_other
PDHD	d03nu9	0	80	27	2	2	12	4	5	1	3	0	53	37	10	4	2
PDHD	d03nu9	10	98	22	8	8	5	2	3	0	4	0	76	56	17	2	1
PDHD	d03nu9	11	65	25	6	6	4	4	6	1	4	0	40	29	11	0	0
PDHD	d03nu9	12	74	29	8	8	7	4	5	1	4	0	45	35	8	2	0
PDHD	d03nu9	13	71	19	2	2	9	4	3	0	1	0	52	38	10	4	0
PDHD	d03nu9	14	75	26	6	6	11	4	1	0	4	0	49	31	15	2	1
PDHD	d03nu9	15	77	36	3	3	12	8	4	0	8	1	41	27	11	1	3
PDHD	d03nu9	16	81	32	7	7	6	9	6	0	4	0	49	34	13	2	0
PDHD	d03nu9	17	84	15	1	1	5	4	3	0	2	0	69	45	23	1	0
PDHD	d03nu9	18	79	39	8	8	14	6	3	0	8	0	40	32	6	1	1
PDHD	d03nu9	19	74	19	1	1	7	6	2	0	3	0	55	36	14	3	2
PDHD	d03nu9	1	53	25	7	7	8	3	5	0	2	0	28	21	5	2	0
PDHD	d03nu9	20	80	29	9	9	6	8	2	0	4	0	51	39	9	3	0
PDHD	d03nu9	21	70	27	9	9	5	4	4	0	5	0	43	31	11	1	0
PDHD	d03nu9	22	78	22	5	5	7	4	3	0	3	0	56	36	16	4	0
PDHD	d03nu9	23	79	28	7	7	5	9	4	0	3	0	51	41	9	1	0
PDHD	d03nu9	24	68	29	5	5	10	8	2	0	4	0	39	30	8	1	0
PDHD	d03nu9	25	70	32	8	8	7	7	6	0	4	0	38	28	6	3	1
PDHD	d03nu9	26	76	31	10	10	6	9	3	1	2	0	45	36	6	3	0
PDHD	d03nu9	27	77	28	7	7	6	4	4	0	7	0	49	37	10	2	0
PDHD	d03nu9	28	64	18	7	7	3	5	2	0	1	0	46	35	9	2	0
PDHD	d03nu9	29	89	25	3	3	11	5	5	0	1	0	64	52	11	0	1
PDHD	d03nu9	2	76	26	7	7	8	7	1	1	2	0	50	35	13	2	0
PDHD	d03nu9	3	84	33	9	9	8	6	5	0	5	0	51	36	13	1	1
PDHD	d03nu9	4	81	34	2	2	8	7	9	0	8	0	47	38	7	0	2
PDHD	d03nu9	5	67	29	11	11	5	4	4	1	4	0	38	29	8	1	0
PDHD	d03nu9	6	70	19	3	3	4	4	5	0	3	0	51	36	13	2	0
PDHD	d03nu9	7	60	18	3	3	2	8	1	0	4	0	42	31	9	2	0
PDHD	d03nu9	8	71	24	6	6	6	7	2	0	3	0	47	34	9	3	1
PDHD	d03nu9	9	75	15	4	4	3	2	2	0	4	0	60	48	9	3	0
PDVD	d48nu3	0	36	15	6	6	0	7	0	0	2	0	21	18	1	2	0
PDVD	d48nu3	10	47	17	2	2	2	10	1	0	2	0	30	26	1	3	0
PDVD	d48nu3	11	38	14	0	0	1	6	0	0	7	0	24	21	0	3	0
PDVD	d48nu3	12	51	20	8	8	2	5	0	1	4	0	31	29	1	0	1
PDVD	d48nu3	13	42	17	3	3	1	9	1	0	3	0	25	21	3	1	0
PDVD	d48nu3	14	47	18	6	6	1	8	0	0	3	0	29	24	2	3	0
PDVD	d48nu3	15	47	21	5	5	0	9	0	0	7	0	26	25	0	1	0
PDVD	d48nu3	16	58	26	6	6	2	11	0	2	5	0	32	30	1	0	1
PDVD	d48nu3	17	53	27	5	5	4	11	1	0	6	0	26	22	3	1	0
PDVD	d48nu3	1	38	13	3	3	1	5	1	0	3	0	25	23	1	0	1
PDVD	d48nu3	2	54	16	8	8	1	3	0	1	3	0	38	32	4	2	0
PDVD	d48nu3	3	48	14	6	6	0	7	0	0	1	0	34	32	2	0	0
PDVD	d48nu3	4	56	16	1	1	3	7	0	1	4	0	40	34	5	0	1
PDVD	d48nu3	5	45	15	2	2	1	7	0	0	5	0	30	29	1	0	0
PDVD	d48nu3	6	56	22	7	7	1	7	1	0	6	0	34	33	1	0	0
PDVD	d48nu3	7	48	15	5	5	1	4	0	2	3	0	33	29	2	1	1
PDVD	d48nu3	8	47	19	7	7	4	7	0	1	0	0	28	26	2	0	0
PDVD	d48nu3	9	48	23	6	6	1	10	0	0	6	0	25	21	4	0	0
PDVD	d48nu3	0	53	19	6	6	0	7	0	1	5	0	34	31	3	0	0
PDVD	d48nu3	10	41	16	4	4	0	6	0	0	6	0	25	24	1	0	0
PDVD	d48nu3	11	49	24	6	6	2	12	0	0	4	0	25	24	1	0	0
PDVD	d48nu3	12	46	15	4	4	0	6	0	0	5	0	31	29	2	0	0
PDVD	d48nu3	13	44	12	5	5	1	2	0	1	3	0	32	30	2	0	0
PDVD	d48nu3	14	63	18	4	4	3	5	0	2	4	0	45	44	0	1	0
PDVD	d48nu3	15	56	17	7	7	0	6	0	0	4	0	39	36	2	1	0
PDVD	d48nu3	16	46	21	4	4	2	7	0	0	8	0	25	21	3	1	0
PDVD	d48nu3	17	64	16	4	4	1	7	1	0	3	0	48	46	1	1	0
PDVD	d48nu3	1	46	14	5	5	0	5	0	0	4	0	32	32	0	0	0
PDVD	d48nu3	2	58	18	7	7	1	8	0	0	2	0	40	36	3	0	1
PDVD	d48nu3	3	41	11	4	4	0	4	0	0	3	0	30	28	2	0	0
PDVD	d48nu3	4	50	12	3	3	1	5	0	1	2	0	38	33	3	1	1
PDVD	d48nu3	5	49	18	3	3	2	9	0	0	4	0	31	30	1	0	0
PDVD	d48nu3	6	53	27	13	13	1	8	1	1	3	0	26	23	3	0	0
PDVD	d48nu3	7	52	16	3	3	3	9	0	0	1	0	36	30	4	1	1
PDVD	d48nu3	8	49	24	12	12	0	5	0	0	7	0	25	23	1	1	0
PDVD	d48nu3	9	47	14	4	4	2	3	1	1	3	0	33	30	1	2	0
