label	n	nc0	nc1	nc2	nc3	eligible	q0_U	q0_V	q0_W	combo_UVW	combo_UV	combo_UW	combo_VW	combo_U	combo_V	combo_W	combo_-	cand_frac	control_delta	control_npt_match	zero_U	sent_nb_U	sent_nonb_U	live_nb_U	empty_U	zero_V	sent_nb_V	sent_nonb_V	live_nb_V	empty_V	zero_W	sent_nb_W	sent_nonb_W	live_nb_W	empty_W	eligible_nb
sbnd_5evt	39251	0.1777	0.2147	0.2591	0.3485	0.6076	0.3749	0.4107	0.4360	0.3485	0.1156	0.0792	0.0643	0.0817	0.0609	0.0720	0.1777	0.1761	0	1																
sbnd_2evt_probe	22573	0.2116	0.1924	0.2759	0.3200	0.5959	0.4014	0.3925	0.5018	0.3200	0.1452	0.0633	0.0674	0.0701	0.0749	0.0475	0.2116	0.1709	0	1	0.4014	0.2429	0.6922	0.0308	0.0341	0.3925	0.2760	0.6854	0.0172	0.0214	0.5018	0.2126	0.7057	0.0434	0.0383	0.7196
