label	n	nc0	nc1	nc2	nc3	eligible	q0_U	q0_V	q0_W	combo_UVW	combo_UV	combo_UW	combo_VW	combo_U	combo_V	combo_W	combo_-	cand_frac	control_delta	control_npt_match	zero_U	sent_nb_U	sent_nonb_U	live_nb_U	empty_U	zero_V	sent_nb_V	sent_nonb_V	live_nb_V	empty_V	zero_W	sent_nb_W	sent_nonb_W	live_nb_W	empty_W	eligible_nb
pdhd_prod_4evt	922469	0.2064	0.5768	0.2169	0.0000	0.2169	0.7988	0.9384	0.2523	0.0000	0.0000	0.1705	0.0464	0.0307	0.0152	0.5308	0.2064	0.1376	0	1																
pdhd_prod_evt0	192153	0.2108	0.6550	0.1341	0.0000	0.1341	0.9119	0.9177	0.2471	0.0000	0.0000	0.0745	0.0596	0.0136	0.0226	0.6188	0.2108	0.0823	0	1																
pdhd_retiler_evt0	169471	0.1228	0.3932	0.4355	0.0485	0.4840	0.7030	0.6594	0.2281	0.0485	0.0078	0.2021	0.2256	0.0387	0.0587	0.2958	0.1228	0.3018	1	1																
pdhd_clussampler_evt0	192263	0.2079	0.6578	0.1343	0.0000	0.1343	0.9106	0.9180	0.2450	0.0000	0.0000	0.0755	0.0588	0.0139	0.0232	0.6206	0.2079	0.0822	0	1																
pdhd_clussampler_retiler_evt0	171360	0.1321	0.3931	0.4266	0.0481	0.4747	0.7054	0.6714	0.2324	0.0481	0.0070	0.2006	0.2190	0.0389	0.0545	0.2998	0.1321	0.2951	1	1																
pdhd_both_4evt	823571	0.0578	0.1634	0.2472	0.5317	0.7789	0.2479	0.2586	0.2407	0.5317	0.0719	0.0945	0.0808	0.0540	0.0571	0.0523	0.0578	0.4186	40	1																
pdhd_both_evt0	175080	0.0538	0.1910	0.2599	0.4953	0.7552	0.2763	0.2813	0.2458	0.4953	0.0674	0.1008	0.0916	0.0601	0.0644	0.0665	0.0538	0.3933	5	1																
pdhd_both_probe_evt0	175080	0.0538	0.1910	0.2599	0.4953	0.7552	0.2763	0.2813	0.2458	0.4953	0.0674	0.1008	0.0916	0.0601	0.0644	0.0665	0.0538	0.3933	5	1	0.2763	0.4536	0.5459	0.0005	0.0000	0.2813	0.4785	0.5215	0.0000	0.0000	0.2458	0.6852	0.3148	0.0000	0.0000	0.9194
