arm	status	n_ref	n_arm	flips_in	flips_out
d02sig	0	178	171	32	42
d02sig	2	237	241	13	10
d02sig	3	164	193	71	42
d02sig	4	105	110	26	22
d02sig	5	17	6	3	14
d02sig	7	140	124	8	23
d02sigb	0	178	180	47	50
d02sigb	2	237	242	19	16
d02sigb	3	164	194	82	50
d02sigb	4	105	98	24	33
d02sigb	5	17	7	5	15
d02sigb	7	140	129	13	26
d02fix	0	178	179	36	38
d02fix	2	237	241	15	12
d02fix	3	164	186	64	42
d02fix	4	105	105	23	23
d02fix	5	17	5	3	15
d02fix	7	140	129	8	19
