key	npts	len_cm	dpw	dpu	dpv	dpt	cm_w	cm_u	cm_v	q_med	q_rms	dirx	diry	dirz	f
028084_11/59	325	193.7	0.3667	1.4	1.517	0.3	2.727	0.7143	0.6593	4.875e+04	1.913e+04	0.04972	-0.9802	0.1919	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_11-c59.json
028084_12/101	745	449.6	1.017	0.4	1.85	0.8167	0.9836	2.5	0.5405	5.573e+04	1.476e+04	-0.2772	-0.8165	0.5064	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_12-c101.json
028084_12/117	157	93.5	0.2667	1.658	1.4	0.3833	3.75	0.603	0.7143	5.729e+04	1.467e+04	0.1318	-0.9789	0.1565	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_12-c117.json
028084_12/131	46	54.73	0.275	1.7	0.9167	0.5833	3.636	0.5882	1.091	2.47e+04	2.265e+04	-0.1933	-0.9746	-0.1134	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_12-c131.json
028084_12/36	340	202.2	1.267	1.95	0.4167	0.65	0.7895	0.5128	2.4	4.1e+04	2.549e+04	0.2521	-0.7235	0.6427	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_12-c36.json
028084_12/46	308	181.8	0.75	1.617	0.5833	1.033	1.333	0.6186	1.714	4.319e+04	2.604e+04	0.3817	-0.8471	0.3699	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_12-c46.json
028084_12/76	503	300.7	1.217	0.2	1.333	0.3333	0.8219	5	0.75	2.602e+04	2.525e+04	-0.1004	0.7957	0.5973	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_12-c76.json
028084_13/109	344	208.7	0.2	0.7833	0.9667	2.283	5	1.277	1.034	5.472e+04	2.173e+04	0.7343	-0.6704	0.1067	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_13-c109.json
028084_13/119	68	39.74	0.4	1.3	1.317	0.5667	2.5	0.7692	0.7595	1.691e+04	1.225e+04	-0.1782	0.9579	-0.2251	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_13-c119.json
028084_14/20	124	73.57	0.9833	0.225	1.533	1.133	1.017	4.444	0.6522	5.324e+04	2.377e+04	-0.3617	-0.7899	-0.4952	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_14-c20.json
028084_14/29	261	156.3	0.2667	1	1.767	0.8833	3.75	1	0.566	3.242e+04	1.575e+04	-0.2901	0.9512	0.1054	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_14-c29.json
028084_14/83	790	488.1	0.8	0.5333	1.767	0.4833	1.25	1.875	0.566	5.497e+04	1.714e+04	-0.1898	-0.8962	0.4009	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_14-c83.json
028084_15/102	284	169	0.7667	0.4167	1.683	1.183	1.304	2.4	0.5941	5.575e+04	1.639e+04	0.3805	0.8465	-0.3724	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_15-c102.json
