key	npts	len_cm	dpw	dpu	dpv	dpt	cm_w	cm_u	cm_v	q_med	q_rms	dirx	diry	dirz	f
028084_27/57	221	139.7	1.283	0.5667	1.408	0.2667	0.7792	1.765	0.7101	2.686e+04	1.91e+04	0.02895	-0.7547	-0.6554	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c57.json
028084_27/93	398	236.8	1.7	1.417	0.9167	1.05	0.5882	0.7059	1.091	5.437e+04	1.911e+04	0.3591	0.3868	0.8494	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_27-c93.json
028084_28/106	171	108.1	0.2	1.733	1.283	1.05	5	0.5769	0.7792	4.886e+04	1.932e+04	-0.03677	-0.9975	0.06	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_28-c106.json
028084_28/110	547	326.4	0.2667	1.883	0.9	0.8667	3.75	0.531	1.111	5.487e+04	1.718e+04	-0.2804	-0.9446	-0.1705	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_28-c110.json
028084_28/131	1004	600.5	0.2167	1.308	0.7333	2.2	4.615	0.7643	1.364	5.592e+04	1.655e+04	-0.7194	-0.6834	-0.1244	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_28-c131.json
028084_29/101	100	58.23	0.35	1.617	0.8333	0.7167	2.857	0.6186	1.2	4.548e+04	1.977e+04	-0.2652	0.9213	0.2843	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_29-c101.json
028084_29/115	172	101.8	0.6833	1.717	0.4167	1.25	1.463	0.5825	2.4	6.382e+04	2.539e+04	0.4299	-0.8244	-0.3681	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_29-c115.json
028084_29/38	70	39.61	0.6239	1.417	1.4	0.5922	1.603	0.7059	0.7143	9178	1.467e+04	0.375	-0.8218	-0.4289	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_29-c38.json
028084_29/44	344	221.2	0.1667	0.95	1.508	1.975	6	1.053	0.663	3.62e+04	1.82e+04	0.6373	0.7706	-0.009491	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_29-c44.json
028084_29/53	544	328	1.5	0.5167	1.317	0.55	0.6667	1.935	0.7595	5.097e+04	2.068e+04	-0.2026	-0.5941	-0.7784	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_29-c53.json
028084_3/22	284	197.9	1.217	2.017	0.06667	0.25	0.8219	0.4959	15	1.726e+04	1.313e+04	0.03766	-0.81	0.5853	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_3-c22.json
028084_3/23	68	39.6	0.9	1.817	0.4667	0.3833	1.111	0.5505	2.143	5.228e+04	4.881e+04	0.02154	-0.8536	0.5205	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_3-c23.json
028084_3/27	328	198.2	0.7917	1.75	0.7583	0.35	1.263	0.5714	1.319	4.289e+04	2.165e+04	0.07899	-0.8806	0.4673	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_3-c27.json
028084_3/72	424	250.5	0.9	0.45	1.85	0.5333	1.111	2.222	0.5405	5.237e+04	1.964e+04	0.1757	-0.8708	0.4591	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_3-c72.json
028084_3/86	955	572.6	0.4833	1.683	0.7333	0.6833	2.069	0.5941	1.364	5.111e+04	1.878e+04	0.2366	0.9373	0.2559	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_3-c86.json
028084_3/91	100	59.43	1.15	0.65	1.95	0.15	0.8696	1.538	0.5128	4.4e+04	3.616e+04	0.02027	0.7941	-0.6074	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_3-c91.json
028084_30/100	1019	610.5	0.4	1.75	0.8	0.7667	2.5	0.5714	1.25	5.437e+04	1.462e+04	0.244	-0.9487	-0.201	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_30-c100.json
028084_30/111	249	144	0.4167	1.917	0.6167	1.767	2.4	0.5217	1.622	5.411e+04	2.301e+04	0.5997	-0.7806	-0.176	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_30-c111.json
028084_30/26	249	146.9	1.083	1.75	0.5833	0.98	0.9231	0.5714	1.714	4.048e+04	3.153e+04	-0.3496	-0.7684	0.536	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_30-c26.json
028084_30/33	147	86.23	0.4167	0.4091	0.5333	2.733	2.4	2.444	1.875	2.451e+04	2.093e+04	0.9671	-0.2352	-0.09676	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_30-c33.json
028084_30/34	274	162.4	0.35	1.317	1.5	0.45	2.857	0.7595	0.6667	3.597e+04	2.136e+04	-0.1639	-0.9808	0.1056	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_30-c34.json
028084_30/37	717	429.2	0.7167	0.3333	1.7	1.633	1.395	3	0.5882	5.471e+04	1.527e+04	-0.5377	-0.7527	-0.3799	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_30-c37.json
028084_4/114	494	295.1	0.8	1.483	0.55	0.1333	1.25	0.6742	1.818	4.939e+04	1.726e+04	0.03161	-0.8958	-0.4434	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_4-c114.json
028084_4/119	433	259.4	0.1833	1.317	0.8667	1.567	5.455	0.7595	1.154	6.117e+04	1.689e+04	-0.5141	-0.8504	-0.1125	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_4-c119.json
028084_4/18	162	96.05	0.625	1.233	0.7833	1.65	1.6	0.8108	1.277	4.12e+04	2.432e+04	0.5974	-0.7392	0.311	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_4-c18.json
028084_4/20	765	451.4	0.4167	0.8167	1.667	0.8333	2.4	1.224	0.6	4.25e+04	1.926e+04	-0.3038	-0.9328	-0.1938	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_4-c20.json
028084_4/29	87	51.68	1.033	1.892	0.5333	0.5083	0.9677	0.5286	1.875	4.447e+04	2.574e+04	-0.1315	-0.8066	0.5763	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_4-c29.json
028084_4/41	396	236.7	1.133	1.933	0.5	0.4833	0.8824	0.5172	2	5.818e+04	2.321e+04	-0.1668	-0.808	0.565	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_4-c41.json
028084_5/115	72	42.77	0.85	1.583	0.6917	0.2897	1.176	0.6316	1.446	6.944e+04	2.48e+04	0.1743	-0.8569	-0.4851	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_5-c115.json
028084_6/109	827	494	0.3667	1.4	1.483	0.4167	2.727	0.7143	0.6742	5.258e+04	1.388e+04	0.1406	0.9736	-0.1796	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_6-c109.json
028084_6/115	330	196.3	1.817	1.616	1.75	1.067	0.5505	0.6186	0.5714	5.352e+04	2.327e+04	0.3698	0.1766	-0.9122	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_6-c115.json
028084_6/117	140	83.29	0.4	1.683	0.8667	0.2667	2.5	0.5941	1.154	5.505e+04	2.75e+04	0.002146	-0.9665	-0.2568	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_6-c117.json
028084_6/42	411	245.6	1.683	0.8333	1.367	0.55	0.5941	1.2	0.7317	5.316e+04	2.264e+04	-0.1949	-0.4777	-0.8566	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_6-c42.json
028084_6/91	115	68.4	1.05	0.3417	1.917	0.3667	0.9524	2.927	0.5217	2.3e+04	7410	-0.001286	0.8115	-0.5844	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_6-c91.json
028084_6/97	406	243	1.1	0.35	1.9	0.4333	0.9091	2.857	0.5263	5.396e+04	1.631e+04	0.1754	-0.7926	0.584	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_6-c97.json
028084_7/34	470	277.3	0.3394	1.025	1.708	0.9833	2.946	0.9756	0.5855	3.784e+04	2.125e+04	-0.3468	0.9344	0.0809	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_7-c34.json
028084_7/36	234	139.7	1.508	1.217	1.433	0.6333	0.663	0.8219	0.6977	1.658e+04	1.007e+04	-0.2639	0.2603	0.9288	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_7-c36.json
028084_7/45	515	308	1.4	0.45	1.333	0.25	0.7143	2.222	0.75	5.456e+04	1.613e+04	-0.0908	-0.6774	-0.7299	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_7-c45.json
028084_7/56	652	390.7	0.5333	0.4167	1.85	1.85	1.875	2.4	0.5405	5.39e+04	1.848e+04	0.5972	-0.7486	-0.288	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_7-c56.json
028084_7/61	199	118.7	1.017	1.9	0.4833	0.1833	0.9836	0.5263	2.069	5.618e+04	2.194e+04	-0.08862	-0.8753	0.4753	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_7-c61.json
028084_8/110	112	67.35	0.4	1.833	0.7167	1.133	2.5	0.5455	1.395	6.177e+04	2.049e+04	-0.3675	-0.9131	-0.1764	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_8-c110.json
028084_8/120	553	345.7	0.06667	0.8667	0.85	2.317	15	1.154	1.176	5.847e+04	1.805e+04	-0.7116	-0.6997	0.06428	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_8-c120.json
028084_8/37	285	166.8	0.4	0.825	1.683	0.7083	2.5	1.212	0.5941	4.625e+04	2.277e+04	-0.2491	-0.9495	-0.1907	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_8-c37.json
028084_8/46	160	95.35	0.7667	0.4167	1.6	1.017	1.304	2.4	0.625	5.76e+04	2.003e+04	0.3328	-0.8645	-0.3767	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_8-c46.json
028084_9/24	635	373.2	0.7333	1.7	0.6667	0.6016	1.364	0.5882	1.5	5.056e+04	2.554e+04	-0.217	0.8954	-0.3888	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_9-c24.json
028084_9/37	45	157.1	0.1	0.1949	0.35	2.833	10	5.131	2.857	3.561e+04	1.365e+04	0.9987	-0.04871	-0.0125	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_9-c37.json
028084_9/50	583	380.6	0.2333	1.167	1.783	0.1667	4.286	0.8571	0.5607	1.455e+04	2.25e+04	-0.001111	-1	0	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_9-c50.json
029107_0/127	68	40.33	0.9083	1.7	0.4167	1.808	1.101	0.5882	2.4	5.106e+04	2.056e+04	-0.6167	-0.647	-0.4485	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_0-c127.json
029107_0/49	47	115.5	0	1.25	2.083	0.01667	nan	0.8	0.48	981.9	8148	0.0306	-0.9931	0.1135	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_0-c49.json
029107_0/50	289	172.9	0.25	0.8333	1.85	1.35	4	1.2	0.5405	5.61e+04	1.874e+04	0.4328	-0.892	-0.1306	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_0-c50.json
029107_1/32	274	158.3	0.931	1.6	0.4333	1.018	1.074	0.625	2.308	1.846e+04	1.922e+04	0.4748	0.7136	-0.5152	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_1-c32.json
029107_1/36	636	383.6	0.4	0.6333	0.5333	2.667	2.5	1.579	1.875	3.318e+04	2.284e+04	0.932	0.3375	-0.1318	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_1-c36.json
029107_1/42	49	131.1	0.1053	0.1008	0.1186	3.15	9.494	9.916	8.429	1.698e+04	3.176e+04	0.9993	-0.004964	-0.03738	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_1-c42.json
029107_1/82	304	182.2	0.2	1.15	0.5833	2.383	5	0.8696	1.714	5.803e+04	2.26e+04	0.7816	-0.6148	-0.1052	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_1-c82.json
029107_1/85	229	136.3	0.7333	1.567	0.6583	0.4333	1.364	0.6383	1.519	4.541e+04	1.796e+04	-0.124	-0.936	-0.3293	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_1-c85.json
029107_10/37	317	189.9	1.2	0.2583	1.417	1	0.8333	3.871	0.7059	1.973e+04	1.631e+04	-0.3139	0.7509	0.581	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_10-c37.json
029107_10/44	626	377.3	1.567	1.85	1.15	1.267	0.6383	0.5405	0.8696	5.348e+04	2.022e+04	-0.4227	0.4572	-0.7825	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_10-c44.json
029107_10/50	220	127.1	1.033	0.6167	1.483	0.55	0.9677	1.622	0.6742	1.723e+04	1.781e+04	0.1722	0.7725	0.6113	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_10-c50.json
029107_10/65	564	338.1	0.1	1.133	1.95	0.6	10	0.8824	0.5128	5.05e+04	1.365e+04	-0.2029	-0.9779	-0.05087	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_10-c65.json
029107_10/80	64	36.84	1.825	1.45	1.517	0.5	0.5479	0.6897	0.6593	2.576e+04	1.375e+04	-0.053	-0.3187	-0.9464	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_10-c80.json
029107_11/18	94	55.53	1.867	1.533	1.467	0.6167	0.5357	0.6522	0.6818	6.414e+04	5.35e+04	-0.1766	-0.1738	0.9688	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_11-c18.json
029107_11/22	133	80.44	1.85	1.667	1.633	0.6	0.5405	0.6	0.6122	2.519e+04	2.138e+04	-0.2197	-0.004798	-0.9756	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_11-c22.json
029107_11/33	315	192.3	0.4167	1.417	1.5	0.2	2.4	0.7059	0.6667	3.898e+04	2.512e+04	0.001552	-0.9858	0.168	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_11-c33.json
029107_11/48	47	29.55	0.03333	1.192	2.05	0.5	30	0.8392	0.4878	6671	6522	0.1407	-0.99	0.006011	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_11-c48.json
029107_11/74	44	26.1	1.4	1.164	1.858	0.7333	0.7143	0.8592	0.5381	3.733e+04	1.833e+04	-0.2692	0.4166	-0.8683	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_11-c74.json
029107_11/90	468	280.1	0.9	1.483	0.45	0.2667	1.111	0.6742	2.222	5.44e+04	1.706e+04	-0.05746	-0.8776	-0.476	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_11-c90.json
029107_12/108	842	507.5	0.35	1.667	1.017	0.2	2.857	0.6	0.9836	4.802e+04	2.017e+04	0.0177	-0.9887	-0.149	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c108.json
029107_12/110	317	191.1	0.55	0.5833	1.45	1.6	1.818	1.714	0.6897	5.153e+04	2.077e+04	0.5398	0.7984	-0.2667	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c110.json
029107_12/118	103	61.14	1.133	1.617	0.4083	1.85	0.8824	0.6186	2.449	5.178e+04	1.69e+04	0.6387	-0.4894	-0.5938	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c118.json
029107_12/21	382	229	1.033	1.8	0.7167	0.3333	0.9677	0.5556	1.395	1.468e+04	1.122e+04	-0.01553	-0.8099	0.5864	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c21.json
029107_12/33	133	83.33	1.1	1.733	0.2	0.5	0.9091	0.5769	5	1.625e+04	1.396e+04	-0.06679	-0.8497	0.523	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c33.json
029107_12/48	157	93.06	1.033	0.6667	1.4	0.3167	0.9677	1.5	0.7143	1.63e+04	1.027e+04	-0.006942	-0.8195	-0.573	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c48.json
029107_12/95	267	158.5	1.917	1.533	1.8	0.4833	0.5217	0.6522	0.5556	5.515e+04	1.779e+04	0.1677	-0.0995	0.9808	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_12-c95.json
029107_13/114	183	108.4	0.3833	1.672	0.85	0.3667	2.609	0.5982	1.176	5.126e+04	1.988e+04	-0.1356	-0.9748	-0.177	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_13-c114.json
029107_13/52	183	108.4	0.06667	0.4917	0.9167	2.667	15	2.034	1.091	5.926e+04	1.403e+04	-0.8515	-0.518	-0.0814	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_13-c52.json
029107_14/45	31	19.83	0.95	1.333	1.325	0.475	1.053	0.75	0.7547	1.823e+04	7220	0.1013	-0.994	-0.04205	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_14-c45.json
029107_14/89	176	104.6	0.9833	1.767	0.3	2.017	1.017	0.566	3.333	6.216e+04	2.296e+04	-0.6465	-0.5989	-0.4726	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_14-c89.json
029107_15/142	180	106.4	0.3333	1.033	1.367	1.133	3	0.9677	0.7317	6.467e+04	1.728e+04	0.3919	-0.9039	0.1716	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_15-c142.json
029107_15/17	335	219.3	1.067	1.65	1.167	0.25	0.9375	0.6061	0.8571	2.897e+04	3.118e+04	0.03631	-0.8313	0.5546	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_15-c17.json
029107_15/26	208	125.3	0.9833	0.3333	1.4	0.2333	1.017	3	0.7143	1.772e+04	3.1e+04	-0.1771	0.905	0.3868	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_15-c26.json
029107_15/40	234	138.5	1.117	1.833	0.6	0.1833	0.8955	0.5455	1.667	1.602e+04	1.655e+04	-0.02124	0.8051	-0.5928	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_15-c40.json
029107_15/57	87	51.6	1.017	1.883	0.5833	0.08333	0.9836	0.531	1.714	2.238e+04	9091	0.02388	-0.8398	0.5424	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_15-c57.json
029107_16/106	625	372.8	1.083	1.567	0.4333	1.283	0.9231	0.6383	2.308	5.022e+04	1.849e+04	-0.4488	-0.6953	-0.5613	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_16-c106.json
029107_16/108	388	231	0.1833	1.783	1.283	0.5	5.455	0.5607	0.7792	5.878e+04	2.346e+04	-0.1747	-0.9826	0.06341	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_16-c108.json
029107_16/118	241	144.1	1.033	0.9	1.85	0	0.9677	1.111	0.5405	4.734e+04	1.221e+04	-0.0009695	0.8176	-0.5757	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_16-c118.json
029107_16/46	451	266.2	1.35	0.5667	1.417	1.067	0.7407	1.765	0.7059	4.21e+04	2.749e+04	-0.3886	0.5961	0.7027	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_16-c46.json
029107_16/79	83	49.11	1	1.467	0.6167	0.1	1	0.6818	1.622	4e+04	1.739e+04	-0.01259	-0.8567	-0.5156	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_16-c79.json
029107_17/33	54	54.12	0.7333	1.591	1.299	0.2167	1.364	0.6286	0.7698	5792	4401	0.02137	0.988	-0.153	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_17-c33.json
029107_18/24	79	45.21	0.7833	1.083	1.258	2.233	1.277	0.9231	0.7947	2.45e+04	1.547e+04	-0.912	-0.3828	0.1473	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c24.json
029107_18/31	455	270	1.183	1.983	0.08333	0.3833	0.8451	0.5042	12	5.027e+04	2.712e+04	-0.1205	0.814	-0.5682	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c31.json
029107_18/34	189	109.3	1.183	0.1667	1.417	0.65	0.8451	6	0.7059	2.586e+04	1.177e+04	-0.2575	0.7802	0.57	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c34.json
029107_18/44	819	512.1	0.3	1.217	1.667	0.1167	3.333	0.8219	0.6	4.016e+04	1.86e+04	0.001742	-1	0.003803	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c44.json
029107_18/45	888	534.9	0.3333	1.167	1.683	0.1333	3	0.8571	0.5941	5.707e+04	1.724e+04	0.002379	-1	0.003457	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c45.json
029107_18/54	32	44.8	0.1167	0.3833	0.3647	2.996	8.571	2.609	2.742	9265	5847	-0.9577	0.2868	-0.02228	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c54.json
029107_18/59	277	166	0.2667	1.117	1.675	0.5487	3.75	0.8955	0.597	3.488e+04	1.459e+04	0.1989	0.9796	-0.02975	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c59.json
029107_18/79	563	345.6	0.4333	0.8167	1.65	0.85	2.308	1.224	0.6061	1.176e+04	8655	0.2712	0.9444	0.186	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_18-c79.json
029107_19/106	409	246.9	1.483	1.35	0.5667	0.3167	0.6742	0.7407	1.765	4.155e+04	2.142e+04	0.04628	-0.6129	-0.7888	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c106.json
029107_19/111	189	122.3	0.3333	1.883	0.4333	2.467	3	0.531	2.308	5.479e+04	1.538e+04	0.8188	-0.5594	-0.129	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c111.json
029107_19/120	266	157.8	0.05	1.917	1.15	1.008	20	0.5217	0.8696	5.612e+04	1.52e+04	0.3387	-0.9369	-0.08675	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c120.json
029107_19/123	364	220.4	1.5	1.333	0.5833	0.25	0.6667	0.75	1.714	4.183e+04	2.139e+04	0.0728	-0.5994	-0.7972	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c123.json
029107_19/30	392	233.9	1.083	1.883	0.45	0.45	0.9231	0.531	2.222	4.486e+04	1.884e+04	-0.1733	-0.8179	0.5486	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c30.json
029107_19/60	753	447.3	0.8	0.4667	1.583	1.45	1.25	2.143	0.6316	3.286e+04	2.017e+04	-0.5427	0.7223	0.4288	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c60.json
029107_19/95	1122	676.6	0.85	0.6167	1.833	0.2167	1.176	1.622	0.5455	5.309e+04	1.753e+04	-0.0782	-0.9092	0.409	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_19-c95.json
029107_2/108	649	386.3	0.06667	2	1.133	0.825	15	0.5	0.8824	5.382e+04	1.354e+04	-0.2902	-0.9551	-0.06027	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-029107_2-c108.json
