arm	plane	metric	median	q25	q75	n
d02ref	U	B_foot	-0.15715	-0.298625	-0.088325	178
d02sig	U	B_foot	-0.1823	-0.31995	-0.11875	171
d02sigb	U	B_foot	-0.2197	-0.346775	-0.1216	180
d02fix	U	B_foot	-0.1863	-0.32735	-0.12465	179
d02ref	U	U_foot	0.5328	0.34355	0.752125	178
d02sig	U	U_foot	0.52	0.33515	0.7514	171
d02sigb	U	U_foot	0.5564	0.3831	0.747	180
d02fix	U	U_foot	0.5212	0.33125	0.76395	179
d02ref	U	chi2N_foot	12.731	6.93925	26.441	178
d02sig	U	chi2N_foot	12.598	6.6945	23.259	171
d02sigb	U	chi2N_foot	13.969	7.524	24.1457	180
d02fix	U	chi2N_foot	12.48	6.781	23.772	179
d02ref	U	pull_rms	2.626	1.9485	3.77275	178
d02sig	U	pull_rms	2.611	1.985	3.3825	171
d02sigb	U	pull_rms	2.8205	2.13275	3.69225	180
d02fix	U	pull_rms	2.665	2.0085	3.4435	179
d02ref	U	pull_tail3	0.33075	0.21535	0.492275	178
d02sig	U	pull_tail3	0.3221	0.2081	0.43215	171
d02sigb	U	pull_tail3	0.3644	0.23705	0.48755	180
d02fix	U	pull_tail3	0.3233	0.21395	0.4344	179
d02ref	U	uncov_foot	0.0003	0	0.0061	178
d02sig	U	uncov_foot	0	0	0	171
d02sigb	U	uncov_foot	0	0	0	180
d02fix	U	uncov_foot	0	0	0	179
d02ref	U	f_off	0.6707	0.37255	0.9183	178
d02sig	U	f_off	0.6872	0.3802	0.93075	171
d02sigb	U	f_off	0.71285	0.4013	0.937125	180
d02fix	U	f_off	0.6832	0.3802	0.92895	179
d02ref	U	f_off_far	0.5653	0.24625	0.884225	178
d02sig	U	f_off_far	0.5912	0.2666	0.91025	171
d02sigb	U	f_off_far	0.62305	0.277025	0.910225	180
d02fix	U	f_off_far	0.5744	0.2666	0.9077	179
d02ref	U	B_foot_pooled	-0.147399	nan	nan	178
d02ref	U	U_foot_pooled	0.40686	nan	nan	178
d02ref	U	B_cheb2	-0.2039	nan	nan	0
d02ref	U	U_cheb2	0.4446	nan	nan	0
d02sig	U	B_foot_pooled	-0.195205	nan	nan	171
d02sig	U	U_foot_pooled	0.384632	nan	nan	171
d02sig	U	B_cheb2	-0.2394	nan	nan	0
d02sig	U	U_cheb2	0.4186	nan	nan	0
d02sigb	U	B_foot_pooled	-0.219027	nan	nan	180
d02sigb	U	U_foot_pooled	0.407802	nan	nan	180
d02sigb	U	B_cheb2	-0.2602	nan	nan	0
d02sigb	U	U_cheb2	0.4401	nan	nan	0
d02fix	U	B_foot_pooled	-0.197304	nan	nan	179
d02fix	U	U_foot_pooled	0.383442	nan	nan	179
d02fix	U	B_cheb2	-0.2414	nan	nan	0
d02fix	U	U_cheb2	0.4177	nan	nan	0
d02ref	V	B_foot	-0.1724	-0.34145	-0.0935	178
d02sig	V	B_foot	-0.1952	-0.316	-0.1095	171
d02sigb	V	B_foot	-0.2341	-0.34675	-0.105	180
d02fix	V	B_foot	-0.197	-0.3397	-0.1126	179
d02ref	V	U_foot	0.5706	0.39355	0.7622	178
d02sig	V	U_foot	0.5945	0.3969	0.7676	171
d02sigb	V	U_foot	0.5937	0.440275	0.775975	180
d02fix	V	U_foot	0.5825	0.3972	0.76795	179
d02ref	V	chi2N_foot	13.0215	6.297	26.3663	178
d02sig	V	chi2N_foot	11.662	6.153	24.9075	171
d02sigb	V	chi2N_foot	13.1325	6.2145	25.637	180
d02fix	V	chi2N_foot	11.979	6.281	25.2175	179
d02ref	V	pull_rms	2.801	1.84775	3.81875	178
d02sig	V	pull_rms	2.699	1.817	3.758	171
d02sigb	V	pull_rms	2.986	1.8815	4.13925	180
d02fix	V	pull_rms	2.735	1.93	3.849	179
d02ref	V	pull_tail3	0.35215	0.20545	0.456175	178
d02sig	V	pull_tail3	0.3363	0.191	0.4429	171
d02sigb	V	pull_tail3	0.3636	0.191625	0.49215	180
d02fix	V	pull_tail3	0.3371	0.1934	0.4599	179
d02ref	V	uncov_foot	0	0	0.001775	178
d02sig	V	uncov_foot	0	0	0.0001	171
d02sigb	V	uncov_foot	0	0	0	180
d02fix	V	uncov_foot	0	0	0.0001	179
d02ref	V	f_off	0.6401	0.3651	0.9209	178
d02sig	V	f_off	0.6606	0.3629	0.9404	171
d02sigb	V	f_off	0.71485	0.379275	0.94505	180
d02fix	V	f_off	0.6606	0.3629	0.9292	179
d02ref	V	f_off_far	0.54025	0.2515	0.905075	178
d02sig	V	f_off_far	0.5758	0.24445	0.9197	171
d02sigb	V	f_off_far	0.5978	0.288575	0.917175	180
d02fix	V	f_off_far	0.5502	0.24445	0.8984	179
d02ref	V	B_foot_pooled	-0.173331	nan	nan	178
d02ref	V	U_foot_pooled	0.453673	nan	nan	178
d02ref	V	B_cheb2	-0.2208	nan	nan	0
d02ref	V	U_cheb2	0.4878	nan	nan	0
d02sig	V	B_foot_pooled	-0.203011	nan	nan	171
d02sig	V	U_foot_pooled	0.442989	nan	nan	171
d02sig	V	B_cheb2	-0.2474	nan	nan	0
d02sig	V	U_cheb2	0.4793	nan	nan	0
d02sigb	V	B_foot_pooled	-0.235381	nan	nan	180
d02sigb	V	U_foot_pooled	0.458046	nan	nan	180
d02sigb	V	B_cheb2	-0.2763	nan	nan	0
d02sigb	V	U_cheb2	0.4937	nan	nan	0
d02fix	V	B_foot_pooled	-0.202895	nan	nan	179
d02fix	V	U_foot_pooled	0.444839	nan	nan	179
d02fix	V	B_cheb2	-0.2474	nan	nan	0
d02fix	V	U_cheb2	0.4809	nan	nan	0
d02ref	W	B_foot	-0.2643	-0.44225	-0.103375	178
d02sig	W	B_foot	-0.2479	-0.4475	-0.1149	171
d02sigb	W	B_foot	-0.3479	-0.49375	-0.1876	180
d02fix	W	B_foot	-0.2586	-0.4573	-0.1157	179
d02ref	W	U_foot	0.4321	0.2586	0.658975	178
d02sig	W	U_foot	0.4472	0.2901	0.6726	171
d02sigb	W	U_foot	0.57675	0.405475	0.697925	180
d02fix	W	U_foot	0.4475	0.2842	0.6763	179
d02ref	W	chi2N_foot	35.569	15.5278	85.1662	178
d02sig	W	chi2N_foot	32.403	17.236	77.669	171
d02sigb	W	chi2N_foot	52.837	26.402	101.457	180
d02fix	W	chi2N_foot	33.191	17.293	80.855	179
d02ref	W	pull_rms	4.384	2.47875	7.293	178
d02sig	W	pull_rms	4.672	2.875	7.426	171
d02sigb	W	pull_rms	6.5175	4.21825	9.6425	180
d02fix	W	pull_rms	4.626	2.901	7.783	179
d02ref	W	pull_tail3	0.4873	0.3028	0.674475	178
d02sig	W	pull_tail3	0.5284	0.3577	0.6716	171
d02sigb	W	pull_tail3	0.63085	0.5	0.784925	180
d02fix	W	pull_tail3	0.5161	0.3517	0.678	179
d02ref	W	uncov_foot	0	0	0.01505	178
d02sig	W	uncov_foot	0	0	0	171
d02sigb	W	uncov_foot	0	0	0	180
d02fix	W	uncov_foot	0	0	0	179
d02ref	W	f_off	0.95475	0.84675	0.9953	178
d02sig	W	f_off	0.9644	0.8541	0.9965	171
d02sigb	W	f_off	0.9667	0.865375	0.9966	180
d02fix	W	f_off	0.9625	0.8541	0.9959	179
d02ref	W	f_off_far	0.9314	0.795325	0.992525	178
d02sig	W	f_off_far	0.9515	0.8005	0.9935	171
d02sigb	W	f_off_far	0.9578	0.81925	0.99385	180
d02fix	W	f_off_far	0.9515	0.79275	0.99235	179
d02ref	W	B_foot_pooled	-0.172685	nan	nan	176
d02ref	W	U_foot_pooled	0.350575	nan	nan	176
d02ref	W	B_cheb2	-0.2347	nan	nan	0
d02ref	W	U_cheb2	0.4024	nan	nan	0
d02sig	W	B_foot_pooled	-0.2066	nan	nan	169
d02sig	W	U_foot_pooled	0.364103	nan	nan	169
d02sig	W	B_cheb2	-0.2741	nan	nan	0
d02sig	W	U_cheb2	0.4213	nan	nan	0
d02sigb	W	B_foot_pooled	-0.252072	nan	nan	178
d02sigb	W	U_foot_pooled	0.4405	nan	nan	178
d02sigb	W	B_cheb2	-0.3109	nan	nan	0
d02sigb	W	U_cheb2	0.49	nan	nan	0
d02fix	W	B_foot_pooled	-0.210501	nan	nan	177
d02fix	W	U_foot_pooled	0.366137	nan	nan	177
d02fix	W	B_cheb2	-0.2782	nan	nan	0
d02fix	W	U_cheb2	0.4237	nan	nan	0
d02ref	-	dqdx:all_status0:ntracks	172	nan	nan	172
d02sig	-	dqdx:all_status0:ntracks	165	nan	nan	165
d02sigb	-	dqdx:all_status0:ntracks	174	nan	nan	174
d02fix	-	dqdx:all_status0:ntracks	173	nan	nan	173
d02ref	-	dqdx:all_status0:k_pop	0.9707	nan	nan	172
d02sig	-	dqdx:all_status0:k_pop	0.9577	nan	nan	165
d02sigb	-	dqdx:all_status0:k_pop	0.9061	nan	nan	174
d02fix	-	dqdx:all_status0:k_pop	0.9635	nan	nan	173
d02ref	-	dqdx:all_status0:chi2	4547.44	nan	nan	172
d02sig	-	dqdx:all_status0:chi2	5490.37	nan	nan	165
d02sigb	-	dqdx:all_status0:chi2	5548.01	nan	nan	174
d02fix	-	dqdx:all_status0:chi2	5753.59	nan	nan	173
d02ref	-	dqdx:all_status0:k_med	0.5329	nan	nan	172
d02sig	-	dqdx:all_status0:k_med	0.4887	nan	nan	165
d02sigb	-	dqdx:all_status0:k_med	0.472	nan	nan	174
d02fix	-	dqdx:all_status0:k_med	0.4964	nan	nan	173
d02ref	-	dqdx:all_status0:k_rms	0.3252	nan	nan	172
d02sig	-	dqdx:all_status0:k_rms	0.322	nan	nan	165
d02sigb	-	dqdx:all_status0:k_rms	0.3176	nan	nan	174
d02fix	-	dqdx:all_status0:k_rms	0.3308	nan	nan	173
d02ref	-	dqdx:all_status0:contrast_med	0.922	nan	nan	172
d02sig	-	dqdx:all_status0:contrast_med	0.919	nan	nan	165
d02sigb	-	dqdx:all_status0:contrast_med	0.944	nan	nan	174
d02fix	-	dqdx:all_status0:contrast_med	0.92	nan	nan	173
d02ref	-	dqdx:all_status0:hump_3_20	0.5748	nan	nan	0
