label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
all	rms	U	0	197.86	476	6.12925e+07	3.8247	2.31024	1.19789	10.618	1.66379	10.7261	1.05199	0	0.473343
all	rms	U	1	626.48	444	6.15133e+07	4.33821	2.89495	1.4622	12.5167	1.3784	12.5773	1.52307	0	0.428406
all	rms	U	2	1114.1	573	6.1408e+07	4.52109	2.97379	1.71403	14.4865	1.44601	14.5347	1.46103	0	0.41792
all	rms	U	3	1568.42	653	6.13483e+07	4.55087	3.01668	1.91915	15.2547	1.6294	15.2932	1.36722	0	0.422031
all	rms	U	4	1852.11	605	6.14994e+07	4.32462	2.9562	2.03678	14.0698	1.12025	14.1117	1.19605	0	0.421868
all	rms	U	5	2068.31	604	6.1429e+07	4.34845	3.01144	2.12206	14.3098	1.06063	14.3434	1.18896	0	0.433089
all	share	U	0	197.86	476	6.12925e+07	3.8247	2.31024	1.19789	9.51308	1.28854	10.7261	1.05199	0	0.473343
all	share	U	1	626.48	444	6.15133e+07	4.33821	2.89495	1.4622	10.2745	1.14542	12.5773	1.52307	0	0.428406
all	share	U	2	1114.1	573	6.1408e+07	4.52109	2.97379	1.71403	11.7027	1.26708	14.5347	1.46103	0	0.41792
all	share	U	3	1568.42	653	6.13483e+07	4.55087	3.01668	1.91915	11.9101	0.985464	15.2932	1.36722	0	0.422031
all	share	U	4	1852.11	605	6.14994e+07	4.32462	2.9562	2.03678	12.874	1.61523	14.1117	1.19605	0	0.421868
all	share	U	5	2068.31	604	6.1429e+07	4.34845	3.01144	2.12206	11.903	1.04451	14.3434	1.18896	0	0.433089
all	rms	V	0	275.631	558	6.9225e+07	3.74609	2.73948	1.88057	10.022	1.23742	10.065	1.05219	0	0.520966
all	rms	V	1	681.509	483	6.98682e+07	3.86609	2.7818	2.04996	11.3696	1.06824	11.4106	0.936237	0	0.496766
all	rms	V	2	1060.26	634	6.94842e+07	4.18985	2.95396	2.19627	13.6149	2.3444	13.6526	1.03292	0	0.50993
all	rms	V	3	1424.43	640	6.96091e+07	4.20213	3.1256	2.3283	13.2725	2.07179	13.3095	1.14044	0	0.482212
all	rms	V	4	1701.63	669	6.94355e+07	4.09162	3.16802	2.42398	12.5465	2.23545	12.5806	1.09533	0	0.502118
all	rms	V	5	2019.43	661	6.97094e+07	4.13817	3.54136	2.52922	10.9458	1.83549	10.9802	1.50175	0	0.52324
all	share	V	0	275.631	558	6.9225e+07	3.74609	2.73948	1.88057	6.75395	1.43057	10.065	1.05219	0	0.520966
all	share	V	1	681.509	483	6.98682e+07	3.86609	2.7818	2.04996	8.53659	1.36556	11.4106	0.936237	0	0.496766
all	share	V	2	1060.26	634	6.94842e+07	4.18985	2.95396	2.19627	7.40592	2.50246	13.6526	1.03292	0	0.50993
all	share	V	3	1424.43	640	6.96091e+07	4.20213	3.1256	2.3283	8.51254	2.38574	13.3095	1.14044	0	0.482212
all	share	V	4	1701.63	669	6.94355e+07	4.09162	3.16802	2.42398	7.53546	1.67372	12.5806	1.09533	0	0.502118
all	share	V	5	2019.43	661	6.97094e+07	4.13817	3.54136	2.52922	3.85213	2.09521	10.9802	1.50175	0	0.52324
all	rms	W	0	362.11	901	5.29445e+07	5.14619	1.77843	0.772598	23.4927	6.05471	23.9174	0.704684	0	0.486694
all	rms	W	1	869.371	941	5.2928e+07	4.30886	2.05661	1.1954	15.6078	5.72681	15.7656	0.691215	0	0.576714
all	rms	W	2	1286.8	904	5.28776e+07	5.23696	2.23592	1.45386	24.4528	6.22795	24.5401	0.695968	0	0.487545
all	rms	W	3	1568.6	859	5.30255e+07	5.07043	2.3598	1.60498	22.6383	4.46331	22.7165	0.730493	0	0.478036
all	rms	W	4	1802.32	944	5.2931e+07	4.65863	2.33281	1.72027	19.1632	5.32341	19.2202	0.526161	0	0.538242
all	rms	W	5	2045.12	984	5.29657e+07	4.89154	2.5304	1.83238	20.8219	5.16156	20.8818	0.741251	0	0.496485
all	share	W	0	362.11	901	5.29445e+07	5.14619	1.77843	0.772598	10.4101	4.31434	23.9174	0.704684	0	0.486694
all	share	W	1	869.371	941	5.2928e+07	4.30886	2.05661	1.1954	5.92185	3.39625	15.7656	0.691215	0	0.576714
all	share	W	2	1286.8	904	5.28776e+07	5.23696	2.23592	1.45386	10.372	4.73093	24.5401	0.695968	0	0.487545
all	share	W	3	1568.6	859	5.30255e+07	5.07043	2.3598	1.60498	10.9107	2.93943	22.7165	0.730493	0	0.478036
all	share	W	4	1802.32	944	5.2931e+07	4.65863	2.33281	1.72027	7.98437	2.74992	19.2202	0.526161	0	0.538242
all	share	W	5	2045.12	984	5.29657e+07	4.89154	2.5304	1.83238	9.69673	3.49937	20.8818	0.741251	0	0.496485
run:run029107	rms	U	0	197.86	476	6.12925e+07	3.8247	2.31024	1.19789	10.618	1.58096	10.7261	1.05199	0	0.473343
