bragg_valid	cluster_id	comp_bwd0	comp_bwd1	comp_bwd2	comp_bwd3	comp_fwd0	comp_fwd1	comp_fwd2	comp_fwd3	cont_angle_deg	cont_len	cont_mip	contrast	contrast_expected	delta_len	dots_charge_unfit	dots_ke_dqdx	entry_vtx_id	entry_x	entry_y	entry_z	event	gid	has_pass	in_fv	is_stm	kink_num	ks_flat	ks_mu	michel_conn_type	michel_far_len	michel_found	michel_ke_best	michel_ke_dqdx	michel_ke_range	michel_kink_deg	michel_len	michel_mip	muon_len	n_body_hadron	n_body_other	n_chain_segs	n_delta	n_dot_clusters_unfit	n_dots	n_michel_segs	n_plateau	n_profile_pts	n_stop_arms	n_tail	pass	plateau_med	ratio_flat	ratio_mu	reject_bits	short_track	stop_dis	stop_vtx_id	stop_x	stop_y	stop_z	t0_us	tagger_stop_x	tagger_stop_y	tagger_stop_z	tail_med
0	45	0.0	5.328407201534406	9.659745568833081	4.739577785097936	1.0	5.157515404897671	9.555229230915037	3.7063563742925068	-1.0	0.0	0.0	0.0	0.0	3.79907080522151	0.0	0.0	45006	-351.55290701994494	419.87777971590697	153.5690783470699	029107_0	135	1	0	0	129	0.25202240412698634	0.16779185838548258	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	72.21850695866854	0	0	2	1	0	0	0	5	87	0	2	0	7343.402884690707	4.161792455667112	6.186810274218392	84	0	4.491187158249683	45005	-352.2814773932927	489.265743810405	146.8087650480518	2657.746349047717	-351.71715834533444	485.7542879222298	149.55138854535113	23482.134720961854
0	56	0.0	20.943911716323797	33.09966162868314	5.824897278390208	0.0	8.294467637891858	13.59857336631689	5.222402362513347	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56000	-89.18020960342166	14.194858866485262	455.3432068116696	029107_0	59	1	0	0	168	0.024877255715890167	0.23463700901011852	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	89.9110714734531	0	0	3	0	0	0	0	2	6	1	0	0	9756.396828489897	5.525637329801779	9.293261902260392	348	0	11.943455455141349	56004	-21.983619438096593	39.478675355530164	458.24760456379164	297.7952530371935	-14.842982545329804	32.03963119982457	452.2211582623578	0.0
0	32	0.0	107.12787490992632	167.02491710328292	32.62944805514838	0.0	7.177722349300474	12.33080317065926	5.356972169144758	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32001	-286.6862464209462	282.3291012894772	192.4360835653757	029107_1	83	1	1	0	133	0.08893382898102487	0.2085104640090767	1	0.0	1	4.606130666657274	4.606130666657274	11.417002133198254	76.7191538825438	4.685599618349885	0.50397643280989	87.90252276484173	0	1	4	0	0	0	1	4	8	1	0	0	6412.414921836376	5.4683566147558205	8.18234633189645	284	0	2.624953527961526	32002	-323.03944003760455	242.56446580089428	218.41252318239785	805.7699766705881	-323.93202279120567	240.5982750116795	216.91995129724842	0.0
0	46	1.0	15.831561808263322	25.93226117462988	5.112629077550936	1.0	8.929769806817173	15.011404262467602	2.7248522001133284	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46000	-349.4599113794651	572.4635384661716	359.5042782469023	029107_1	94	1	1	0	75	0.24342231762276328	0.1716878381024099	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	44.79437290836427	0	0	1	0	0	0	0	0	7	0	3	0	0.0	3.9670580890495897	10.229854617792832	276	0	0.26336591570078505	46001	-335.5974815635271	565.965596660107	317.81158281463263	1516.4797828646172	-335.65069045504805	566.1765820490208	317.9599593123704	9406.00984965747
0	57	0.0	18.889977441052167	30.14605335115006	9.65152346654689	0.0	12.12633150982983	20.728229635968226	5.818575661066178	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57005	-174.593968171536	26.327504124695622	65.50108792123766	029107_1	61	1	1	0	88	0.009251860422660019	0.17591794379306935	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	38.493984270755305	0	0	3	0	0	0	0	0	5	0	0	0	0.0	6.602148787021216	13.165721801474607	284	1	1.3732449368786033	57002	-170.70623116825658	62.9519917020577	75.185500303486	-58.58796435304198	-169.77038237208117	63.82286322623908	74.68393128956096	0.0
0	92	0.0	10.603153402063533	17.36835291597804	6.22501783099618	0.0	12.163857243432323	20.011116229671003	5.8437413562035445	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92001	339.6122917824305	8.916851427206112	9.579853131370394	029107_1	1000112	1	1	0	53	0.19516016562884475	0.20826574831201777	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	31.3293131497151	0	0	1	0	0	0	0	0	5	0	2	0	0.0	6.527935632875448	13.507269596842297	284	1	0.08191809005199704	92000	346.366013966307	37.984707565573615	19.11847823500339	2339.507314990386	346.3868241258377	38.06095110243575	19.140028961785266	4193.913228563984
0	104	0.0	12.35944115680485	19.759854892073275	3.154993638808084	0.0	17.090550591760266	27.11174515420185	4.626442135494016	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104004	2.095959731458879	10.419021262033782	447.549452893162	029107_1	1000021	1	1	0	360	0.0	0.0	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	41.646260635783776	0	0	1	0	0	0	0	0	2	2	0	0	0.0	0.0	0.0	278	0	137.7222411684048	104005	22.943627688911327	47.27060167215249	445.4141209231957	-1908.3723246693319	63.04809477837587	177.13242372800585	423.16654567886434	0.0
0	112	0.0	5.666810952051231	10.127089343657731	3.517077796973777	0.0	13.209423494792498	22.564541145973358	8.150611690195978	-1.0	0.0	0.0	0.0	0.0	5.19078524442041	0.0	0.0	112002	-215.9069051277862	11.876779408966463	451.51155937893543	029107_1	45	1	0	0	1374	0.21254122077931847	0.30684702483095583	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	817.8076070435094	0	11	12	1	0	0	0	0	206	0	4	1	0.0	8.338094291738892	14.473885627105657	92	0	0.23632028584858986	112001	151.67720465812397	518.2275126706643	4.33000264599623	-908.190741977967	151.56994491219314	518.4370176356549	4.308782512851315	4382.015275704956
0	113	0.0	0.1880794797162026	0.9647583526537606	0.1087239410960095	1.0	3.864285853679301	7.127111221877001	1.377885063289462	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113000	88.10560912090232	587.5350784540428	285.30497035840875	029107_1	1000025	1	0	0	442	0.2402543621780333	0.164208008766294	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	281.5017605826715	0	3	5	0	0	0	0	0	119	1	5	0	0.0	2.3834568702282666	4.968064424391919	84	0	0.7688256688061811	113022	-5.142311034896638	333.70991946453194	271.5734037185712	-1771.6885179387905	-5.616242877294144	334.13392800031136	271.1413177556389	35948.637054862986
1	40	1.0	26.373411525491804	43.781446387825035	22.307711408650594	0.0	0.861274542851604	2.0925347474216647	0.6507447649582483	-1.0	0.0	0.0	0.26149036782251994	1.9246242447519046	0.0	0.0	0.0	40000	-108.75212200514159	15.227110169421877	450.0645569954398	029107_2	50	1	0	0	1297	0.14409510787752622	0.2443751631740988	0	0.0	0	0.0	0.0	0.0	-1.0	0.0	0.0	805.7983926290389	0	5	9	0	0	0	0	34	1016	0	4	1	40434.548634129256	1.4031443213021704	1.8395637080487075	92	0	0.31926090694791587	40001	-182.7252518535941	605.4174037508349	47.15163148124719	-449.1099060587551	-182.68771606547762	605.6908508019121	46.991178056313714	10573.244995076031
