arm	nclusters	npoints	excluded	frac_excluded	npl0	npl1	npl2	npl3	sampledU	sampledV	sampledW	ctpc_all3
knob_OFF_production	90	160977	47400	0.2945	0.0021	0.2935	0.4569	0.2475	0.5348	0.4257	0.9892	0.9949
knob_ON	92	161854	124	0.0008	0.0000	0.0008	0.0496	0.9496	0.9770	0.9826	0.9893	0.9949
