label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
run:run029107	rms	U	5	1972.47	891	1.12451e+08	4.40998	3.1097	2.08468	14.0849	1.12069	14.1236	1.34804	0	0.422813
run:run029107	share	U	0	194.461	1073	1.1232e+08	4.24945	2.27652	1.19556	11.1511	0.848354	14.3047	1.01532	0	0.452414
run:run029107	share	U	1	512.211	974	1.1246e+08	4.26106	2.54355	1.39663	10.9684	1.08112	13.6376	1.18601	0	0.444484
run:run029107	share	U	2	797.186	949	1.12244e+08	4.32095	2.6621	1.55501	11.5144	1.01497	14.0019	1.21633	0	0.436027
run:run029107	share	U	3	1107.19	929	1.1249e+08	4.22181	2.75319	1.71072	11.5623	1.16219	13.1702	1.21201	0	0.435724
run:run029107	share	U	4	1508.08	928	1.12528e+08	4.53747	2.99301	1.89319	11.733	1.21939	15.2147	1.35946	0	0.424463
run:run029107	share	U	5	1972.47	891	1.12451e+08	4.40998	3.1097	2.08468	11.9486	1.0514	14.1236	1.34804	0	0.422813
run:run029107	rms	V	0	201.556	904	9.66376e+07	4.00474	2.73958	1.84798	11.9029	1.55062	11.9476	1.08147	0	0.50374
run:run029107	rms	V	1	597.592	903	9.67953e+07	4.15062	3.04339	2.0161	11.994	1.33883	12.0301	1.32321	0	0.481473
run:run029107	rms	V	2	1029.38	882	9.67196e+07	4.12626	3.01965	2.18471	12.6464	1.54747	12.6807	1.13916	0	0.474235
run:run029107	rms	V	3	1297.88	815	9.67185e+07	4.14439	3.06848	2.28328	12.9391	1.88336	12.9738	1.10698	0	0.473937
run:run029107	rms	V	4	1584.41	806	9.6795e+07	3.77335	3.00342	2.38399	10.8648	1.03782	10.901	0.878093	0	0.489177
run:run029107	rms	V	5	1928.66	771	9.6763e+07	4.11299	3.27549	2.49961	12.4025	1.26695	12.4359	1.17064	0	0.460664
run:run029107	share	V	0	201.556	904	9.66376e+07	4.00474	2.73958	1.84798	7.5188	0.941686	11.9476	1.08147	0	0.50374
run:run029107	share	V	1	597.592	903	9.67953e+07	4.15062	3.04339	2.0161	7.54235	1.37843	12.0301	1.32321	0	0.481473
run:run029107	share	V	2	1029.38	882	9.67196e+07	4.12626	3.01965	2.18471	9.03608	1.34469	12.6807	1.13916	0	0.474235
run:run029107	share	V	3	1297.88	815	9.67185e+07	4.14439	3.06848	2.28328	9.20976	1.55103	12.9738	1.10698	0	0.473937
run:run029107	share	V	4	1584.41	806	9.6795e+07	3.77335	3.00342	2.38399	9.19696	1.35115	10.901	0.878093	0	0.489177
run:run029107	share	V	5	1928.66	771	9.6763e+07	4.11299	3.27549	2.49961	9.82055	0.945143	12.4359	1.17064	0	0.460664
run:run029107	rms	W	0	202.444	1347	6.0907e+07	4.34195	1.36385	0.578793	16.2382	4.57861	17.3275	0.560241	0	0.611425
run:run029107	rms	W	1	549.415	1055	6.11348e+07	2.64119	1.48317	0.950869	5.0485	2.0757	5.68026	1.45519e-11	0	0.75324
run:run029107	rms	W	2	831.666	1222	6.11066e+07	3.38398	1.81416	1.16925	9.41722	2.77036	9.5273	0.211731	0	0.672575
run:run029107	rms	W	3	1151.94	1309	6.1012e+07	4.40367	2.21334	1.37568	16.2627	3.22832	16.3859	0.748798	0	0.538871
run:run029107	rms	W	4	1557.44	1232	6.10101e+07	4.05868	2.31998	1.59927	13.573	3.72506	13.6482	0.671536	0	0.557784
run:run029107	rms	W	5	1967.35	1277	6.11315e+07	3.70674	2.47001	1.79723	10.8098	2.73413	10.8691	0.681785	0	0.599434
run:run029107	share	W	0	202.444	1347	6.0907e+07	4.34195	1.36385	0.578793	5.01071	1.97896	17.3275	0.560241	0	0.611425
run:run029107	share	W	1	549.415	1055	6.11348e+07	2.64119	1.48317	0.950869	1.96772	0.455367	5.68026	1.45519e-11	0	0.75324
run:run029107	share	W	2	831.666	1222	6.11066e+07	3.38398	1.81416	1.16925	3.68806	0.824526	9.5273	0.211731	0	0.672575
run:run029107	share	W	3	1151.94	1309	6.1012e+07	4.40367	2.21334	1.37568	7.39436	1.86508	16.3859	0.748798	0	0.538871
run:run029107	share	W	4	1557.44	1232	6.10101e+07	4.05868	2.31998	1.59927	6.76305	2.54989	13.6482	0.671536	0	0.557784
run:run029107	share	W	5	1967.35	1277	6.11315e+07	3.70674	2.47001	1.79723	5.11328	0.995343	10.8691	0.681785	0	0.599434
length:L<100cm	rms	U	0	52.0313	63	6.43304e+06	4.9104	2.23866	1.0935	20.1525	9.82662	20.2962	1.03766	0	0.431301
length:L<100cm	rms	U	1	133.52	93	6.71381e+06	4.02876	1.99486	1.153	13.4238	3.78754	13.5809	0.690562	0	0.456729
length:L<100cm	rms	U	2	340.271	87	6.53326e+06	4.4351	2.44145	1.29172	15.3002	6.6289	15.378	1.13702	0	0.431396
length:L<100cm	rms	U	3	1491.13	75	6.61909e+06	3.40724	2.56404	1.88583	8.54231	1.19931	8.59133	0.7821	0	0.532753
length:L<100cm	rms	U	4	1718.11	100	6.55746e+06	3.2159	2.55623	1.98209	7.69133	1.23333	7.73637	0.630772	0	0.537073
length:L<100cm	rms	U	5	2169.33	89	6.66442e+06	4.35365	2.65464	2.16075	16.5384	3.58504	16.576	0.528173	0	0.452379
length:L<100cm	share	U	0	52.0313	63	6.43304e+06	4.9104	2.23866	1.0935	12.778	6.09127	20.2962	1.03766	0	0.431301
length:L<100cm	share	U	1	133.52	93	6.71381e+06	4.02876	1.99486	1.153	11.9239	4.21212	13.5809	0.690562	0	0.456729
length:L<100cm	share	U	2	340.271	87	6.53326e+06	4.4351	2.44145	1.29172	12.3165	5.46421	15.378	1.13702	0	0.431396
length:L<100cm	share	U	3	1491.13	75	6.61909e+06	3.40724	2.56404	1.88583	7.19979	1.49885	8.59133	0.7821	0	0.532753
length:L<100cm	share	U	4	1718.11	100	6.55746e+06	3.2159	2.55623	1.98209	7.41441	1.4826	7.73637	0.630772	0	0.537073
length:L<100cm	share	U	5	2169.33	89	6.66442e+06	4.35365	2.65464	2.16075	12.6191	2.00029	16.576	0.528173	0	0.452379
length:L<100cm	rms	V	0	57.5971	68	8.32458e+06	4.25418	2.56696	1.78295	14.6334	3.31316	14.6877	0.905864	0	0.495565
length:L<100cm	rms	V	1	132.209	78	8.34058e+06	3.60374	2.5324	1.81694	9.82198	3.05168	9.87518	0.814811	0	0.517519
length:L<100cm	rms	V	2	287.803	113	8.35407e+06	3.71902	2.63238	1.88587	10.4127	2.382	10.4582	0.890688	0	0.539722
length:L<100cm	rms	V	3	1016.18	80	8.32671e+06	3.53494	2.72358	2.17975	9.78823	0.683241	9.82916	0.654965	0	0.511122
length:L<100cm	rms	V	4	1487.34	74	8.23381e+06	3.60263	3.12822	2.35035	8.68254	2.75614	8.71732	1.1205	0	0.518639
length:L<100cm	rms	V	5	2017.52	111	8.50414e+06	3.37079	2.96288	2.5286	8.94391	1.18348	8.9774	0.529265	0	0.528048
length:L<100cm	share	V	0	57.5971	68	8.32458e+06	4.25418	2.56696	1.78295	8.71737	3.03085	14.6877	0.905864	0	0.495565
length:L<100cm	share	V	1	132.209	78	8.34058e+06	3.60374	2.5324	1.81694	7.84221	2.434	9.87518	0.814811	0	0.517519
length:L<100cm	share	V	2	287.803	113	8.35407e+06	3.71902	2.63238	1.88587	6.50797	3.07567	10.4582	0.890688	0	0.539722
length:L<100cm	share	V	3	1016.18	80	8.32671e+06	3.53494	2.72358	2.17975	8.63632	1.8753	9.82916	0.654965	0	0.511122
