# doc pdhd/stm-tagger-chain sec 12: steiner_terminal_charge census, run 029107, 30 events, pinned binary
floor_e	acc_resid	acc_dqdx	fewterm	nosteiner	thin_calls	term_in	term_out	keep	foff_far_U	foff_near_U	k_pop	n_c2	doc55
4000	154	151	4496	1568	1013	106105	95510	0.900	0.631	0.059	0.9066	20	0
2000	157	153	4170	1475	1170	128055	114143	0.891	0.711	0.053	0.8984	22	1
1000	164	160	3909	1381	1327	146182	129777	0.888	0.693	0.059	0.8878	20	0
500	175	170	3719	1317	1454	163639	145124	0.887	0.721	0.047	0.8876	17	1
250	178	173	3616	1297	1504	180278	160003	0.888	0.716	0.051	0.8592	23	1
500_retile	207	205	1560	574	2631	385623	341260	0.885	0.586	0.056	0.9268	24	1
