label	n	nc0	nc1	nc2	nc3	eligible	q0_U	q0_V	q0_W	combo_UVW	combo_UV	combo_UW	combo_VW	combo_U	combo_V	combo_W	combo_-	cand_frac	control_delta	control_npt_match	zero_U	sent_nb_U	sent_nonb_U	live_nb_U	empty_U	zero_V	sent_nb_V	sent_nonb_V	live_nb_V	empty_V	zero_W	sent_nb_W	sent_nonb_W	live_nb_W	empty_W	eligible_nb
pdvd_039252_2_d31r6e2e	455972	0.1731	0.1465	0.2188	0.4617	0.6804	0.3461	0.3395	0.3453	0.4617	0.0896	0.0621	0.0670	0.0405	0.0422	0.0639	0.1731	0.3834	174806	0																
pdvd_039252_2_probe	293499	0.0669	0.1844	0.2313	0.5174	0.7487	0.2779	0.2632	0.2597	0.5174	0.0930	0.0627	0.0755	0.0490	0.0508	0.0846	0.0669	0.4241	61	1	0.2779	0.6732	0.3259	0.0009	0.0000	0.2632	0.6791	0.3205	0.0002	0.0002	0.2597	0.4886	0.4886	0.0172	0.0056	0.9429
