plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1
U	0.785191	0.719492	0.379587	1.29815	0.432761	0.469918	0.0839118	0.0134084	0.410401	0.486007	0.0974404	0.00615188	0.571591	0.418233	0.0101762	0	0.433274	0.483694	0.0796359	0.00339557	0.0592344	0.0285775	0.27766	-0.00627208	-0.0129053
V	0.732189	0.571015	0.48097	1.12656	0.505857	0.413044	0.06719	0.0139085	0.439355	0.48151	0.0760099	0.00312577	0.549946	0.430845	0.0192093	0	0.507282	0.456251	0.0361165	0.000349881	0.154571	0.0892642	0.123778	0.00196281	0.00407637
W	0.956942	0.624866	0.307569	0.681648	0.51061	0.353016	0.0969713	0.0394028	0.375585	0.482851	0.127424	0.0141406	0.706374	0.293479	0.000146193	0	0.512007	0.451808	0.0357693	0.000415894	0.320576	0.200378	0.391528	-0.00519035	-0.0107494
