label	U0_share	U1_share	U2_share	U0_nz	U1_nz	U2_nz	V0_share	V1_share	V2_share	V0_nz	V1_nz	V2_nz	J00_share	J01_share	J10_share	J11_share	J12_share	J21_share	J22_share	J00_bothnz	J01_bothnz	J10_bothnz	J11_bothnz	J12_bothnz	J21_bothnz	J22_bothnz	prior00	prior01	prior10	prior11	prior12	prior21	prior22	two_seg_U	pair_covered_U	two_seg_V	pair_covered_V
pdhd_prod_4evt	0.3397	0.4735	0.1868	0.5764	0.0000	0.0287	0.2894	0.5297	0.1810	0.2006	0.0000	0.0198	0.1603	0.1794	0.1291	0.2245	0.1199	0.1257	0.0611	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_prod_evt0	0.2019	0.5923	0.2058	0.4258	0.0000	0.0105	0.2589	0.5204	0.2206	0.3104	0.0000	0.0085	0.0719	0.1300	0.1870	0.2265	0.1788	0.1640	0.0418	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_retiler_evt0	0.2258	0.5958	0.1784	0.7550	0.0061	0.6889	0.2803	0.5421	0.1776	0.6908	0.0264	0.7471	0.0809	0.1449	0.1994	0.2473	0.1491	0.1499	0.0285	0.4948	0.0019	0.0035	0.0000	0.0034	0.0042	0.4957	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_clussampler_evt0	0.2020	0.5943	0.2037	0.4319	0.0000	0.0106	0.2535	0.5374	0.2090	0.3201	0.0000	0.0043	0.0722	0.1298	0.1813	0.2454	0.1675	0.1622	0.0415	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_clussampler_retiler_evt0	0.2244	0.5988	0.1768	0.7542	0.0056	0.6899	0.2738	0.5620	0.1642	0.7025	0.0234	0.7498	0.0804	0.1440	0.1934	0.2690	0.1364	0.1490	0.0278	0.4916	0.0019	0.0035	0.0000	0.0030	0.0032	0.4938	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_both_4evt	0.3615	0.4778	0.1607	0.7996	0.7459	0.6640	0.3003	0.5458	0.1540	0.7697	0.7313	0.7220	0.1704	0.1911	0.1299	0.2475	0.1005	0.1072	0.0535	0.6758	0.6384	0.5784	0.6147	0.5902	0.4748	0.5415	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_both_evt0	0.2214	0.6047	0.1738	0.7408	0.7276	0.6882	0.2741	0.5543	0.1716	0.6878	0.7255	0.7463	0.0790	0.1425	0.1951	0.2656	0.1440	0.1462	0.0276	0.4883	0.6039	0.5143	0.5894	0.6158	0.5396	0.4957	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733				
pdhd_both_probe_evt0	0.2214	0.6047	0.1738	0.7408	0.7276	0.6882	0.2741	0.5543	0.1716	0.6878	0.7255	0.7463	0.0790	0.1425	0.1951	0.2656	0.1440	0.1462	0.0276	0.4883	0.6039	0.5143	0.5894	0.6158	0.5396	0.4957	0.1342	0.1331	0.1326	0.2673	0.1297	0.1298	0.0733	0.3309	0.0236	0.3800	0.0109
