event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
111412	41.972	40.53	2.45	toward	40.53	0.04->4.30	0.07->-0.46	=
46363	41.387	45.06	86.41	ADVERSE	45.06	4.30->-3.44	-1.04->-2.19	=
235435	6.932	30.82	37.20	ADVERSE	30.82	-15.00->-4.30	0.69->1.00	=
