event	moved_cm	dA_cm	dB_cm	verdict	b1_cm	nue	numu	cosmict
323369	235.736	235.74	0.00	toward	235.74	=	-0.39->-1.69	0.0->1.0
497311	185.398	145.66	79.38	toward	145.66	=	-1.31->4.30	1.0->0.0
389379	155.594	155.59	0.00	toward	155.59	=	2.17->2.63	1.0->0.0
173620	110.690	15.10	102.15	ADVERSE	15.10	=	0.80->0.82	=
407886	96.411	104.19	42.06	toward	104.19	=	-0.91->-2.22	=
395277	78.291	10.29	68.07	ADVERSE	10.29	=	-0.07->1.19	1.0->0.0
65266	45.178	45.47	0.32	toward	45.47	=	-0.35->2.11	=
97062	34.137	32.99	1.47	toward	32.99	-15.00->-4.30	0.38->0.59	=
179246	31.909	31.91	0.00	toward	31.91	=	-1.57->2.23	=
321015	29.393	0.00	29.39	ADVERSE	0.00	=	2.39->2.59	=
47278	26.990	0.00	26.99	ADVERSE	0.00	=	1.64->0.36	=
283299	24.306	0.00	24.31	ADVERSE	0.00	=	3.79->2.62	=
350354	14.836	19.80	5.06	toward	19.80	-1.05->-15.00	1.51->0.45	0.0->1.0
179912	7.571	5.23	2.34	toward	5.23	=	2.01->2.30	=
173912	4.877	5.28	0.60	toward	5.28	=	1.78->2.09	=
95170	2.546	68.71	66.17	toward	68.71	=	0.08->3.36	=
170326	2.188	2.19	0.00	toward	2.19	=	-1.44->2.85	=
