run	subrun	event	numu_off	numu_on	nue_off	nue_on	enu_off	enu_on	vtx_zero	vtx_move_cm
18255	1	58717	0.37466562	-0.69416696			209.05942	302.4463	0.0	17.200255723324023
18255	1	59261	1.7145482	-0.36173645			326.9223	412.4171	0.0	90.63290077933564
18255	1	278046	-0.30466187	0.013685057			659.3096	804.8018	0.0	7.241701577177844
18255	1	282385	3.6972318	4.301008			487.07968	594.929	0.0	8.229412256637769
18255	1	282899	3.3667924	2.5226736			489.5984	728.0034	0.0	130.61103361196294
18255	1	286681	0.7851239	3.1978662	-15.0	-4.300936	1814.9766	1175.1168	0.0	42.48010317296596
18255	1	315497	2.3810687	4.301008			950.9665	1089.638	0.0	56.44437762980526
18255	1	353751	0.8955227	4.301008			748.33777	700.1598	0.0	120.13791232099929
18255	1	409546	-1.0783886	-0.54599273			301.23502	293.6715	0.0	19.0263398995008
18259	1	172266	1.0024275	1.8537782			779.34143	732.9358		
18259	1	172832					657.34045	453.5251	0.0	122.5585265002707
18259	1	175016							0.0	4.596385560961074
18259	1	175896	-0.99821514	-1.0980809	-15.0	-4.300936	431.15964	492.02646	0.0	33.63504626922624
