# doc pr/149 A/B index -- A = stepped (production; arms pr149s0 / pr149s2s0), B = charge_stepped (pr149cs / pr149s2cs)
# zips bee/pr149/pr149-s0-stepped.zip / pr149-cs-charge_stepped.zip (built locally, NOT uploaded: owner-gated)
# order: owner ISO cases (docs pr/24,45,67,73), then Stage-1 >10 cm vertex movers, then Stage-2 lost candidates and ISO-strong movers
# NOT blinded: arm identity is in the zip names (house bee-review convention)
# status: owner = owner case; RESCUED = B within 3 cm of the click and A was not; ADVERSE = B moved >10 cm away or lost the candidate; mover = other large move
# bee_idx	sample	event	status
22	mcp1k	172788	ADVERSE: stage2 vertex away 99.3->inf cm; vertex to click 99.3 -> inf cm; nu_eval 1->0; nue -15.0->-; numu 1.728139->-; Enu 807.6218->- MeV; zigzag rms 1.872->nan mm; stubs 2->-
23	mcp1k	281953	ADVERSE: stage2 lost candidate (s0 vertex 0.0 cm); vertex to click 0.0 -> inf cm; nu_eval 1->0; nue -15.0->-; numu -1.3760822->-; Enu 331.29236->- MeV; zigzag rms 1.012->nan mm; stubs 0->-
24	mcp2k	70472	ADVERSE: stage2 vertex away 3.8->inf cm; vertex to click 3.8 -> inf cm; nu_eval 1->0; nue -15.0->-; numu 0.77778333->-; Enu 1188.1641->- MeV; zigzag rms 2.667->nan mm; stubs 0->-
25	mcp2k	77328	ADVERSE: stage2 lost candidate (s0 vertex 0.4 cm); vertex to click 0.4 -> inf cm; nu_eval 1->0; nue -15.0->-; numu 2.6310334->-; Enu 1054.9174->- MeV; zigzag rms 0.499->nan mm; stubs 0->-
26	mcp2k	93776	ADVERSE: stage2 lost candidate (s0 vertex 0.0 cm); vertex to click 0.0 -> inf cm; nu_eval 1->0; nue -15.0->-; numu 4.2862206->-; Enu 502.0243->- MeV; zigzag rms 0.499->nan mm; stubs 0->-
27	mcp2k	99232	ADVERSE: stage2 vertex away 0.3->31.5 cm; vertex to click 0.3 -> 31.5 cm; nu_eval 1->1; nue -15.0->-15.0; numu 3.8869133->2.2813802; Enu 1042.0941->995.5105 MeV; zigzag rms 3.676->3.679 mm; stubs 0->1
28	mcp2k	174795	ADVERSE: stage2 lost candidate (s0 vertex 0.0 cm); vertex to click 0.0 -> inf cm; nu_eval 1->0; nue -15.0->-; numu 2.183978->-; Enu 609.9256->- MeV; zigzag rms 1.327->nan mm; stubs 0->-
29	mcp2k	321235	ADVERSE: stage2 vertex away 0.3->195.5 cm; vertex to click 0.3 -> 195.5 cm; nu_eval 1->1; nue -15.0->-15.0; numu -2.3276658->-1.9364256; Enu 1458.5139->854.9808 MeV; zigzag rms 0.330->0.335 mm; stubs 1->0
30	mcp2k	321937	ADVERSE: stage2 vertex away 0.0->11.5 cm; vertex to click 0.0 -> 11.5 cm; nu_eval 1->1; nue -15.0->-15.0; numu 4.6010056->3.7892995; Enu 675.29175->850.7607 MeV; zigzag rms 1.531->1.999 mm; stubs 0->0
31	mcp2k	350354	ADVERSE: stage2 vertex away 5.2->16.5 cm; vertex to click 5.2 -> 16.5 cm; nu_eval 1->1; nue -15.0->-3.832005; numu 0.6892362->0.49038276; Enu 965.83203->645.3812 MeV; zigzag rms 0.514->0.540 mm; stubs 0->4
32	mcp2k	409052	ADVERSE: stage2 lost candidate (s0 vertex 0.0 cm); vertex to click 0.0 -> inf cm; nu_eval 1->0; nue -15.0->-; numu -1.2915916->-; Enu 521.7295->- MeV; zigzag rms 1.408->nan mm; stubs 0->-
33	mcp2k	497311	mover: stage2 vertex toward 191.8->145.8 cm; vertex to click 191.8 -> 145.8 cm; nu_eval 1->1; nue -15.0->-15.0; numu -2.7735426->-2.4793649; Enu 581.6688->1265.4514 MeV; zigzag rms 1.041->0.240 mm; stubs 0->1
