idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	10	1970900	0	nan
1	6505	130	11	1852732	0	nan
2	6512	130	12	1780500	0	nan
3	6520	130	15	1840636	0	nan
4	6528	130	11	1964112	0	nan
5	6529	130	10	1888488	0	nan
6	6532	130	16	2184436	0	nan
7	6536	130	11	1896972	0	nan
8	6545	130	13	1954444	0	nan
9	6550	130	10	1731060	0	nan
10	6570	131	19	2152136	0	nan
11	6588	131	9	1770180	0	nan
12	6604	132	24	2292248	0	nan
13	6606	132	12	2046340	0	nan
14	6612	132	13	2148864	0	nan
15	6642	132	16	2178180	0	nan
16	6650	132	12	2097860	0	nan
17	6711	134	10	1829056	0	nan
18	6748	134	12	1831180	0	nan
19	6775	135	10	1824600	0	nan
20	6786	135	16	2074732	0	nan
21	6804	136	12	1884376	0	nan
22	6805	136	11	2017916	0	nan
23	6806	136	11	2085172	0	nan
24	6821	136	11	1849032	0	nan
25	6822	136	15	2248336	0	nan
26	6837	136	13	2156020	0	nan
27	6844	136	13	2083700	0	nan
28	6852	137	13	1905516	0	nan
29	6867	137	11	1839020	0	nan
30	6874	137	20	2242628	0	nan
31	6878	137	14	2010292	0	nan
32	6887	137	11	1838816	0	nan
33	6888	137	20	2125500	0	nan
34	6898	137	10	1815080	0	nan
