run	idx	evt	gid	t	ch	pred	meas	cov	sat	r_cath	n_good_cath	predsum_cath	total_pe	gold	nbund	bary_x	bary_y	bary_z	qfrac_top
039252	0	298567	13	-2095.01	0	0.022	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	1	0.009	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	2	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	3	0.026	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	4	6.518	9.26	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	5	1.549	0.65	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	6	2.228	2.82	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	7	10.065	0.0	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	8	150.668	333.38	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	9	3.965	0.0	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	10	2.688	10.29	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	11	117.433	0.98	1	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	12	0.029	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	13	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	14	0.002	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	15	0.001	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	16	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	17	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	18	0.014	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	19	0.018	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	20	0.005	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	21	0.001	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	22	0.002	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	23	0.005	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	24	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	25	0.001	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	26	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	27	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	28	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	29	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	30	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	31	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	32	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	33	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	34	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	35	0.001	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	36	0.001	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	37	0.001	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	38	0.002	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	13	-2095.01	39	0.0	0.0	0	0	1.211	8	295.1	357.4	0	2	10.9	14.0	130.4	0.787
039252	0	298567	14	-2083.39	0	0.001	29.79	1	0	1.8472	8	114.1	252.7	0	1	-4.9	-143.8	65.4	0.0
039252	0	298567	14	-2083.39	1	0.004	0.0	0	0	1.8472	8	114.1	252.7	0	1	-4.9	-143.8	65.4	0.0
039252	0	298567	14	-2083.39	2	0.0	10.17	0	0	1.8472	8	114.1	252.7	0	1	-4.9	-143.8	65.4	0.0
039252	0	298567	14	-2083.39	3	0.01	2.01	0	0	1.8472	8	114.1	252.7	0	1	-4.9	-143.8	65.4	0.0
039252	0	298567	14	-2083.39	4	0.168	31.63	1	0	1.8472	8	114.1	252.7	0	1	-4.9	-143.8	65.4	0.0
039252	0	298567	14	-2083.39	5	0.529	2.88	1	0	1.8472	8	114.1	252.7	0	1	-4.9	-143.8	65.4	0.0
