run	idx	evt	side	uid	gid	t0src	pen_raw	pen_contig	n_contig	n_det	tick_face	tick_contig	tick_deep	nticks	pad_contig	pad_deep	det_pen	det_gap	det_djunc	det_q
039252	0	298567	B	50	37	pin	1.67	1.67	8	0	2325.0	2347.0	2347.0	9766	-7419.0	-7419.0	0.0	0.0	0.0	0.0
039252	0	298567	B	8	41	pin	0.3	0.3	3	0	2611.0	2615.0	2615.0	9766	-7151.0	-7151.0	0.0	0.0	0.0	0.0
039252	0	298567	T	4000097	96	geo	5.33	5.33	23	0	7459.0	7531.0	7531.0	10000	-2469.0	-2469.0	0.0	0.0	0.0	0.0
039252	0	298567	B	34	91	geo	1.3	1.3	10	0	6842.0	6859.0	6859.0	9766	-2907.0	-2907.0	0.0	0.0	0.0	0.0
039252	13	298749	T	4000006	85	geo	15.44	-0.85	0	5	4615.0	4603.0	4823.0	10000	-5397.0	-5177.0	15.44	15.4	6.2	0.0019
039252	13	298749	B	101	61	pin	1.18	1.18	5	0	3143.0	3159.0	3159.0	9766	-6607.0	-6607.0	0.0	0.0	0.0	0.0
039252	13	298749	B	3	105	pin	0.52	0.52	6	0	6048.0	6055.0	6055.0	9766	-3711.0	-3711.0	0.0	0.0	0.0	0.0
039252	10	298707	B	78	106	pin	1.07	1.07	5	0	6361.0	6375.0	6375.0	9766	-3391.0	-3391.0	0.0	0.0	0.0	0.0
039252	10	298707	T	4000206	22	pin	0.14	0.14	1	0	1630.0	1631.0	1631.0	10000	-8369.0	-8369.0	0.0	0.0	0.0	0.0
039252	10	298707	B	163	159	pin	1.31	1.31	7	0	9598.0	9615.0	9615.0	9766	-151.0	-151.0	0.0	0.0	0.0	0.0
039252	10	298707	B	125	42	pin	0.41	0.41	2	0	2338.0	2343.0	2343.0	9766	-7423.0	-7423.0	0.0	0.0	0.0	0.0
039252	11	298721	B	100	20	pin	1.2	1.2	9	0	379.0	395.0	395.0	9766	-9371.0	-9371.0	0.0	0.0	0.0	0.0
039252	11	298721	T	4000279	121	pin	0.24	0.24	1	0	7268.0	7271.0	7271.0	10000	-2729.0	-2729.0	0.0	0.0	0.0	0.0
039252	11	298721	B	51	121	pin	4.23	4.23	17	0	7222.0	7279.0	7279.0	9766	-2487.0	-2487.0	0.0	0.0	0.0	0.0
039252	12	298735	T	4000176	70	pin	1.68	1.68	10	0	3265.0	3287.0	3287.0	10000	-6713.0	-6713.0	0.0	0.0	0.0	0.0
039252	12	298735	B	113	70	pin	1.35	1.35	7	0	3233.0	3251.0	3251.0	9766	-6515.0	-6515.0	0.0	0.0	0.0	0.0
039252	12	298735	T	4000186	143	geo	0.31	0.31	9	0	7859.0	7863.0	7863.0	10000	-2137.0	-2137.0	0.0	0.0	0.0	0.0
039252	12	298735	B	143	167	geo	1.04	1.04	6	0	9397.0	9411.0	9411.0	9766	-355.0	-355.0	0.0	0.0	0.0	0.0
039252	1	298581	T	4000032	83	geo	10.77	10.77	74	0	5042.0	5187.0	5187.0	10000	-4813.0	-4813.0	0.0	0.0	0.0	0.0
039252	1	298581	T	4000345	52	pin	7.45	1.53	14	5	2879.0	2899.0	2979.0	10000	-7101.0	-7021.0	7.45	5.33	6.5	0.0009
039252	1	298581	B	47	26	pin	0.88	0.88	5	0	1540.0	1551.0	1551.0	9766	-8215.0	-8215.0	0.0	0.0	0.0	0.0
039252	1	298581	T	4000124	86	pin	0.37	0.37	2	0	5342.0	5347.0	5347.0	10000	-4653.0	-4653.0	0.0	0.0	0.0	0.0
039252	1	298581	B	72	86	pin	1.13	1.13	5	0	5284.0	5299.0	5299.0	9766	-4467.0	-4467.0	0.0	0.0	0.0	0.0
039252	14	298763	T	4000558	86	pin	0.08	0.08	1	0	5486.0	5487.0	5487.0	10000	-4513.0	-4513.0	0.0	0.0	0.0	0.0
039252	14	298763	B	36	71	pin	0.87	0.87	5	0	4528.0	4539.0	4539.0	9766	-5227.0	-5227.0	0.0	0.0	0.0	0.0
039252	14	298763	T	4000326	75	pin	3.36	3.36	14	0	4754.0	4799.0	4799.0	10000	-5201.0	-5201.0	0.0	0.0	0.0	0.0
039252	14	298763	T	4000330	122	pin	0.38	0.38	1	0	7230.0	7235.0	7235.0	10000	-2765.0	-2765.0	0.0	0.0	0.0	0.0
039252	14	298763	B	88	41	pin	1.45	1.45	16	0	1960.0	1979.0	1979.0	9766	-7787.0	-7787.0	0.0	0.0	0.0	0.0
039252	14	298763	B	80	16	pin	1.01	1.01	6	0	734.0	747.0	747.0	9766	-9019.0	-9019.0	0.0	0.0	0.0	0.0
039252	14	298763	B	16	16	pin	0.71	0.71	4	0	734.0	743.0	743.0	9766	-9023.0	-9023.0	0.0	0.0	0.0	0.0
039252	15	298777	T	4000001	139	pin	1.72	1.72	13	0	8976.0	8999.0	8999.0	10000	-1001.0	-1001.0	0.0	0.0	0.0	0.0
039252	15	298777	B	30	139	pin	0.89	0.89	13	0	8931.0	8943.0	8943.0	9766	-823.0	-823.0	0.0	0.0	0.0	0.0
039252	15	298777	T	4000215	127	pin	0.25	0.25	1	0	8292.0	8295.0	8295.0	10000	-1705.0	-1705.0	0.0	0.0	0.0	0.0
039252	15	298777	B	15	85	pin	0.43	0.43	2	0	4654.0	4659.0	4659.0	9766	-5107.0	-5107.0	0.0	0.0	0.0	0.0
039252	15	298777	T	4000066	143	pin	0.95	0.95	8	0	9131.0	9143.0	9143.0	10000	-857.0	-857.0	0.0	0.0	0.0	0.0
039252	15	298777	T	4000076	79	pin	1.41	1.41	18	0	4356.0	4375.0	4375.0	10000	-5625.0	-5625.0	0.0	0.0	0.0	0.0
039252	15	298777	T	4000120	85	pin	0.36	0.36	4	0	4699.0	4703.0	4703.0	10000	-5297.0	-5297.0	0.0	0.0	0.0	0.0
039252	15	298777	B	8	62	pin	0.21	0.21	2	0	3281.0	3283.0	3283.0	9766	-6483.0	-6483.0	0.0	0.0	0.0	0.0
039252	3	298609	B	5	129	pin	0.03	0.03	1	0	6611.0	6611.0	6611.0	9766	-3155.0	-3155.0	0.0	0.0	0.0	0.0
039252	3	298609	B	96	158	pin	0.27	0.27	1	0	8876.0	8879.0	8879.0	9766	-887.0	-887.0	0.0	0.0	0.0	0.0
039252	3	298609	B	170	45	geo	3.68	3.68	23	0	2130.0	2179.0	2179.0	9766	-7587.0	-7587.0	0.0	0.0	0.0	0.0
039252	3	298609	B	83	166	pin	0.69	0.69	3	0	9626.0	9635.0	9635.0	9766	-131.0	-131.0	0.0	0.0	0.0	0.0
039252	3	298609	T	4000064	26	cosel	1.96	1.96	7	0	809.0	835.0	835.0	10000	-9165.0	-9165.0	0.0	0.0	0.0	0.0
039252	17	298805	T	4000335	113	pin	11.45	-0.99	0	7	6405.0	6391.0	6559.0	10000	-3609.0	-3441.0	11.45	11.55	6.0	0.0004
039252	17	298805	B	37	112	pin	0.44	0.44	5	0	6186.0	6191.0	6191.0	9766	-3575.0	-3575.0	0.0	0.0	0.0	0.0
039252	17	298805	T	4000152	158	pin	0.49	0.49	1	0	8685.0	8691.0	8691.0	10000	-1309.0	-1309.0	0.0	0.0	0.0	0.0
039252	17	298805	B	143	158	pin	1.01	1.01	6	0	8658.0	8671.0	8671.0	9766	-1095.0	-1095.0	0.0	0.0	0.0	0.0
039252	17	298805	T	4000088	127	geo	0.79	0.79	5	0	7133.0	7143.0	7143.0	10000	-2857.0	-2857.0	0.0	0.0	0.0	0.0
039252	17	298805	B	3	127	geo	4.27	4.27	25	0	7106.0	7163.0	7163.0	9766	-2603.0	-2603.0	0.0	0.0	0.0	0.0
039252	17	298805	T	4000088	127	geo	0.79	0.79	5	0	7133.0	7143.0	7143.0	10000	-2857.0	-2857.0	0.0	0.0	0.0	0.0
039252	17	298805	B	41	172	pin	0.1	0.1	3	0	9394.0	9395.0	9395.0	9766	-371.0	-371.0	0.0	0.0	0.0	0.0
039252	17	298805	T	4000087	65	pin	1.22	1.22	5	0	4007.0	4023.0	4023.0	10000	-5977.0	-5977.0	0.0	0.0	0.0	0.0
039252	16	298791	T	4000613	136	geo	0.28	0.28	1	0	8168.0	8171.0	8171.0	10000	-1829.0	-1829.0	0.0	0.0	0.0	0.0
039252	16	298791	T	4000333	100	pin	1.18	1.18	6	0	5560.0	5575.0	5575.0	10000	-4425.0	-4425.0	0.0	0.0	0.0	0.0
039252	16	298791	T	4000090	90	geo	0.3	0.3	6	0	5259.0	5263.0	5263.0	10000	-4737.0	-4737.0	0.0	0.0	0.0	0.0
039252	16	298791	B	207	91	pin	0.27	0.27	1	0	5260.0	5263.0	5263.0	9766	-4503.0	-4503.0	0.0	0.0	0.0	0.0
039252	16	298791	B	224	153	cosel	1.39	1.39	6	0	9089.0	9107.0	9107.0	9766	-659.0	-659.0	0.0	0.0	0.0	0.0
039252	16	298791	T	4000122	151	pin	5.48	5.48	29	0	9069.0	9143.0	9143.0	10000	-857.0	-857.0	0.0	0.0	0.0	0.0
039252	16	298791	B	15	151	pin	1.03	1.03	11	0	9050.0	9063.0	9063.0	9766	-703.0	-703.0	0.0	0.0	0.0	0.0
039252	2	298595	T	4000173	105	geo	1.47	1.47	5	0	7200.0	7219.0	7219.0	10000	-2781.0	-2781.0	0.0	0.0	0.0	0.0
039252	2	298595	B	99	105	geo	5.7	5.7	46	0	7142.0	7219.0	7219.0	9766	-2547.0	-2547.0	0.0	0.0	0.0	0.0
039252	2	298595	B	1	82	pin	1.65	1.65	10	0	5685.0	5707.0	5707.0	9766	-4059.0	-4059.0	0.0	0.0	0.0	0.0
039252	2	298595	T	4000445	30	pin	0.38	0.38	3	0	1998.0	2003.0	2003.0	10000	-7997.0	-7997.0	0.0	0.0	0.0	0.0
039252	2	298595	B	154	30	pin	1.35	1.35	5	0	1941.0	1959.0	1959.0	9766	-7807.0	-7807.0	0.0	0.0	0.0	0.0
039252	2	298595	B	5	105	geo	2.15	2.15	10	0	7142.0	7171.0	7171.0	9766	-2595.0	-2595.0	0.0	0.0	0.0	0.0
039252	7	298665	T	4000220	24	geo	0.01	0.01	2	0	1323.0	1323.0	1323.0	10000	-8677.0	-8677.0	0.0	0.0	0.0	0.0
039252	7	298665	B	74	24	geo	3.51	3.51	29	0	1308.0	1355.0	1355.0	9766	-8411.0	-8411.0	0.0	0.0	0.0	0.0
039252	4	298623	T	4000017	131	pin	1.1	1.1	11	0	8501.0	8515.0	8515.0	10000	-1485.0	-1485.0	0.0	0.0	0.0	0.0
039252	4	298623	T	4000116	90	pin	0.2	0.2	2	0	5753.0	5755.0	5755.0	10000	-4245.0	-4245.0	0.0	0.0	0.0	0.0
039252	4	298623	T	4000022	62	geo	0.12	0.12	1	0	3786.0	3787.0	3787.0	10000	-6213.0	-6213.0	0.0	0.0	0.0	0.0
039252	4	298623	B	114	62	geo	4.32	4.32	28	0	3749.0	3807.0	3807.0	9766	-5959.0	-5959.0	0.0	0.0	0.0	0.0
039252	4	298623	B	71	86	pin	0.14	0.14	1	0	5442.0	5443.0	5443.0	9766	-4323.0	-4323.0	0.0	0.0	0.0	0.0
039252	4	298623	B	146	50	pin	0.45	0.45	3	0	3213.0	3219.0	3219.0	9766	-6547.0	-6547.0	0.0	0.0	0.0	0.0
039252	4	298623	T	4000108	19	pin	0.32	0.32	2	0	931.0	935.0	935.0	10000	-9065.0	-9065.0	0.0	0.0	0.0	0.0
039252	4	298623	B	44	19	pin	0.96	0.96	9	0	894.0	907.0	907.0	9766	-8859.0	-8859.0	0.0	0.0	0.0	0.0
039252	4	298623	B	40	37	geo	1.15	1.15	5	0	1888.0	1903.0	1903.0	9766	-7863.0	-7863.0	0.0	0.0	0.0	0.0
039252	5	298637	B	53	109	geo	0.04	0.04	1	0	6307.0	6307.0	6307.0	9766	-3459.0	-3459.0	0.0	0.0	0.0	0.0
039252	5	298637	B	39	21	pin	4.14	4.14	24	0	892.0	947.0	947.0	9766	-8819.0	-8819.0	0.0	0.0	0.0	0.0
039252	9	298693	B	39	159	pin	0.93	0.93	7	0	9675.0	9687.0	9687.0	9766	-79.0	-79.0	0.0	0.0	0.0	0.0
039252	9	298693	T	4000102	60	pin	0.87	0.87	6	0	3856.0	3867.0	3867.0	10000	-6133.0	-6133.0	0.0	0.0	0.0	0.0
039252	9	298693	B	3	60	pin	1.71	1.71	9	0	3836.0	3859.0	3859.0	9766	-5907.0	-5907.0	0.0	0.0	0.0	0.0
039252	6	298651	B	102	87	geo	0.22	0.22	1	0	5260.0	5263.0	5263.0	9766	-4503.0	-4503.0	0.0	0.0	0.0	0.0
039252	6	298651	T	4000284	30	geo	0.11	0.11	1	0	1750.0	1751.0	1751.0	10000	-8249.0	-8249.0	0.0	0.0	0.0	0.0
039252	6	298651	B	12	102	pin	0.05	0.05	1	0	6119.0	6119.0	6119.0	9766	-3647.0	-3647.0	0.0	0.0	0.0	0.0
039252	6	298651	B	93	16	pin	0.01	0.01	1	0	567.0	567.0	567.0	9766	-9199.0	-9199.0	0.0	0.0	0.0	0.0
039252	8	298679	T	4000089	120	geo	0.57	0.57	4	0	7164.0	7171.0	7171.0	10000	-2829.0	-2829.0	0.0	0.0	0.0	0.0
039252	8	298679	T	4000006	132	pin	0.31	0.31	2	0	8075.0	8079.0	8079.0	10000	-1921.0	-1921.0	0.0	0.0	0.0	0.0
039252	8	298679	B	10	132	pin	1.1	1.1	15	0	8017.0	8031.0	8031.0	9766	-1735.0	-1735.0	0.0	0.0	0.0	0.0
039253	0	49686	T	4000204	125	pin	1.5	1.5	6	0	7979.0	7999.0	7999.0	10000	-2001.0	-2001.0	0.0	0.0	0.0	0.0
039253	0	49686	T	4000042	86	pin	1.68	1.68	10	0	5025.0	5047.0	5047.0	10000	-4953.0	-4953.0	0.0	0.0	0.0	0.0
039253	0	49686	B	59	86	pin	0.02	0.02	1	0	5011.0	5011.0	5011.0	9766	-4755.0	-4755.0	0.0	0.0	0.0	0.0
039253	0	49686	T	4000263	22	pin	1.21	1.21	9	0	1419.0	1435.0	1435.0	10000	-8565.0	-8565.0	0.0	0.0	0.0	0.0
