run	idx	evt	gid	ch	exp	meas	cov	gold	r_cath	nhit	avail	pe_here	pe_other	pe_none	peak	wmax_ns	dt_main
039252	0	298567	47	12	37.04	0.0	0	0	0.9584	2	4.25	0.0	0.0	4.25	6.0	1712.0	0.86
039252	0	298567	47	18	16.39	0.0	0	0	0.9584	3	6.25	0.0	0.0	6.25	10.0	992.0	0.81
039252	0	298567	62	12	151.61	0.0	0	0	1.1812	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	62	18	82.19	0.0	0	0	1.1812	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	70	12	103.62	188.527	0	0	0.6769	1	188.53	188.53	0.0	0.0	357.3	5360.0	0.75
039252	0	298567	70	18	94.76	355.27	0	0	0.6769	1	355.27	355.27	0.0	0.0	756.0	5888.0	0.72
039252	0	298567	70	19	212.17	0.0	0	0	0.6769	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	71	1	142.89	0.0	1	0	0.9152	1	164.8	0.0	0.0	164.8	339.7	3664.0	0.57
039252	0	298567	71	3	229.54	0.0	0	0	0.9152	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	73	1	31.64	0.0	0	1	0.8825	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	73	3	52.5	0.0	0	1	0.8825	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	82	12	74.89	0.0	0	0	1.4876	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	82	18	126.68	0.0	0	0	1.4876	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	85	1	215.3	0.0	0	0	1.2417	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	85	3	219.9	0.0	0	0	1.2417	1	240.23	0.0	0.0	240.23	326.7	7024.0	0.76
039252	0	298567	102	1	214.33	212.257	1	0	0.7342	2	216.04	212.26	0.0	3.79	447.7	3648.0	0.39
039252	0	298567	102	3	279.93	7092.393	1	0	0.7342	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	102	18	12.7	0.0	0	0	0.7342	2	1071.77	0.0	1071.77	0.0	341.0	16320.0	14.9
039252	0	298567	104	0	14.32	0.0	1	0	0.5222	4	47.8	0.0	0.0	47.8	40.0	3808.0	0.57
039252	0	298567	104	12	17.73	0.0	0	0	0.5222	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	104	18	11.44	0.0	0	0	0.5222	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	128	19	20.8	0.0	0	0	0.8848	1	1.8	0.0	0.0	1.8	4.0	912.0	4.99
039252	0	298567	133	1	42.0	0.0	0	0	0.915	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	133	3	87.19	0.0	1	0	0.915	2	72.62	0.0	0.0	72.62	50.0	6048.0	0.75
039252	0	298567	139	0	259.88	64.31	1	0	1.6601	4	72.83	64.31	0.0	8.52	76.0	3584.0	0.62
039252	0	298567	145	1	228.39	62.46	0	0	0.672	1	62.46	62.46	0.0	0.0	115.0	3904.0	0.62
039252	0	298567	145	3	471.26	150.727	1	0	0.672	1	126.77	0.0	0.0	126.77	188.7	6176.0	0.65
039252	0	298567	145	12	24.49	0.0	0	0	0.672	2	20.27	0.0	0.0	20.27	33.0	1360.0	0.68
039252	0	298567	145	18	21.94	0.0	1	0	0.672	1	20.14	0.0	0.0	20.14	56.0	1568.0	0.67
039252	0	298567	145	19	28.16	0.0	1	0	0.672	2	284.08	0.0	0.0	284.08	273.0	4736.0	0.68
039252	0	298567	156	1	24.41	0.0	0	0	0.9629	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	156	3	34.71	209.6	0	0	0.9629	2	209.6	209.6	0.0	0.0	68.0	16160.0	0.7
039252	0	298567	175	0	10.53	14.65	1	0	1.3641	2	14.65	14.65	0.0	0.0	18.0	2016.0	0.81
039252	0	298567	175	1	68.75	0.0	0	0	1.3641	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	0	298567	175	3	81.58	0.0	0	0	1.3641	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	13	298749	85	0	11.02	46.29	1	0	0.9084	4	50.11	46.29	0.0	3.82	54.0	2272.0	0.59
039252	13	298749	85	1	61.88	0.0	0	0	0.9084	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	13	298749	85	3	106.28	0.0	0	0	0.9084	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	13	298749	86	3	17.35	0.0	0	1	0.893	0	0.0	0.0	0.0	0.0	0.0	0.0	
039252	13	298749	86	12	10.81	0.0	1	1	0.893	3	38.65	0.0	0.0	38.65	39.0	3072.0	0.78
039252	13	298749	86	19	128.59	0.0	0	1	0.893	0	0.0	0.0	0.0	0.0	0.0	0.0	
