run	idx	evt	uid_t	uid_b	n_t	n_b	len_t	len_b	drift_cos_t	drift_cos_b	end_y	end_z	d_yz	d_perp	ang	R	R_q	t0src	gid	pe	t_us	pen_t	pen_b	npast_t	npast_b	qfpast_t	qfpast_b	yzrms_t	yzrms_b	driftext_t	driftext_b
039252	0	298567	4000056	134	2408	2402	326.6	324.6	0.872	0.885	115.9	200.8	3.82	5.83	3.3	-0.27	-3.53	pin	57	34328.0	-270.56	-0.88	-1.16	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	0	298567	4000073	96	1222	2797	204.0	372.2	0.645	0.626	77.3	202.0	6.18	5.75	3.79	0.91	-1.76	pin	81	29291.0	730.16	-1.58	-0.67	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	0	298567	4000060	50	1425	654	180.5	76.1	0.912	0.899	-67.0	261.1	4.97	4.54	2.31	4.17	5.35	pin	37	20298.0	-1123.65	-2.5	1.67	0	8	0.0	0.0035	0.0	0.36	0.0	1.48
039252	0	298567	4000063	8	1091	1596	160.3	202.3	0.915	0.918	-123.9	242.3	7.06	2.32	4.77	0.91	0.02	pin	41	23949.0	-980.42	-0.61	0.3	0	3	0.0	0.0001	0.0	0.39	0.0	0.3
039252	0	298567	4000097	139	971	1212	105.2	102.8	0.387	0.35	168.3	222.7	16.33	3.47	5.07	-8.27	-2.94	geo	96	30494.0	1423.47	5.33	-2.94	23	0	0.0106	0.0	0.32	0.0	5.33	0.0
039252	0	298567	4000189	34	897	2649	125.1	351.3	0.935	0.953	-50.8	257.6	8.75	3.5	4.8	2.69	-1.76	geo	91	18821.0	1134.84	-1.39	1.3	0	10	0.0	0.0014	0.0	0.57	0.0	1.18
039252	0	298567	4000091	21	576	539	71.7	67.6	0.931	0.94	-223.4	207.0	5.74	0.83	2.05	-0.27	0.32	pin	18	31656.0	-1819.57	-1.32	-1.6	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	0	298567	4000122	109	464	714	57.5	78.7	0.94	0.854	147.6	139.5	4.2	1.39	11.67	-3.24	-2.94	cosel	34	16127.0	-1362.31	-0.03	-3.27	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000022	7	2595	625	360.8	49.8	0.739	0.761	-166.1	46.3	5.19	1.24	2.6	-0.41	5.51	geo	153	26989.0	1975.21	-2.19	-2.6	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000144	142	2619	211	345.7	17.7	0.578	0.481	315.1	223.0	21.04	7.41	8.96	-3.67	-0.41	cosel	85	1065.0	-168.82	-101.1	-104.77	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000077	61	2417	2218	336.0	326.9	0.854	0.907	-79.6	222.3	6.87	5.17	8.93	1.07	1.95	pin	79	22924.0	-266.27	-1.38	-0.31	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000003	5	2883	1787	321.7	319.0	0.995	0.989	18.1	38.2	2.41	3.06	8.27	2.55	0.18	pin	129	22117.0	1019.45	-2.52	0.03	0	1	0.0	0.0007	0.0	0.0	0.0	0.0
039252	3	298609	4000192	96	3553	1277	308.0	151.2	0.789	0.799	105.4	98.6	7.38	4.24	3.06	1.36	7.88	pin	158	34386.0	2151.84	-1.1	0.27	0	1	0.0	0.0002	0.0	0.0	0.0	0.0
039252	3	298609	4000021	102	2265	2665	308.9	309.6	0.946	0.957	61.5	104.0	14.88	1.82	3.36	0.18	1.07	pin	175	156.0	2748.67	-5.66	-5.49	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000182	110	1631	617	195.9	71.7	0.976	1.0	105.0	31.5	3.48	6.02	12.66	22.09	41.93	pin	80	8775.0	-256.42	-22.68	-0.59	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000148	120	1313	2294	182.9	284.0	0.946	0.948	169.9	58.7	1.37	1.76	2.94	-7.23	-22.63	cosel	174	18967.0	2693.0	-6.01	-13.23	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	3	298609	4000261	170	761	479	145.6	68.7	0.983	0.983	127.8	279.3	4.59	4.14	6.34	7.88	9.06	geo	45	16879.0	-1221.23	-4.2	3.68	0	23	0.0	0.0275	0.0	0.5	0.0	3.55
039252	3	298609	4000120	83	739	2375	112.8	337.9	0.929	0.915	-271.5	255.2	4.51	6.96	3.76	1.66	-4.26	pin	166	10236.0	2526.94	-0.96	0.69	0	3	0.0	0.0	0.0	0.28	0.0	0.0
039252	3	298609	4000064	38	723	355	99.2	51.8	0.585	0.569	-248.3	26.5	10.75	0.53	1.08	-2.19	-0.12	cosel	26	1438.0	-1882.84	1.96	-0.23	7	0	0.0049	0.0	1.08	0.0	1.48	0.0
039252	3	298609	4000139	90	431	341	60.5	46.9	0.835	0.803	306.1	15.2	6.39	5.07	22.5	-0.12	-0.71	pin	123	9457.0	904.14	-1.14	-1.26	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000059	36	2616	511	419.9	75.2	0.752	0.736	-245.2	107.4	1.85	6.3	2.65	0.76	6.38	pin	162	15995.0	2343.84	-2.27	-1.51	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000017	116	2752	2821	378.5	358.3	0.858	0.838	31.7	147.6	2.56	2.46	2.41	1.35	7.57	pin	137	34782.0	1630.67	-2.98	-1.63	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000024	82	2945	1246	371.7	138.4	0.883	0.87	-268.9	200.1	0.4	0.43	2.57	2.53	4.01	pin	159	23770.0	2306.28	-2.63	-0.1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000032	2	3571	4269	356.9	436.0	0.742	0.752	-91.4	73.7	5.47	4.62	4.47	-11.39	-9.02	geo	83	55928.0	205.79	10.77	-0.62	74	0	0.0212	0.0	1.21	0.0	10.66	0.0
039252	1	298581	4000023	1	2625	1329	338.1	168.6	0.951	0.937	-93.2	61.5	1.64	1.08	5.36	-0.13	6.09	pin	92	3082.0	501.66	-1.06	-1.19	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000164	9	2094	2698	318.4	355.0	0.824	0.835	-194.1	140.2	5.28	3.4	1.43	-0.72	-2.8	pin	166	23571.0	2446.33	-0.86	-1.58	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000345	171	1168	1611	146.5	200.5	0.987	0.991	315.3	280.2	13.02	7.62	4.53	-7.83	-6.35	pin	52	65.0	-875.78	7.45	-0.38	19	0	0.0129	0.0	3.44	0.0	7.4	0.0
039252	1	298581	4000159	18	941	3333	139.5	423.0	0.762	0.75	-234.2	176.9	8.83	2.16	1.19	-0.13	-6.06	geo	83	55928.0	205.79	-1.08	-1.21	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000211	118	896	2265	98.6	287.0	0.889	0.896	315.8	101.5	4.48	4.9	2.6	-2.8	-7.24	pin	62	14051.0	-411.38	-0.9	-3.7	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000209	95	689	369	85.3	45.1	0.911	0.878	222.9	105.5	1.03	0.88	6.99	-3.09	-2.21	geo	16	14060.0	-1736.5	-0.44	-3.53	0	0	0.0	0.0	0.0	0.0	0.0	0.0
039252	1	298581	4000362	182	418	1040	58.8	151.6	0.562	0.515	201.2	282.2	4.4	1.64	9.48	1.05	-3.39	pin	20	874.0	-1667.47	-1.78	-0.73	0	0	0.0	0.0	0.0	0.0	0.0	0.0
