sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
ncpi0	18625	17	7	4	1	1	0.11108	0.09346	0.10681	0.06457	0.21789	0.15803	1.33976	0.59972
ncpi0	71372	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	71372	27	3	3	0	0	0.08475	0.10432	2.81737	7.72706	2.90212	7.83138	20.33094	22.56760
ncpi0	142421	7	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	314838	13	3	3	0	0	0.08614	0.09476	0.12301	0.14317	0.20915	0.23793	0.80016	0.77190
ncpi0	521075	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	388	23	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	38856	19	7	7	1	1	0.07751	0.09536	0.25021	0.19703	0.32772	0.29239	1.38330	1.41510
nuecc48	54095	17	4	2	1	0	0.00438	nan	0.07832	nan	0.08271	nan	0.37019	nan
nuecc48	74544	12	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	81597	19	7	3	1	0	0.00575	0.07344	0.13565	0.07579	0.14140	0.14923	0.50060	0.31884
nuecc48	122660	9	3	3	0	0	0.08961	0.09167	0.14316	0.13711	0.23277	0.22877	0.33045	0.32059
nuecc48	137238	7	3	3	0	0	0.02768	0.01017	0.06143	0.05816	0.10514	0.06833	0.96234	0.88065
nuecc48	168596	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	214469	22	3	3	0	0	0.00000	-0.02255	0.00000	0.03973	0.00000	0.05677	0.86504	1.02352
nuecc48	235435	2	3	3	0	0	0.09402	0.10735	0.24614	0.21432	0.34016	0.32167	0.51818	0.38179
nuecc48	268784	13	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	389538	11	4	3	1	0	0.01226	-0.04415	0.09454	0.10930	0.10680	0.06515	0.87803	1.23898
nuecc48	437699	18	7	7	1	1	0.02922	0.02994	0.03968	0.04543	0.06890	0.07538	0.90321	0.90382
nuecc48	447477	19		7		1		0.09864		0.26428		0.36292		1.38955
nuecc48	489330	4	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
