# pr150 traj compare A=pr150s0 B=pr150p3bw samples=['mcp1k', 'mcp2k'] A=1315 B=1317 common=1285
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 1285 | R2D_W | 0.0098 | 0.0084 | -0.0014 | 165 / 97 | 3.17e-05 |
| all | 1285 | R2D_U | 0.0118 | 0.0104 | -0.0014 | 187 / 121 | 0.000202 |
| all | 1285 | R2D_V | 0.0158 | 0.0144 | -0.0014 | 239 / 154 | 2.11e-05 |
| all | 1285 | R2Dpm1_W | 0.0062 | 0.0056 | -0.0006 | 89 / 60 | 0.0215 |
| all | 1285 | P1 | 0.0280 | 0.0260 | -0.0019 | 308 / 222 | 0.000216 |
| all | 1285 | P1_2 | 0.0048 | 0.0049 | +0.0001 | 32 / 30 | 0.899 |
| all | 1285 | P2 | 0.0225 | 0.0208 | -0.0017 | 208 / 158 | 0.0103 |
| all | 1285 | P3 | 0.7331 | 0.7051 | -0.0280 | 253 / 224 | 0.2 |
| all | 1285 | P4 | 0.8475 | 0.8492 | +0.0017 | 280 / 243 | 0.115 |
| all | 1285 | uncov | 0.2261 | 0.2265 | +0.0004 | 382 / 286 | 0.000232 |
| all | 1285 | qneg | 0.0308 | 0.0301 | -0.0007 | 293 / 209 | 0.000205 |
| all | 1285 | wig1 | 0.0950 | 0.0949 | -0.0001 | 373 / 332 | 0.132 |
| all | 1285 | med_d_W | 0.2395 | 0.2375 | -0.0020 | 499 / 445 | 0.0845 |
| all | 1285 | noslice_W | 0.0020 | 0.0019 | -0.0001 | 22 / 8 | 0.0161 |
| all | 1285 | len_cm (sum) | 1865281.7 | 1853606.7 | -11675.0 | | |
| all | 1285 | rows (sum) | 389310.0 | 387370.0 | -1940.0 | | |
| control | 137 | R2D_W | 0.0146 | 0.0107 | -0.0039 | 16 / 7 | 0.0931 |
| control | 137 | R2D_U | 0.0089 | 0.0081 | -0.0008 | 17 / 13 | 0.585 |
