sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
mcp1k	48301	13	0	0	1	1	0.10004	0.08617	0.00979	0.00990	0.10982	0.09608	0.69961	0.72822
mcp1k	48367	19	3	3	0	0	-0.01309	-0.00803	0.07069	0.04361	0.06309	0.05671	1.03238	1.05056
mcp1k	48895	17	5	5	1	1	0.00251	0.00667	0.07373	0.05333	0.07624	0.06000	0.86395	0.83277
mcp1k	49951	16	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	50303	19	3		0		0.10741		0.15402		0.26144		2.02160	
mcp1k	50765	15	0	0	1	1	0.07769	0.08330	0.02351	0.03003	0.10119	0.11333	0.72414	0.74229
mcp1k	50787	6	0	2	1	0	0.09816	nan	0.03719	nan	0.13535	nan	0.72748	nan
mcp1k	51051	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	52613	2	0	0	1	1	0.04803	0.05937	0.08458	0.12777	0.13261	0.18713	1.19993	1.35908
mcp1k	52723	7	7	7	1	1	0.04488	0.01122	0.07038	0.03944	0.11526	0.08319	0.89532	0.95367
mcp1k	54175	18	3	3	0	0	0.02875	0.01894	0.01773	0.01937	0.04648	0.05033	1.11374	1.08980
mcp1k	55595	8	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55627	22	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55715	15	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	56243	9	2	7	0	1	nan	0.08460	nan	1.75640	nan	1.84099	nan	-3.40040
mcp1k	56387	11	0	0	1	1	0.07528	0.07702	0.01762	0.01707	0.09290	0.09409	0.75454	0.76276
mcp1k	56463	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	57575	12	3	7	0	1	-0.01108	0.04403	0.04937	0.07053	0.06246	0.11456	0.96238	0.89436
mcp1k	57661	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	58343	16	0	0	1	1	0.09549	0.04920	0.01028	0.03141	0.10576	0.08061	0.70384	0.73248
mcp1k	58345	7	3	3	0	0	0.05184	0.03890	0.05083	0.06629	0.12418	0.12068	0.94492	0.97673
mcp1k	58653	4	3	3	0	0	-0.01535	-0.02802	0.06949	0.04411	0.05414	0.04745	1.10583	1.02971
mcp1k	58667	6	3	3	0	0	0.02045	0.02056	0.00755	0.04010	0.09457	0.09441	0.95567	1.04493
mcp1k	58711	15	0	0	1	1	0.01281	0.01940	0.04890	0.05568	0.06171	0.07509	0.68948	0.70687
mcp1k	58717	21	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	58755	21	0	0	1	1	0.03777	0.01390	0.05465	0.05516	0.09507	0.06906	0.92392	0.88255
mcp1k	59003	19	7	7	1	1	0.02694	0.01004	0.05051	0.04788	0.08509	0.07163	0.92881	0.93907
mcp1k	59025	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59063	14	0	0	1	1	0.02655	0.06338	0.04506	0.01353	0.09482	0.11103	1.05684	0.90308
mcp1k	59085	3	3	3	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.53904	0.46955
mcp1k	59179	15	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59371	8	7	3	1	0	0.06819	0.01159	0.06878	0.04608	0.13697	0.06464	0.86429	0.92958
mcp1k	59377	7	0	0	1	1	0.08639	0.08084	0.01110	0.01425	0.09750	0.09509	0.37399	0.37174
mcp1k	59377	17		3		0		0.09257		0.15643		0.24901		0.99005
