sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
ncpi0	18625	17	7	3	1	0	0.11108	0.08374	0.10681	0.06101	0.21789	0.16716	1.33976	1.01398
ncpi0	71372	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	71372	27	3	3	0	0	0.08475	0.09390	2.81737	2.59645	2.90212	2.69035	20.33094	17.61297
ncpi0	142421	7	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	314838	13	3	3	0	0	0.08614	0.09118	0.12301	0.11098	0.20915	0.20216	0.80016	0.72193
ncpi0	521075	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	388	23	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	38856	19	7	3	1	0	0.07751	0.09589	0.25021	0.37749	0.32772	0.47339	1.38330	2.03814
nuecc48	54095	17	4	3	1	0	0.00438	0.05665	0.07832	0.13447	0.08271	0.19113	0.37019	0.38572
nuecc48	74544	12	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	81597	19	7	7	1	1	0.00575	0.09367	0.13565	0.09196	0.14140	0.18563	0.50060	0.49343
nuecc48	122660	9	3	3	0	0	0.08961	0.08976	0.14316	0.10609	0.23277	0.19585	0.33045	0.31502
nuecc48	137238	7	3	3	0	0	0.02768	-0.02180	0.06143	0.04904	0.10514	0.04903	0.96234	0.96173
nuecc48	168596	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	214469	22	3	3	0	0	0.00000	-0.00814	0.00000	0.06844	0.00000	0.06637	0.86504	0.96326
nuecc48	235435	2	3	7	0	1	0.09402	0.04814	0.24614	0.10925	0.34016	0.15740	0.51818	0.69554
nuecc48	268784	13	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	389538	11	4	7	1	1	0.01226	0.09148	0.09454	0.06076	0.10680	0.15224	0.87803	0.87417
nuecc48	437699	18	7	7	1	1	0.02922	0.02793	0.03968	0.03833	0.06890	0.06625	0.90321	0.89975
nuecc48	447477	19		7		1		0.10336		0.19656		0.29992		1.31562
nuecc48	489330	4	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
