sample	event	arm	nseg	len_cm	fit_bow	img_bow	res_bow	res_rms	res_med	cover
mcp2k	398191	pr150tcsp3bw	2	466.7	22.626	22.302	0.331	0.515	0.005	0.999
mcp2k	398225	pr150tcsp3bw	1	128.6	1.823	2.180	0.808	1.181	0.058	1.000
mcp2k	400029	pr150tcsp3bw	1	203.3	3.895	3.950	0.220	0.474	0.019	0.994
mcp2k	402297	pr150tcsp3bw	1	240.2	1.718	1.883	0.196	0.330	0.029	1.000
mcp2k	406147	pr150tcsp3bw	5	410.0	4.092	3.985	0.828	0.970	-0.106	0.999
mcp2k	412638	pr150tcsp3bw	2	269.2	8.426	7.099	0.164	0.479	0.008	0.996
mcp2k	414306	pr150tcsp3bw	2	229.9	4.462	4.377	0.063	0.194	0.023	0.997
mcp2k	473952	pr150tcsp3bw	1	151.3	15.466	15.188	0.218	0.570	0.015	1.000
mcp2k	475140	pr150tcsp3bw	1	143.0	1.753	1.727	0.114	0.297	0.011	0.996
mcp2k	497311	pr150tcsp3bw	1	199.3	0.817	1.316	0.092	0.253	0.044	0.997
mcp2k	500149	pr150tcsp3bw	1	155.6	4.924	4.558	0.190	0.469	0.017	0.992
mcp2k	501711	pr150tcsp3bw	1	123.1	8.131	7.995	0.934	1.033	0.024	1.000
