# pr150 traj compare A=pr150s0 B=pr150p3bw samples=['nuecc48', 'ncpi0'] A=67 B=67 common=67
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 67 | R2D_W | 0.0279 | 0.0227 | -0.0052 | 26 / 8 | 0.00294 |
| all | 67 | R2D_U | 0.0279 | 0.0253 | -0.0026 | 24 / 12 | 0.0652 |
| all | 67 | R2D_V | 0.0452 | 0.0393 | -0.0059 | 33 / 18 | 0.0489 |
| all | 67 | R2Dpm1_W | 0.0140 | 0.0119 | -0.0021 | 16 / 7 | 0.0931 |
| all | 67 | P1 | 0.1113 | 0.1035 | -0.0077 | 33 / 20 | 0.0984 |
| all | 67 | P1_2 | 0.0081 | 0.0075 | -0.0006 | 13 / 7 | 0.263 |
| all | 67 | P2 | 0.0505 | 0.0470 | -0.0035 | 29 / 17 | 0.104 |
| all | 67 | P3 | 2.8199 | 2.5414 | -0.2784 | 36 / 28 | 0.382 |
| all | 67 | P4 | 0.6634 | 0.6506 | -0.0127 | 20 / 37 | 0.0331 |
| all | 67 | uncov | 0.3071 | 0.3041 | -0.0030 | 32 / 24 | 0.35 |
| all | 67 | qneg | 0.0907 | 0.0842 | -0.0064 | 31 / 23 | 0.341 |
| all | 67 | wig1 | 0.2599 | 0.2571 | -0.0027 | 31 / 25 | 0.504 |
| all | 67 | med_d_W | 0.2479 | 0.2446 | -0.0033 | 29 / 19 | 0.193 |
| all | 67 | noslice_W | 0.0009 | 0.0009 | +0.0000 | 1 / 1 | 1 |
| all | 67 | len_cm (sum) | 235471.3 | 232394.6 | -3076.7 | | |
| all | 67 | rows (sum) | 50606.0 | 49426.0 | -1180.0 | | |
