# pr150 traj compare A=pr150s0 B=pr150csp3bw samples=['nuecc48', 'ncpi0'] A=67 B=67 common=67
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 67 | R2D_W | 0.0279 | 0.0203 | -0.0076 | 42 / 6 | 1.01e-07 |
| all | 67 | R2D_U | 0.0279 | 0.0200 | -0.0078 | 40 / 11 | 5.7e-05 |
| all | 67 | R2D_V | 0.0452 | 0.0328 | -0.0124 | 46 / 5 | 2.33e-09 |
| all | 67 | R2Dpm1_W | 0.0140 | 0.0101 | -0.0039 | 25 / 5 | 0.000325 |
| all | 67 | P1 | 0.1113 | 0.1055 | -0.0058 | 33 / 21 | 0.134 |
| all | 67 | P1_2 | 0.0081 | 0.0059 | -0.0022 | 11 / 4 | 0.118 |
| all | 67 | P2 | 0.0505 | 0.0382 | -0.0123 | 44 / 7 | 1.21e-07 |
| all | 67 | P3 | 2.8199 | 2.5887 | -0.2311 | 40 / 26 | 0.109 |
| all | 67 | P4 | 0.6634 | 0.6573 | -0.0061 | 26 / 31 | 0.597 |
| all | 67 | uncov | 0.3071 | 0.2950 | -0.0121 | 37 / 19 | 0.0222 |
| all | 67 | qneg | 0.0907 | 0.0812 | -0.0095 | 37 / 20 | 0.0331 |
| all | 67 | wig1 | 0.2599 | 0.2603 | +0.0005 | 27 / 27 | 1 |
| all | 67 | med_d_W | 0.2479 | 0.2448 | -0.0030 | 30 / 24 | 0.497 |
| all | 67 | noslice_W | 0.0009 | 0.0009 | +0.0001 | 0 / 0 | nan |
| all | 67 | len_cm (sum) | 235471.3 | 235280.7 | -190.6 | | |
| all | 67 | rows (sum) | 50606.0 | 50028.0 | -578.0 | | |
