sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
ncpi0	18625	17	7	5	1	1	0.11108	0.06862	0.10681	0.06365	0.21789	0.13227	1.33976	0.58905
ncpi0	71372	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	71372	27	3	3	0	0	0.08475	0.10281	2.81737	1.94812	2.90212	2.05093	20.33094	6.27200
ncpi0	142421	7	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
ncpi0	314838	13	3	3	0	0	0.08614	0.09316	0.12301	0.11520	0.20915	0.20835	0.80016	0.81876
ncpi0	521075	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	388	23	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	38856	19	7	7	1	1	0.07751	0.08856	0.25021	0.21882	0.32772	0.30738	1.38330	1.41137
nuecc48	54095	17	4	2	1	0	0.00438	nan	0.07832	nan	0.08271	nan	0.37019	nan
nuecc48	74544	12	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	81597	19	7	7	1	1	0.00575	0.09523	0.13565	0.19700	0.14140	0.29222	0.50060	0.56539
nuecc48	122660	9	3	2	0	0	0.08961	nan	0.14316	nan	0.23277	nan	0.33045	nan
nuecc48	137238	7	3	3	0	0	0.02768	0.00723	0.06143	0.06412	0.10514	0.07135	0.96234	0.89212
nuecc48	168596	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	214469	22	3	3	0	0	0.00000	-0.02368	0.00000	0.03463	0.00000	0.03006	0.86504	1.05230
nuecc48	235435	2	3	7	0	1	0.09402	0.02277	0.24614	0.10741	0.34016	0.13018	0.51818	0.74526
nuecc48	268784	13	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
nuecc48	389538	11	4	3	1	0	0.01226	0.02279	0.09454	0.05730	0.10680	0.08009	0.87803	1.12492
nuecc48	437699	18	7	7	1	1	0.02922	0.02320	0.03968	0.05218	0.06890	0.08253	0.90321	0.93158
nuecc48	447477	19		7		1		0.10610		0.42229		0.52839		0.85976
nuecc48	489330	4	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
