sample	event	stratum	what
ncpi0	18625	ISO	numu09 1->0
ncpi0	21073	control	vertex ADVERSE 0.97->2.77cm
ncpi0	37112	control	vertex toward 2.37->0.17cm
ncpi0	56982	ISO	nue43 0->1; vertex toward 34.86->0.21cm
ncpi0	105946	control	vertex ADVERSE 0.00->2.88cm
ncpi0	142421	ISO	vertex ADVERSE 0.20->2.56cm
ncpi0	180801	ISO	numu09 1->0; vertex toward 77.49->70.50cm
ncpi0	399860	ISO	nue7 0->1; nue43 0->1
ncpi0	463565	ISO	vertex ADVERSE 28.18->35.05cm
ncpi0	506746	ISO	numu09 0->1
nuecc48	30504	ISO	nue7 0->1; nue43 0->1; vertex toward 30.99->0.42cm
nuecc48	38856	ISO	nue7 0->1; nue43 0->1; vertex toward 32.25->1.99cm
nuecc48	52672	control	nue7 0->1; nue43 0->1; vertex toward 3.83->1.17cm
nuecc48	111412	ISO	nue7 1->0; nue43 1->0; numu09 0->1; vertex ADVERSE 1.84->38.85cm
nuecc48	122660	ISO	vertex ADVERSE 0.48->83.58cm
nuecc48	138009	ISO	nue7 0->1; vertex ADVERSE 0.30->1.39cm
nuecc48	163543	ISO	vertex toward 32.85->16.57cm
nuecc48	168596	ISO	nue7 0->1
nuecc48	196649	ISO	nue43 0->1
nuecc48	219295	ISO	numu09 1->0
nuecc48	234638	ISO	nue7 1->0; numu09 0->1
nuecc48	235435	control	nue7 1->0; nue43 1->0; numu09 0->1; vertex ADVERSE 0.18->32.13cm
nuecc48	268784	control	nue7 0->1
nuecc48	271851	ISO	numu09 0->1
nuecc48	350186	control	nue7 1->0; nue43 1->0; vertex ADVERSE 0.00->31.89cm
nuecc48	389538	ISO	nue7 0->1; nue43 0->1; numu09 1->0; vertex ADVERSE 0.28->213.78cm
nuecc48	469665	ISO	nue43 1->0
