# pr150 traj compare A=pr150s0 B=pr150csp3bw samples=['mcp1k', 'mcp2k'] A=1315 B=1314 common=1275
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 1275 | R2D_W | 0.0097 | 0.0068 | -0.0029 | 246 / 110 | 4.36e-13 |
| all | 1275 | R2D_U | 0.0117 | 0.0086 | -0.0031 | 304 / 113 | 2.62e-21 |
| all | 1275 | R2D_V | 0.0157 | 0.0118 | -0.0039 | 357 / 143 | 3.73e-22 |
| all | 1275 | R2Dpm1_W | 0.0062 | 0.0045 | -0.0016 | 154 / 77 | 4.52e-07 |
| all | 1275 | P1 | 0.0280 | 0.0247 | -0.0033 | 341 / 233 | 7.52e-06 |
| all | 1275 | P1_2 | 0.0047 | 0.0043 | -0.0004 | 50 / 32 | 0.0598 |
| all | 1275 | P2 | 0.0224 | 0.0176 | -0.0049 | 385 / 149 | 4.43e-25 |
| all | 1275 | P3 | 0.7320 | 0.7191 | -0.0129 | 283 / 284 | 1 |
| all | 1275 | P4 | 0.8463 | 0.8483 | +0.0020 | 331 / 256 | 0.00223 |
| all | 1275 | uncov | 0.2252 | 0.2174 | -0.0078 | 496 / 269 | 1.85e-16 |
| all | 1275 | qneg | 0.0307 | 0.0284 | -0.0023 | 409 / 280 | 1.01e-06 |
| all | 1275 | wig1 | 0.0949 | 0.0962 | +0.0014 | 375 / 429 | 0.0615 |
| all | 1275 | med_d_W | 0.2396 | 0.2359 | -0.0037 | 560 / 458 | 0.00154 |
| all | 1275 | noslice_W | 0.0020 | 0.0018 | -0.0002 | 53 / 27 | 0.00487 |
| all | 1275 | len_cm (sum) | 1854983.3 | 1853882.0 | -1101.3 | | |
| all | 1275 | rows (sum) | 387689.0 | 384562.0 | -3127.0 | | |
| control | 135 | R2D_W | 0.0149 | 0.0089 | -0.0060 | 22 / 8 | 0.0161 |
| control | 135 | R2D_U | 0.0092 | 0.0064 | -0.0028 | 32 / 10 | 0.000941 |
| control | 135 | R2D_V | 0.0143 | 0.0098 | -0.0045 | 42 / 12 | 5.21e-05 |
| control | 135 | R2Dpm1_W | 0.0115 | 0.0070 | -0.0045 | 16 / 6 | 0.0525 |
| control | 135 | P1 | 0.0252 | 0.0213 | -0.0039 | 32 / 18 | 0.0649 |
| control | 135 | P1_2 | 0.0086 | 0.0081 | -0.0005 | 4 / 0 | 0.125 |
| control | 135 | P2 | 0.0245 | 0.0170 | -0.0075 | 40 / 8 | 3.31e-06 |
| control | 135 | P3 | 0.5673 | 0.5321 | -0.0352 | 23 / 22 | 1 |
| control | 135 | P4 | 0.9545 | 0.9550 | +0.0005 | 18 / 22 | 0.636 |
| control | 135 | uncov | 0.2664 | 0.2575 | -0.0089 | 55 / 22 | 0.000217 |
| control | 135 | qneg | 0.0263 | 0.0223 | -0.0040 | 50 / 19 | 0.000244 |
| control | 135 | wig1 | 0.0958 | 0.0957 | -0.0000 | 41 / 41 | 1 |
| control | 135 | med_d_W | 0.2440 | 0.2343 | -0.0097 | 61 / 48 | 0.25 |
| control | 135 | noslice_W | 0.0035 | 0.0031 | -0.0004 | 6 / 2 | 0.289 |
