sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
mcp1k	48301	13	0	0	1	1	0.10004	0.09627	0.00979	0.00968	0.10982	0.10596	0.69961	0.70862
mcp1k	48367	19	3	3	0	0	-0.01309	-0.00764	0.07069	0.04305	0.06309	0.03542	1.03238	1.06851
mcp1k	48895	17	5	5	1	1	0.00251	0.07576	0.07373	0.03945	0.07624	0.11521	0.86395	0.78125
mcp1k	49951	16	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	50303	19	3		0		0.10741		0.15402		0.26144		2.02160	
mcp1k	50765	15	0	0	1	1	0.07769	0.08086	0.02351	0.03084	0.10119	0.11170	0.72414	0.74042
mcp1k	50787	6	0	2	1	0	0.09816	nan	0.03719	nan	0.13535	nan	0.72748	nan
mcp1k	51051	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	52613	2	0	3	1	0	0.04803	0.02812	0.08458	0.05033	0.13261	0.08623	1.19993	1.07165
mcp1k	52723	7	7	3	1	0	0.04488	-0.03050	0.07038	0.07824	0.11526	0.04774	0.89532	1.02735
mcp1k	54175	18	3	4	0	1	0.02875	0.02022	0.01773	0.03487	0.04648	0.10096	1.11374	0.97412
mcp1k	55595	8	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55627	22	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55715	15	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	56243	9	2	7	0	1	nan	0.08654	nan	1.31580	nan	1.40233	nan	-2.29644
mcp1k	56387	11	0	0	1	1	0.07528	0.07172	0.01762	0.01822	0.09290	0.08993	0.75454	0.76538
mcp1k	56463	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	57575	12	3	3	0	0	-0.01108	0.04067	0.04937	0.07705	0.06246	0.11772	0.96238	0.92127
mcp1k	57661	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	58343	16	0	0	1	1	0.09549	0.06609	0.01028	0.02116	0.10576	0.08725	0.70384	0.72851
mcp1k	58345	7	3	0	0	1	0.05184	0.06489	0.05083	0.04790	0.12418	0.11278	0.94492	0.83707
mcp1k	58653	4	3	3	0	0	-0.01535	-0.01752	0.06949	0.03694	0.05414	0.06563	1.10583	1.01060
mcp1k	58667	6	3	3	0	0	0.02045	0.02024	0.00755	0.04881	0.09457	0.10132	0.95567	1.02449
mcp1k	58711	15	0	0	1	1	0.01281	0.01764	0.04890	0.02889	0.06171	0.04653	0.68948	0.77317
mcp1k	58717	21	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	58755	21	0	0	1	1	0.03777	0.02039	0.05465	0.05225	0.09507	0.07264	0.92392	0.86398
mcp1k	59003	19	7	7	1	1	0.02694	0.03809	0.05051	0.06586	0.08509	0.10394	0.92881	0.86912
mcp1k	59025	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59063	14	0	0	1	1	0.02655	0.07372	0.04506	0.01530	0.09482	0.11496	1.05684	0.89202
mcp1k	59085	3	3	3	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.53904	0.49027
mcp1k	59179	15	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59371	8	7	4	1	1	0.06819	0.02902	0.06878	0.04924	0.13697	0.07826	0.86429	0.90748
mcp1k	59377	7	0	0	1	1	0.08639	0.07800	0.01110	0.01665	0.09750	0.09465	0.37399	0.37622
mcp1k	59377	17		3		0		0.09649		0.27639		0.37288		1.19748
mcp1k	59459	20	0	0	1	1	0.09290	0.09227	0.01647	0.01358	0.10938	0.10585	0.72732	0.71960
mcp1k	59685	6	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59723	13	0	0	1	1	0.09491	0.09786	0.13067	0.12066	0.22558	0.21852	0.61319	0.69069
mcp1k	59863	15	0	0	1	1	0.07611	0.08215	0.01877	0.01317	0.09488	0.09533	0.74891	0.74623
mcp1k	59929	20	3	3	0	0	-0.02206	-0.03538	0.06854	0.03707	0.04648	0.02486	0.95046	1.04179
mcp1k	60017	7	7	7	1	1	0.07778	0.04301	0.12583	0.12019	0.20361	0.16320	0.94685	0.88452
mcp1k	60559	19	0	0	1	1	0.03434	0.05272	0.01929	0.03207	0.05363	0.08479	0.71104	0.69770
mcp1k	61093	6	0	0	1	1	0.04602	0.04313	0.02917	0.03035	0.07518	0.07349	0.69237	0.69425
mcp1k	61313	18	0	0	1	1	0.06703	0.03940	0.02142	0.02958	0.08846	0.06898	0.37382	0.37598
mcp1k	61351	17	3	3	0	0	-0.00841	0.00215	0.07748	0.06887	0.06909	0.07502	0.96934	0.95764
mcp1k	61417	9	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	61997	12	0	0	1	1	0.02886	0.00030	0.03903	0.04368	0.06789	0.04398	0.86763	0.89783
mcp1k	62019	9	0	0	1	1	0.09014	0.09236	0.01560	0.01310	0.10574	0.10546	0.75171	0.73399
mcp1k	62303	12	0	0	1	1	0.02271	0.05116	0.04020	0.02480	0.06291	0.07596	0.74396	0.72783
mcp1k	62459	10	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	62473	12	0	0	1	1	0.09373	0.09649	0.02343	0.02094	0.11716	0.11743	0.51608	0.51399
mcp1k	62495	16	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	62613	17	5	0	1	1	0.08763	0.10628	0.04407	0.02930	0.13170	0.13558	0.70601	0.67464
mcp1k	62943	24	0	0	1	1	0.08531	0.06121	0.01213	0.02416	0.09744	0.08536	0.79390	0.81777
mcp1k	62979	11	0	0	1	1	0.06450	0.10267	0.02756	0.01738	0.09206	0.12005	0.78281	0.71201
mcp1k	63163	6	7	7	1	1	0.05101	0.01684	0.09549	0.14498	0.14650	0.16182	0.82061	0.76504
mcp1k	63427	26	7	7	1	1	0.03928	0.04804	0.05025	0.04449	0.08954	0.09253	0.66634	0.65051
mcp1k	63515	1	0	0	1	1	0.09592	0.09612	0.00800	0.03366	0.10391	0.12977	0.69582	0.69570
mcp1k	63559	11	3	5	0	1	0.04079	0.04736	0.05497	0.05133	0.09576	0.09869	0.90814	0.88834
mcp1k	63603	13	2	7	0	1	nan	0.06751	nan	0.02364	nan	0.09115	nan	0.43488
mcp1k	63669	5	3	3	0	0	0.08957	0.10001	0.03927	0.04690	0.12884	0.14691	0.84020	0.81963
mcp1k	63669	15	3	7	0	1	0.10475	0.01337	1.22437	0.03650	1.32913	0.04986	4.83313	0.74130
mcp1k	64409	8	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	64409	14	3	3	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.74190	0.75939
mcp1k	64475	23	4	4	1	1	0.07052	0.06887	0.03621	0.03940	0.10673	0.10827	0.66445	0.66220
mcp1k	64591	17	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	64591	24		3		0		0.00000		0.00000		0.00000		1.20121
mcp1k	64959	19	3	3	0	0	-0.07201	-0.07507	0.12158	0.11297	0.04957	0.03791	0.96456	0.94385
mcp1k	64959	22	3	0	0	1	0.04892	0.06797	0.02869	0.04964	0.07761	0.11761	1.23756	1.25913
mcp1k	65025	16	3	7	0	1	-0.01622	0.01847	0.06766	0.05455	0.05144	0.07303	0.89315	0.80078
mcp1k	65053	6	3	3	0	0	-0.01648	0.00207	0.04996	0.03334	0.04081	0.03541	1.05379	1.14818
