sample	event	direction	dA	dB	moved
mcp1k	57903	away	1.04	17.29	16.28
mcp1k	59335	toward	65.05	0.62	64.46
mcp1k	61579	away	2.43	25.59	23.36
mcp1k	61843	away	12.38	45.27	33.52
mcp1k	62281	toward	29.27	0.33	29.36
mcp1k	62613	away	0.00	inf	inf
mcp1k	166804	toward	24.66	0.20	24.62
mcp1k	167684	away	0.09	11.95	11.98
mcp1k	169774	toward	12.13	0.06	12.14
mcp1k	170814	away	0.04	51.42	51.39
mcp1k	172788	away	99.26	inf	inf
mcp1k	276836	toward	224.78	5.37	219.43
mcp1k	278266	toward	inf	inf	inf
mcp1k	278420	away	0.57	27.76	28.15
mcp1k	279256	toward	29.46	0.05	29.42
mcp1k	281485	away	4.04	7.13	11.14
mcp1k	281953	away	0.00	inf	inf
mcp1k	282737	away	0.06	29.01	28.96
mcp1k	282979	away	87.82	120.02	32.80
mcp1k	283091	away	0.01	110.12	110.12
mcp1k	284235	away	1.73	36.06	34.37
mcp1k	285665	toward	88.95	2.00	89.68
mcp1k	286191	toward	14.17	4.41	18.49
mcp1k	287431	toward	inf	inf	inf
mcp1k	291262	away	0.09	129.36	129.35
mcp1k	293149	away	24.24	32.12	56.10
mcp1k	313781	toward	40.53	14.66	26.14
mcp1k	315343	toward	10.91	0.62	10.35
mcp1k	315497	away	0.00	52.54	52.54
mcp1k	315849	toward	70.16	0.10	70.26
mcp1k	316729	away	5.05	109.78	114.20
mcp1k	321173	toward	22.10	0.16	21.97
mcp1k	321767	toward	30.54	28.80	29.08
mcp1k	347129	away	1.22	65.95	66.03
mcp1k	348515	toward	56.17	18.71	38.05
mcp1k	348713	away	0.00	89.38	89.38
mcp1k	349461	away	0.25	122.59	122.37
mcp1k	386948	toward	48.50	14.36	57.89
mcp1k	390864	toward	93.19	0.10	93.28
mcp1k	393212	away	2.22	25.20	24.87
mcp1k	399052	toward	21.87	0.02	21.88
mcp1k	399856	away	0.00	38.00	38.00
mcp1k	404684	toward	54.96	1.42	53.77
mcp1k	408534	toward	131.72	6.07	126.87
mcp1k	409546	away	1.86	inf	inf
mcp1k	487303	away	0.08	118.70	118.64
mcp2k	52605	toward	24.69	16.23	19.73
mcp2k	55740	toward	235.97	0.45	236.26
mcp2k	56972	away	0.36	37.37	37.02
mcp2k	69936	away	0.23	57.28	57.06
mcp2k	70186	away	0.02	53.50	53.50
mcp2k	70472	away	3.82	inf	inf
mcp2k	70612	toward	44.95	35.00	10.21
mcp2k	71092	toward	54.14	7.75	59.51
mcp2k	72099	away	0.00	inf	inf
mcp2k	74146	toward	95.97	0.42	96.02
mcp2k	74270	away	17.14	inf	inf
mcp2k	75678	away	0.00	551.06	551.06
mcp2k	76346	toward	37.04	29.88	14.13
mcp2k	93776	away	0.00	inf	inf
mcp2k	97062	toward	35.15	0.81	34.34
mcp2k	103952	away	0.51	162.87	162.64
mcp2k	105492	toward	12.50	0.08	12.58
mcp2k	165544	away	0.04	21.33	21.30
mcp2k	167351	toward	134.89	2.33	133.59
mcp2k	170326	away	2.19	inf	inf
mcp2k	173093	away	0.00	38.44	38.44
mcp2k	173620	away	15.09	102.15	110.69
mcp2k	176810	away	0.00	11.09	11.09
mcp2k	178535	away	15.15	inf	inf
mcp2k	179369	away	10.13	449.69	439.61
mcp2k	280159	away	13.21	27.27	16.06
mcp2k	280709	toward	27.25	0.64	27.55
mcp2k	280945	toward	105.72	0.17	105.62
mcp2k	281781	away	0.29	80.04	79.77
mcp2k	316197	toward	33.23	0.37	33.55
mcp2k	321235	away	0.26	195.59	195.39
mcp2k	322181	away	0.30	inf	inf
mcp2k	322707	away	0.16	27.69	27.63
mcp2k	323369	away	235.09	inf	inf
mcp2k	355106	toward	352.89	0.00	352.89
mcp2k	391415	away	0.09	73.40	73.31
mcp2k	393133	toward	31.96	0.30	32.14
mcp2k	395277	away	10.29	68.12	78.34
mcp2k	395837	away	0.00	inf	inf
mcp2k	397487	away	5.82	248.72	248.10
mcp2k	400185	away	0.00	63.81	63.81
mcp2k	406367	away	0.77	64.17	64.69
mcp2k	406631	toward	206.10	0.02	206.10
mcp2k	407886	toward	104.15	41.95	96.33
mcp2k	414306	away	0.00	13.40	13.40
mcp2k	474612	away	0.00	18.29	18.29
mcp2k	478880	away	0.01	22.78	22.78
mcp2k	479650	toward	25.87	2.04	24.11
mcp2k	481014	toward	inf	inf	inf
mcp2k	494847	away	0.00	139.24	139.24
mcp2k	497311	toward	191.78	145.60	176.45
mcp2k	499423	away	17.42	41.36	24.68
