sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
mcp1k	48301	13	0	0	1	1	0.10004	0.09996	0.00979	0.00876	0.10982	0.10872	0.69961	0.70125
mcp1k	48367	19	3	3	0	0	-0.01309	-0.00204	0.07069	0.03772	0.06309	0.05104	1.03238	1.06412
mcp1k	48895	17	5	5	1	1	0.00251	0.01289	0.07373	0.06113	0.07624	0.07401	0.86395	0.85454
mcp1k	49951	16	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	50303	19	3	3	0	0	0.10741	0.10475	0.15402	0.30233	0.26144	0.40708	2.02160	2.79226
mcp1k	50765	15	0	0	1	1	0.07769	0.08618	0.02351	0.02985	0.10119	0.11603	0.72414	0.74655
mcp1k	50787	6	0	2	1	0	0.09816	nan	0.03719	nan	0.13535	nan	0.72748	nan
mcp1k	51051	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	52613	2	0	3	1	0	0.04803	0.08689	0.08458	0.05592	0.13261	0.14281	1.19993	1.09638
mcp1k	52723	7	7	7	1	1	0.04488	0.04272	0.07038	0.11813	0.11526	0.16085	0.89532	0.83765
mcp1k	54175	18	3	3	0	0	0.02875	0.01890	0.01773	0.01777	0.04648	0.04928	1.11374	1.09033
mcp1k	55595	8	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55627	22	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55715	15	2	3	0	0	nan	0.02257	nan	0.02110	nan	0.04366	nan	1.11708
mcp1k	56243	9	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	56387	11	0	0	1	1	0.07528	0.06526	0.01762	0.02621	0.09290	0.09148	0.75454	0.77141
mcp1k	56463	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	57575	12	3	3	0	0	-0.01108	-0.00487	0.04937	0.04807	0.06246	0.06943	0.96238	0.96203
mcp1k	57661	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
