sample	event	direction	dA	dB	moved
mcp1k	57903	away	1.04	13.39	12.39
mcp1k	58345	away	46.43	inf	inf
mcp1k	59335	toward	65.05	0.73	65.07
mcp1k	62281	toward	29.27	0.46	29.22
mcp1k	62613	away	0.00	inf	inf
mcp1k	66118	away	0.13	12.55	12.60
mcp1k	71178	away	22.81	32.00	31.00
mcp1k	166804	toward	24.66	0.22	24.81
mcp1k	170814	away	0.04	50.04	50.01
mcp1k	171892	away	0.00	12.76	12.76
mcp1k	172788	away	99.26	270.60	172.35
mcp1k	276836	toward	224.78	0.57	225.25
mcp1k	278266	toward	inf	inf	inf
mcp1k	278420	away	0.57	27.87	28.26
mcp1k	278640	away	0.00	inf	inf
mcp1k	279256	toward	29.46	0.11	29.46
mcp1k	281527	away	0.15	153.18	153.31
mcp1k	281639	away	0.00	29.96	29.96
mcp1k	281953	away	0.00	inf	inf
mcp1k	282737	away	0.06	29.01	28.95
mcp1k	282899	toward	128.32	0.88	127.88
mcp1k	283905	away	0.00	109.23	109.23
mcp1k	284211	away	0.28	21.43	21.65
mcp1k	284235	away	1.73	40.04	38.34
mcp1k	285665	toward	88.95	1.98	89.61
mcp1k	286655	away	27.88	60.31	38.47
mcp1k	286681	toward	68.62	34.69	40.41
mcp1k	287431	toward	inf	inf	inf
mcp1k	290294	away	0.28	inf	inf
mcp1k	292643	away	0.71	53.09	52.43
mcp1k	293149	away	24.24	31.18	55.21
mcp1k	315343	toward	10.91	0.91	10.57
mcp1k	315497	away	0.00	53.19	53.19
mcp1k	321173	toward	22.10	0.20	22.16
mcp1k	321371	away	0.16	63.15	63.16
mcp1k	347129	away	1.22	66.15	66.22
mcp1k	348515	toward	56.17	18.40	38.35
mcp1k	348713	away	0.00	89.27	89.27
mcp1k	349461	away	0.25	122.43	122.21
mcp1k	350935	away	1.17	95.05	94.28
mcp1k	386948	toward	48.50	17.64	60.26
mcp1k	390864	toward	93.19	0.10	93.25
mcp1k	393212	away	2.22	25.02	24.69
mcp1k	393608	away	0.14	inf	inf
mcp1k	399052	toward	21.87	0.09	21.83
mcp1k	399118	away	11.01	98.80	89.27
mcp1k	399856	away	0.00	57.73	57.73
mcp1k	399998	away	0.24	29.49	29.45
mcp1k	400504	away	0.00	27.33	27.33
mcp1k	401780	toward	63.62	8.59	72.07
mcp1k	408534	toward	131.72	25.49	152.91
mcp1k	409546	away	1.86	18.25	19.10
mcp1k	410008	away	0.40	172.51	172.37
mcp1k	487853	away	5.69	16.02	11.33
mcp2k	52605	toward	24.69	5.79	24.50
mcp2k	53658	toward	72.55	21.53	74.08
mcp2k	55740	toward	235.97	0.42	236.34
mcp2k	56763	toward	13.86	0.66	14.51
mcp2k	58072	away	0.20	11.81	11.90
mcp2k	65266	toward	45.47	2.69	42.84
mcp2k	66652	away	0.00	10.06	10.06
mcp2k	70186	away	0.02	53.35	53.34
mcp2k	71092	toward	54.14	0.20	54.26
mcp2k	72099	away	0.00	inf	inf
mcp2k	74270	toward	17.14	0.08	17.20
mcp2k	74380	away	0.28	84.90	84.69
mcp2k	76346	toward	37.04	6.44	39.17
mcp2k	77328	away	0.37	11.77	11.99
mcp2k	77846	away	0.08	14.06	14.04
mcp2k	93776	away	0.00	inf	inf
mcp2k	97062	away	35.15	72.17	102.23
mcp2k	101004	away	7.33	inf	inf
mcp2k	103798	away	0.17	18.68	18.78
mcp2k	103952	away	0.51	33.03	32.75
mcp2k	167744	away	0.00	304.18	304.18
mcp2k	169724	away	0.40	33.27	32.89
mcp2k	170326	away	2.19	inf	inf
mcp2k	173093	away	0.00	44.75	44.75
mcp2k	173620	away	15.09	102.14	110.68
mcp2k	174795	away	0.00	inf	inf
mcp2k	176986	away	21.96	50.45	51.55
mcp2k	177068	away	2.08	29.31	27.29
mcp2k	177521	away	0.40	inf	inf
mcp2k	177939	away	3.50	inf	inf
mcp2k	178535	away	15.15	inf	inf
mcp2k	179246	toward	31.91	0.04	31.90
mcp2k	179369	away	10.13	449.80	439.72
mcp2k	280709	toward	27.25	2.98	25.80
mcp2k	280945	toward	105.72	0.22	105.75
mcp2k	281567	away	10.72	25.55	19.88
mcp2k	281781	away	0.29	33.06	32.85
mcp2k	284866	away	1.06	inf	inf
mcp2k	285680	away	0.13	10.57	10.61
mcp2k	286296	away	3.18	17.58	14.94
mcp2k	317077	away	0.20	26.60	26.52
mcp2k	321015	toward	28.95	6.86	22.28
mcp2k	321235	away	0.26	195.75	195.55
mcp2k	322181	away	0.30	inf	inf
mcp2k	323369	toward	235.09	224.37	11.83
mcp2k	355106	toward	352.89	1.41	353.17
mcp2k	392891	away	0.98	inf	inf
mcp2k	393133	toward	31.96	2.47	31.24
mcp2k	395089	away	0.26	inf	inf
mcp2k	395277	away	10.29	68.14	78.36
mcp2k	395597	away	1.22	14.41	14.55
mcp2k	396816	toward	32.30	15.95	17.69
mcp2k	396829	away	0.00	66.47	66.47
mcp2k	400029	away	0.64	57.11	56.91
mcp2k	400185	away	0.00	63.42	63.42
mcp2k	406367	away	0.77	64.18	64.70
mcp2k	406631	toward	206.10	0.07	206.07
mcp2k	407886	toward	104.15	42.06	96.25
mcp2k	409052	away	0.00	inf	inf
mcp2k	474612	away	0.00	19.62	19.62
mcp2k	478880	away	0.01	22.63	22.64
mcp2k	479650	toward	25.87	8.32	32.80
mcp2k	481014	toward	inf	123.00	inf
mcp2k	497311	toward	191.78	79.18	258.72
mcp2k	497399	away	269.16	301.41	45.91
mcp2k	499423	away	17.42	41.38	24.67
