# pr150 STM margin A=pr150s0 B=pr150p3bw samples=['mcp1k', 'mcp2k']: evaluated candidates A 1183 B 1181 common 1181
A: T_stm_pass status of the deciding pass: accepted 450, eval-failed 333, left-charge 221, pre-fit-exit 118, mid-point-trk 34, proton 27
A: verdict 1 638 / 0 331; margin_shape p10/p50/p90 -0.0254 +0.0568 +0.0971; |margin_shape| < 0.02: 182 (18.8 %); verdict 1 with margin_shape < 0.02: 56; verdict 0 with margin_shape > 0 (failed later rules): 136
B: T_stm_pass status of the deciding pass: accepted 455, eval-failed 336, left-charge 225, pre-fit-exit 116, proton 27, mid-point-trk 22
B: verdict 1 627 / 0 337; margin_shape p10/p50/p90 -0.0246 +0.0599 +0.0965; |margin_shape| < 0.02: 168 (17.4 %); verdict 1 with margin_shape < 0.02: 42; verdict 0 with margin_shape > 0 (failed later rules): 143
paired on common clusters (1181): |d ks1| p50/p90 0.0081/0.0519; |d margin_shape| p50/p90 0.0084/0.0530; on the 1047 verdict-stable clusters |d margin_shape| p90 = 0.0391 (the refit noise)
verdict flips on common clusters: 134 (1->0 72, 0->1 62); evaluated only in A 2 (verdict 1: 1), only in B 0 (verdict 1: 0)
CANDIDACY flips (status 0 <-> other) on common clusters: 78 (lost 36, gained 42); candidates only in A 1, only in B 0
     21  accepted -> eval-failed
     18  eval-failed -> accepted
     10  proton -> accepted
     10  pre-fit-exit -> accepted
      7  accepted -> proton
      6  accepted -> pre-fit-exit
      4  left-charge -> accepted
      2  accepted -> left-charge
   of the eval-failed (status 3) candidacy flips 39: losing-arm margin_shape within the noise (0.0391) 12, beyond 1, positive (a residual/Michel rule) 26
flip mechanism (losing arm): shape boundary within the noise 0; shape fail beyond the noise 0; shape passes, a later rule (residual / Michel) decides 134
sample	event	cluster	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	kind
mcp1k	50787	6	1	0	+0.0982	+nan	+0.0372	+nan	+0.1354	+nan	later-rule
mcp1k	52613	2	1	0	+0.0480	+0.0869	+0.0846	+0.0559	+0.1326	+0.1428	later-rule
mcp1k	59003	19	1	0	+0.0269	-0.0245	+0.0505	+0.0827	+0.0851	+0.0587	later-rule
mcp1k	63669	15	0	1	+0.1048	+0.0126	+1.2244	+0.0021	+1.3291	+0.0147	later-rule
mcp1k	68648	15	1	0	+0.0089	-0.0392	+0.0957	+0.0832	+0.1046	+0.0447	later-rule
mcp1k	72586	17	1	0	+0.0286	+nan	+0.0226	+nan	+0.0525	+nan	later-rule
mcp1k	167112	16	0	1	+0.0233	+0.0682	+0.0962	+0.0272	+0.1195	+0.0954	later-rule
mcp1k	174928	9	0	1	+0.0075	+0.0298	+0.0873	+0.0575	+0.0949	+0.0874	later-rule
mcp1k	280972	7	0	1	+0.0295	+0.0962	+0.0517	+0.0632	+0.0812	+0.1594	later-rule
mcp1k	282459	10	1	0	+0.0746	-0.0039	+0.0411	+0.0511	+0.1327	+0.0732	later-rule
mcp1k	282979	19	0	1	-0.0474	+0.0776	+10.6670	+0.0433	+10.6196	+0.1209	later-rule
mcp1k	283009	23	1	0	+0.0963	-0.0218	+0.0746	+0.1091	+0.1709	+0.0873	later-rule
mcp1k	283463	14	0	1	+0.0155	+0.0823	+0.0275	+0.1689	+0.0430	+0.2512	later-rule
mcp1k	283515	23	0	1	+nan	+0.0721	+nan	+0.0552	+nan	+0.1273	later-rule
mcp1k	284145	11	1	0	+0.0883	+nan	+0.0300	+nan	+0.1183	+nan	later-rule
mcp1k	284200	6	1	0	+0.0805	+nan	+8.2254	+nan	+8.3060	+nan	later-rule
mcp1k	284211	14	1	0	+0.1013	+nan	+0.1268	+nan	+0.2281	+nan	later-rule
mcp1k	284769	16	1	0	+0.0207	-0.0142	+0.0616	+0.0341	+0.0834	+0.0536	later-rule
mcp1k	285253	24	0	1	-0.0491	+0.0129	+0.0490	+0.0405	+0.0304	+0.0627	later-rule
mcp1k	285366	13	1	0	+0.0001	-0.0089	+0.0636	+0.0416	+0.0637	+0.0327	later-rule
mcp1k	285443	7	0	1	+0.1020	+0.0957	+0.2857	+0.0859	+0.3877	+0.1816	later-rule
mcp1k	286353	9	1	0	+0.0553	+0.0417	+0.0944	+0.0561	+0.1497	+0.0978	later-rule
mcp1k	286655	19	0	1	+0.0833	+0.0886	+0.3989	+0.2791	+0.4822	+0.3677	later-rule
mcp1k	289295	15	1	0	+0.0127	+0.0096	+0.0301	+0.0345	+0.0427	+0.0441	later-rule
mcp1k	321525	5	1	0	+0.0208	+0.0089	+0.0337	+0.0282	+0.0545	+0.0371	later-rule
mcp1k	350121	2	0	1	-0.0167	+0.0604	+0.0701	+0.0828	+0.0534	+0.1432	later-rule
mcp1k	353223	15	1	0	+0.0241	+nan	+0.0637	+nan	+0.0877	+nan	later-rule
mcp1k	398690	18	0	1	+0.0126	+0.0812	+0.0500	+0.0535	+0.0710	+0.1496	later-rule
mcp1k	409546	9	0	1	-0.0443	+0.0251	+0.0757	+0.0408	+0.0314	+0.0660	later-rule
mcp1k	409942	17	0	1	+0.0000	+0.0071	+0.0000	+0.0276	+0.0000	+0.0347	later-rule
mcp1k	412692	13	1	0	+0.0048	+0.0077	+0.0278	+0.0282	+0.0326	+0.0359	later-rule
mcp2k	52121	11	0	1	+0.1094	+0.0894	+0.1207	+0.0990	+0.2301	+0.1884	later-rule
mcp2k	52352	24	1	0	+0.0960	+0.0959	+0.1131	+0.1382	+0.2091	+0.2341	later-rule
mcp2k	55322	18	1	0	+0.0481	+0.0080	+0.0726	+0.0593	+0.1316	+0.0816	later-rule
mcp2k	55322	25	0	1	+nan	+0.0877	+nan	+0.1868	+nan	+0.2745	later-rule
mcp2k	56180	22	0	1	+nan	+0.0837	+nan	+0.6217	+nan	+0.7054	later-rule
mcp2k	58072	15	0	1	+0.0017	+0.0892	+0.1085	+0.0897	+0.1102	+0.1789	later-rule
mcp2k	66366	22	0	1	+0.0340	+0.0577	+0.0605	+0.1043	+0.1178	+0.1619	later-rule
mcp2k	66718	11	1	0	+0.0145	-0.0081	+0.0336	+0.0599	+0.0848	+0.0721	later-rule
mcp2k	68830	11	1	0	+0.0592	-0.0129	+0.0702	+0.0581	+0.1294	+0.0452	later-rule
mcp2k	69922	9	1	0	+0.0318	+0.0368	+0.0349	+0.0351	+0.0666	+0.0848	later-rule
mcp2k	70178	23	0	1	+0.0000	+0.0100	+0.0000	+0.0168	+0.0000	+0.0268	later-rule
mcp2k	70766	27	1	0	+0.0833	+nan	+0.0339	+nan	+0.1172	+nan	later-rule
mcp2k	70816	9	1	0	+0.0207	-0.0081	+0.0321	+0.0462	+0.0528	+0.0381	later-rule
mcp2k	72055	14	1	0	+0.0191	+0.0062	+0.0867	+0.0512	+0.1058	+0.0866	later-rule
mcp2k	72298	15	1	0	+0.0186	-0.0366	+0.0281	+0.1436	+0.0467	+0.1069	later-rule
mcp2k	72764	6	0	1	-0.0138	+0.0565	+0.0150	+0.0842	+0.0318	+0.1407	later-rule
mcp2k	74270	22	0	1	-0.0110	+0.0329	+0.0121	+0.0951	+0.0011	+0.1280	later-rule
mcp2k	75040	24	0	1	+0.0362	+0.0232	+0.0957	+0.0679	+0.1319	+0.0910	later-rule
mcp2k	76059	9	0	1	+0.0334	+0.0332	+0.1061	+0.0998	+0.1396	+0.1330	later-rule
mcp2k	76147	5	1	0	+0.0259	+0.0293	+0.0325	+0.0544	+0.0584	+0.0892	later-rule
mcp2k	76866	9	1	0	+0.0600	-0.0277	+0.0618	+0.0231	+0.1290	+0.0458	later-rule
mcp2k	76866	17	0	1	+0.0625	+0.0367	+0.0038	+0.2097	+0.0663	+0.2464	later-rule
mcp2k	77702	21	0	1	-0.0463	+0.0411	+0.0867	+0.0536	+0.0404	+0.0948	later-rule
mcp2k	81420	15	0	1	-0.0242	+0.0572	+0.0167	+0.0543	+0.0468	+0.1115	later-rule
mcp2k	83048	9	0	1	+0.0466	+0.0678	+0.0379	+0.0476	+0.0845	+0.1154	later-rule
mcp2k	91653	13	0	1	+0.0000	+0.0285	+0.0000	+0.0981	+0.0000	+0.1266	later-rule
mcp2k	93105	9	1	0	+0.0706	+nan	+0.0587	+nan	+0.1479	+nan	later-rule
mcp2k	93655	6	1	0	+0.0343	+0.0396	+0.0280	+0.0463	+0.0705	+0.0859	later-rule
mcp2k	93776	9	0	1	-0.0220	+0.0691	+0.0545	+0.0426	+0.0545	+0.1446	later-rule
mcp2k	94392	12	1	0	+0.0999	+0.1035	+0.3241	+0.9960	+0.4240	+1.0995	later-rule
mcp2k	95170	15	1	0	+0.0705	+0.0583	+0.0916	+0.0647	+0.1621	+0.1245	later-rule
mcp2k	95412	12	0	1	-0.0337	+0.0049	+0.0482	+0.0569	+0.0318	+0.0791	later-rule
mcp2k	98844	6	1	0	+0.1089	+nan	+0.0681	+nan	+0.1769	+nan	later-rule
mcp2k	101004	2	0	1	+0.0000	+0.0845	+0.0000	+0.0477	+0.0000	+0.1322	later-rule
mcp2k	104172	24	1	0	+0.0236	+nan	+0.5601	+nan	+0.5837	+nan	later-rule
mcp2k	104260	10	0	1	+0.0492	+0.0395	+0.1115	+0.1962	+0.1607	+0.2357	later-rule
mcp2k	105404	4	1	0	+0.0247	-0.0020	+0.0612	+0.0587	+0.0860	+0.0567	later-rule
mcp2k	157215	18	1	0	+0.0299	+0.0265	+0.0341	+0.0555	+0.0809	+0.1093	later-rule
mcp2k	159569	12	0	1	-0.0420	+0.0863	+0.1119	+0.0399	+0.0699	+0.1263	later-rule
mcp2k	164576	24	1	0	+0.0711	+0.0697	+1.2638	+0.9482	+1.3349	+1.0180	later-rule
mcp2k	168209	17	0	1	+0.0458	+0.0893	+0.0721	+0.0933	+0.1179	+0.1826	later-rule
mcp2k	169900	21	1	0	+0.0979	+0.0000	+0.4685	+0.0000	+0.5664	+0.0000	later-rule
mcp2k	170326	8	0	1	+0.0171	+0.0265	+0.0651	+0.0761	+0.0822	+0.1026	later-rule
mcp2k	172177	7	0	1	+0.0847	+0.0578	+0.2552	+0.1873	+0.3399	+0.2451	later-rule
mcp2k	172498	5	0	1	+0.0378	+0.0317	+0.0572	+0.0853	+0.0950	+0.1170	later-rule
mcp2k	172617	17	0	1	+0.0966	+0.0624	+0.1259	+0.0514	+0.2225	+0.1138	later-rule
mcp2k	173048	17	1	0	+0.0083	+0.0782	+0.0647	+0.0806	+0.0796	+0.1611	later-rule
mcp2k	174465	18	1	0	+0.0649	+nan	+0.1157	+nan	+0.1806	+nan	later-rule
mcp2k	174771	23	0	1	+nan	+0.0822	+nan	+0.5070	+nan	+0.5892	later-rule
mcp2k	175057	13	1	0	+0.0080	+nan	+0.0525	+nan	+0.0617	+nan	later-rule
mcp2k	175094	4	0	1	-0.0010	+0.0121	+0.0473	+0.0440	+0.0463	+0.0561	later-rule
mcp2k	177366	12	0	1	+0.0174	+0.1045	+0.1163	+0.0821	+0.1337	+0.1866	later-rule
mcp2k	177521	8	0	1	-0.0448	+0.0333	+0.1031	+0.0746	+0.0584	+0.1079	later-rule
mcp2k	178645	15	0	1	+nan	+0.0795	+nan	+0.0183	+nan	+0.0979	later-rule
mcp2k	179054	27	1	0	+0.0315	+nan	+0.0941	+nan	+0.1256	+nan	later-rule
mcp2k	180117	12	1	0	+0.0390	+0.0738	+0.0729	+0.1035	+0.1119	+0.1773	later-rule
mcp2k	236610	12	0	1	+nan	+0.0928	+nan	+0.1685	+nan	+0.2613	later-rule
mcp2k	240196	2	1	0	+0.0627	+0.0589	+0.1783	+0.0472	+0.2410	+0.1061	later-rule
mcp2k	240636	12	1	0	+0.0549	+0.0230	+0.0997	+0.0714	+0.1546	+0.0944	later-rule
mcp2k	275011	11	1	0	+0.0038	-0.0423	+0.1140	+0.2810	+0.1178	+0.2387	later-rule
mcp2k	275231	13	0	1	+0.0179	+0.0518	+0.0445	+0.0575	+0.0623	+0.1094	later-rule
mcp2k	282909	4	1	0	+0.0928	+nan	+0.7625	+nan	+0.8553	+nan	later-rule
mcp2k	283299	11	1	0	+0.0879	+nan	+0.0931	+nan	+0.1810	+nan	later-rule
mcp2k	286296	22	1	0	+0.0868	+0.0933	+0.5593	+17.1210	+0.6462	+17.2143	later-rule
mcp2k	287132	21	1	0	+0.0762	-0.0503	+0.2477	+0.2846	+0.3239	+0.2342	later-rule
mcp2k	290654	28	1	0	+0.0530	-0.0363	+0.0587	+0.0755	+0.1117	+0.0413	later-rule
mcp2k	293536	17	1	0	+0.0311	+0.0612	+0.1835	+0.0704	+0.2146	+0.1349	later-rule
mcp2k	293734	12	0	1	-0.0118	+0.0229	+0.0649	+0.0449	+0.0531	+0.0837	later-rule
mcp2k	320091	9	0	1	+0.0000	+0.0165	+0.0000	+0.0613	+0.0000	+0.0778	later-rule
mcp2k	321849	28	0	1	-0.0261	+0.0569	+0.0740	+0.0571	+0.0480	+0.1140	later-rule
mcp2k	322181	8	0	1	-0.0007	+0.0953	+0.0300	+0.1266	+0.0542	+0.2219	later-rule
mcp2k	323171	22	1	0	+0.0485	-0.0408	+0.0394	+0.0678	+0.1115	+0.0378	later-rule
mcp2k	349122	9	1	0	+0.0773	+0.0005	+0.0285	+0.0659	+0.1058	+0.0664	later-rule
mcp2k	350882	5	1	0	+0.0458	+0.1082	+0.0556	+0.1683	+0.1013	+0.2764	later-rule
mcp2k	388323	34	0	1	+nan	+0.0672	+nan	+1.2814	+nan	+1.3486	later-rule
mcp2k	392891	16	1	0	+0.0484	-0.0066	+0.0282	+0.0644	+0.1151	+0.0578	later-rule
mcp2k	392900	10	0	1	+0.0218	+0.1145	+0.0537	+0.1438	+0.0756	+0.2583	later-rule
mcp2k	393119	10	0	1	-0.0432	+0.0238	+0.0686	+0.0877	+0.0383	+0.1115	later-rule
mcp2k	393133	24	1	0	+0.0626	+0.1010	+0.0783	+0.6234	+0.1409	+0.7244	later-rule
mcp2k	393538	7	1	0	+0.0722	-0.0340	+0.0317	+0.1034	+0.1394	+0.0693	later-rule
mcp2k	394375	21	1	0	+0.0813	+0.1043	+0.1113	+7.4295	+0.1926	+7.5338	later-rule
mcp2k	394396	7	0	1	+0.0589	+0.0394	+0.0763	+0.1129	+0.1352	+0.1524	later-rule
mcp2k	394483	3	1	0	+0.0960	+0.0418	+0.0297	+0.0318	+0.1257	+0.0977	later-rule
mcp2k	394629	16	0	1	+0.0147	+0.0473	+0.1217	+0.1018	+0.1365	+0.1491	later-rule
mcp2k	395597	20	1	0	+0.0022	+0.0442	+0.0299	+0.0754	+0.0321	+0.1246	later-rule
mcp2k	395837	22	0	1	+0.0642	+0.0057	+0.0647	+0.0381	+0.1474	+0.0688	later-rule
mcp2k	396057	10	1	0	+0.0598	+nan	+0.0843	+nan	+0.1440	+nan	later-rule
mcp2k	396222	16	1	0	+0.0444	-0.0362	+0.0753	+0.0421	+0.1197	+0.0473	later-rule
mcp2k	396551	13	0	1	+0.1182	+0.0678	+0.1274	+0.0343	+0.2456	+0.1112	later-rule
mcp2k	396816	26	1	0	+0.0290	-0.0383	+0.2657	+0.2276	+0.2947	+0.1893	later-rule
mcp2k	396829	27	1	0	+0.0841	+0.0876	+0.1598	+0.6205	+0.2439	+0.7081	later-rule
mcp2k	397487	10	0	1	+0.0000	+0.0109	+0.0000	+0.0113	+0.0000	+0.0222	later-rule
mcp2k	398191	22	1	0	+0.0794	+0.0298	+0.0511	+0.1487	+0.1305	+0.1784	later-rule
mcp2k	400073	11	1	0	+0.0126	-0.0167	+0.0396	+0.0512	+0.0522	+0.0345	later-rule
mcp2k	401637	13	0	1	+0.0182	+0.0559	+0.0247	+0.1285	+0.0429	+0.1844	later-rule
mcp2k	405707	17	0	1	+0.0201	+0.0507	+0.0511	+0.0357	+0.0711	+0.1104	later-rule
mcp2k	413580	11	1	0	+0.0132	-0.0020	+0.0393	+0.0691	+0.0939	+0.0809	later-rule
mcp2k	414372	10	1	0	+0.0980	-0.0198	+0.1741	+0.1407	+0.2721	+0.1209	later-rule
mcp2k	475096	19	0	1	+0.0054	+0.0921	+0.0466	+0.1642	+0.0854	+0.2563	later-rule
mcp2k	475140	10	1	0	+0.0648	+0.0558	+0.0727	+0.0618	+0.1375	+0.1272	later-rule
mcp2k	478220	22	1	0	+0.0639	+0.0000	+0.0601	+0.0000	+0.1472	+0.0000	later-rule
mcp2k	478638	5	1	0	+0.0624	-0.0385	+0.0656	+0.0637	+0.1280	+0.0253	later-rule
mcp2k	493659	29	0	1	+nan	+0.1018	+nan	+0.2049	+nan	+0.3067	later-rule
