# pr150 STM margin A=pr150s0 B=pr150csp3bw samples=['mcp1k', 'mcp2k']: evaluated candidates A 1183 B 1209 common 1179
A: T_stm_pass status of the deciding pass: accepted 450, eval-failed 333, left-charge 221, pre-fit-exit 118, mid-point-trk 34, proton 27
A: verdict 1 638 / 0 331; margin_shape p10/p50/p90 -0.0254 +0.0568 +0.0971; |margin_shape| < 0.02: 182 (18.8 %); verdict 1 with margin_shape < 0.02: 56; verdict 0 with margin_shape > 0 (failed later rules): 136
B: T_stm_pass status of the deciding pass: accepted 458, eval-failed 344, left-charge 225, pre-fit-exit 122, proton 32, mid-point-trk 28
B: verdict 1 649 / 0 342; margin_shape p10/p50/p90 -0.0301 +0.0559 +0.0966; |margin_shape| < 0.02: 203 (20.5 %); verdict 1 with margin_shape < 0.02: 56; verdict 0 with margin_shape > 0 (failed later rules): 119
paired on common clusters (1179): |d ks1| p50/p90 0.0094/0.0622; |d margin_shape| p50/p90 0.0112/0.0548; on the 1031 verdict-stable clusters |d margin_shape| p90 = 0.0438 (the refit noise)
verdict flips on common clusters: 148 (1->0 72, 0->1 76); evaluated only in A 4 (verdict 1: 2), only in B 30 (verdict 1: 9)
CANDIDACY flips (status 0 <-> other) on common clusters: 93 (lost 42, gained 51); candidates only in A 2, only in B 1
     19  accepted -> eval-failed
     18  eval-failed -> accepted
     16  pre-fit-exit -> accepted
     11  proton -> accepted
     10  accepted -> proton
      9  accepted -> pre-fit-exit
      6  left-charge -> accepted
      2  accepted -> left-charge
      2  accepted -> mid-point-trk
   of the eval-failed (status 3) candidacy flips 37: losing-arm margin_shape within the noise (0.0438) 10, beyond 1, positive (a residual/Michel rule) 26
flip mechanism (losing arm): shape boundary within the noise 0; shape fail beyond the noise 0; shape passes, a later rule (residual / Michel) decides 148
sample	event	cluster	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	kind
mcp1k	50787	6	1	0	+0.0982	+nan	+0.0372	+nan	+0.1354	+nan	later-rule
mcp1k	56243	9	0	1	+nan	+0.0846	+nan	+1.7564	+nan	+1.8410	later-rule
mcp1k	57575	12	0	1	-0.0111	+0.0440	+0.0494	+0.0705	+0.0625	+0.1146	later-rule
mcp1k	59371	8	1	0	+0.0682	+0.0116	+0.0688	+0.0461	+0.1370	+0.0646	later-rule
mcp1k	64959	22	0	1	+0.0489	+0.0682	+0.0287	+0.0341	+0.0776	+0.1024	later-rule
mcp1k	65025	16	0	1	-0.0162	+0.0122	+0.0677	+0.0611	+0.0514	+0.0733	later-rule
mcp1k	68054	24	1	0	+0.0790	+0.0714	+0.0966	+0.1577	+0.1756	+0.2292	later-rule
mcp1k	71222	22	0	1	+nan	+0.0703	+nan	+0.8067	+nan	+0.8771	later-rule
mcp1k	72586	17	1	0	+0.0286	+nan	+0.0226	+nan	+0.0525	+nan	later-rule
mcp1k	73004	23	0	1	+0.0099	+0.0208	+0.0587	+0.0478	+0.0686	+0.0686	later-rule
mcp1k	168432	22	1	0	+0.0545	+nan	+0.0756	+nan	+0.1301	+nan	later-rule
mcp1k	168614	5	0	1	-0.0060	+0.0273	+0.0369	+0.0486	+0.0701	+0.1049	later-rule
mcp1k	172090	10	0	1	+0.0106	+0.0571	+0.0338	+0.0395	+0.0445	+0.0966	later-rule
mcp1k	174928	9	0	1	+0.0075	+0.0586	+0.0873	+0.0475	+0.0949	+0.1201	later-rule
mcp1k	175896	17	1	0	+0.0608	+nan	+0.1383	+nan	+0.1990	+nan	later-rule
mcp1k	278684	10	0	1	-0.0003	+0.0339	+0.0763	+0.0311	+0.0817	+0.0813	later-rule
mcp1k	282459	10	1	0	+0.0746	+0.0035	+0.0411	+0.0552	+0.1327	+0.0744	later-rule
mcp1k	282715	14	1	0	+0.0820	+0.0004	+0.0483	+0.0651	+0.1303	+0.0656	later-rule
mcp1k	282979	19	0	1	-0.0474	+0.0083	+10.6670	+0.0284	+10.6196	+0.0367	later-rule
mcp1k	283515	23	0	1	+nan	+0.0740	+nan	+0.0569	+nan	+0.1309	later-rule
mcp1k	283529	12	1	0	+0.0857	+0.0443	+0.0246	+0.0199	+0.1103	+0.0642	later-rule
mcp1k	284103	8	1	0	+0.0324	+0.0290	+0.0479	+0.0611	+0.0834	+0.0973	later-rule
mcp1k	284145	11	1	0	+0.0883	+nan	+0.0300	+nan	+0.1183	+nan	later-rule
mcp1k	284200	6	1	0	+0.0805	+nan	+8.2254	+nan	+8.3060	+nan	later-rule
mcp1k	284211	14	1	0	+0.1013	+nan	+0.1268	+nan	+0.2281	+nan	later-rule
mcp1k	284769	16	1	0	+0.0207	-0.0225	+0.0616	+0.0615	+0.0834	+0.0615	later-rule
mcp1k	284794	12	0	1	+nan	+0.0228	+nan	+0.0893	+nan	+0.1121	later-rule
mcp1k	285443	7	0	1	+0.1020	+0.1114	+0.2857	+0.2418	+0.3877	+0.3533	later-rule
mcp1k	286021	8	0	1	-0.0334	+0.0046	+0.1397	+0.0178	+0.1063	+0.0224	later-rule
mcp1k	286527	16	1	0	+0.0503	-0.0351	+0.1102	+0.0242	+0.1605	+0.0421	later-rule
mcp1k	286681	10	0	1	+0.0687	+0.0454	+0.0632	+0.0908	+0.1319	+0.1362	later-rule
mcp1k	287013	15	0	1	+0.1031	+0.0912	+15.7763	+0.6901	+15.8794	+0.7813	later-rule
mcp1k	289295	15	1	0	+0.0127	+0.0161	+0.0301	+0.0268	+0.0427	+0.0430	later-rule
mcp1k	289832	10	1	0	+0.0636	+0.0718	+0.0719	+0.0684	+0.1355	+0.1402	later-rule
mcp1k	291499	12	0	1	+0.0499	+0.0097	+0.0602	+0.0580	+0.1273	+0.0677	later-rule
mcp1k	317543	15	1	0	+0.0463	+0.1029	+0.0607	+0.0702	+0.1069	+0.1731	later-rule
mcp1k	321525	5	1	0	+0.0208	+0.0110	+0.0337	+0.0305	+0.0545	+0.0415	later-rule
mcp1k	346293	9	1	0	+0.0925	+0.1046	+0.0274	+0.0551	+0.1199	+0.1596	later-rule
mcp1k	353223	15	1	0	+0.0241	+nan	+0.0637	+nan	+0.0877	+nan	later-rule
mcp1k	391766	25	1	0	+0.0985	+nan	+0.0966	+nan	+0.1951	+nan	later-rule
mcp1k	405740	14	0	1	+0.0127	+0.0186	+0.0343	+0.0536	+0.0470	+0.0722	later-rule
mcp1k	409942	17	0	1	+0.0000	+0.0229	+0.0000	+0.0146	+0.0000	+0.0375	later-rule
mcp1k	411460	6	0	1	-0.0214	+0.0901	+0.0000	+0.0711	+0.0000	+0.1612	later-rule
mcp1k	412692	13	1	0	+0.0048	+0.0136	+0.0278	+0.0244	+0.0326	+0.0380	later-rule
mcp2k	47784	23	1	0	+0.0799	+0.1014	+0.1216	+0.3014	+0.2015	+0.4029	later-rule
mcp2k	52121	11	0	1	+0.1094	+0.0789	+0.1207	+0.0719	+0.2301	+0.1508	later-rule
mcp2k	52338	1	1	0	+0.0124	+0.0415	+0.1304	+0.1374	+0.1428	+0.1790	later-rule
mcp2k	52352	24	1	0	+0.0960	+0.0961	+0.1131	+0.1415	+0.2091	+0.2376	later-rule
mcp2k	52693	29	0	1	-0.0276	+0.0567	+0.1942	+0.0350	+0.1666	+0.1114	later-rule
mcp2k	55322	18	1	0	+0.0481	-0.0075	+0.0726	+0.0632	+0.1316	+0.0754	later-rule
mcp2k	55322	25	0	1	+nan	+0.0778	+nan	+0.0995	+nan	+0.1773	later-rule
mcp2k	56972	17	0	1	+nan	+0.1106	+nan	+0.0464	+nan	+0.1570	later-rule
mcp2k	66366	22	0	1	+0.0340	+0.0464	+0.0605	+0.0960	+0.1178	+0.1423	later-rule
mcp2k	66718	11	1	0	+0.0145	-0.0036	+0.0336	+0.0703	+0.0848	+0.0798	later-rule
mcp2k	67942	22	0	1	+0.0128	+0.0741	+0.0435	+0.0634	+0.0949	+0.1375	later-rule
mcp2k	68308	6	0	1	-0.0404	+0.0584	+0.0843	+0.0619	+0.0438	+0.1203	later-rule
mcp2k	68748	11	0	1	+nan	+0.0382	+nan	+0.0124	+nan	+0.0506	later-rule
mcp2k	70124	18	1	0	+0.0686	+nan	+0.0822	+nan	+0.1508	+nan	later-rule
mcp2k	70178	23	0	1	+0.0000	+0.0209	+0.0000	+0.0158	+0.0000	+0.0367	later-rule
mcp2k	70472	16	1	0	+0.0438	+0.0086	+0.0407	+0.0324	+0.0845	+0.0889	later-rule
mcp2k	70766	21	0	1	-0.0123	+0.0309	+0.0458	+0.0564	+0.0335	+0.0873	later-rule
mcp2k	71022	28	1	0	+0.0952	+0.0184	+0.4674	+0.1390	+0.5626	+0.1574	later-rule
mcp2k	71092	4	1	0	+0.0274	-0.0039	+0.0598	+0.0551	+0.0872	+0.0513	later-rule
mcp2k	72055	14	1	0	+0.0191	+nan	+0.0867	+nan	+0.1058	+nan	later-rule
mcp2k	75954	21	0	1	+nan	+0.0514	+nan	+0.1857	+nan	+0.2371	later-rule
mcp2k	76059	9	0	1	+0.0334	+0.0705	+0.1061	+0.1275	+0.1396	+0.1980	later-rule
mcp2k	76866	9	1	0	+0.0600	+0.0121	+0.0618	+0.0727	+0.1290	+0.0853	later-rule
mcp2k	76866	17	0	1	+0.0625	+0.0974	+0.0038	+0.2586	+0.0663	+0.3560	later-rule
mcp2k	77702	21	0	1	-0.0463	+0.0231	+0.0867	+0.0679	+0.0404	+0.0910	later-rule
mcp2k	77731	19	1	0	+0.0873	-0.0490	+0.0424	+0.1992	+0.1297	+0.1502	later-rule
mcp2k	77878	8	0	1	-0.0504	+0.0726	+0.1277	+0.0798	+0.0773	+0.1525	later-rule
mcp2k	80672	2	0	1	-0.0455	+0.0256	+0.1100	+0.0752	+0.0645	+0.1008	later-rule
mcp2k	91653	13	0	1	+0.0000	+0.0897	+0.0000	+0.0897	+0.0000	+0.1795	later-rule
mcp2k	93105	9	1	0	+0.0706	+nan	+0.0587	+nan	+0.1479	+nan	later-rule
mcp2k	94092	13	0	1	+0.0312	+0.0710	+0.0402	+0.1207	+0.1108	+0.1916	later-rule
mcp2k	94392	12	1	0	+0.0999	+0.1030	+0.3241	+0.4857	+0.4240	+0.5887	later-rule
mcp2k	95405	17	0	1	+nan	+0.0733	+nan	+0.1020	+nan	+0.1753	later-rule
