# pr150 traj compare A=pr150s0 B=pr150tfull samples=['nuecc48', 'ncpi0'] A=67 B=67 common=67
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 67 | R2D_W | 0.0279 | 0.0216 | -0.0063 | 35 / 9 | 0.000106 |
| all | 67 | R2D_U | 0.0279 | 0.0190 | -0.0089 | 41 / 9 | 5.61e-06 |
| all | 67 | R2D_V | 0.0452 | 0.0289 | -0.0163 | 49 / 4 | 7.05e-11 |
| all | 67 | R2Dpm1_W | 0.0140 | 0.0107 | -0.0033 | 23 / 11 | 0.0576 |
| all | 67 | P1 | 0.1113 | 0.1025 | -0.0088 | 37 / 18 | 0.0145 |
| all | 67 | P1_2 | 0.0081 | 0.0050 | -0.0031 | 16 / 3 | 0.00443 |
| all | 67 | P2 | 0.0505 | 0.0360 | -0.0145 | 49 / 4 | 7.05e-11 |
| all | 67 | P3 | 2.8199 | 2.6304 | -0.1895 | 38 / 28 | 0.268 |
| all | 67 | P4 | 0.6634 | 0.6602 | -0.0031 | 30 / 28 | 0.896 |
| all | 67 | uncov | 0.3071 | 0.2967 | -0.0105 | 40 / 17 | 0.0032 |
| all | 67 | qneg | 0.0907 | 0.0858 | -0.0049 | 33 / 27 | 0.519 |
| all | 67 | wig1 | 0.2599 | 0.2574 | -0.0025 | 37 / 24 | 0.124 |
| all | 67 | med_d_W | 0.2479 | 0.2500 | +0.0022 | 21 / 33 | 0.134 |
| all | 67 | noslice_W | 0.0009 | 0.0009 | +0.0001 | 0 / 1 | 1 |
| all | 67 | len_cm (sum) | 235471.3 | 235087.1 | -384.3 | | |
| all | 67 | rows (sum) | 50606.0 | 50180.0 | -426.0 | | |
