# pr150 traj compare A=pr150s0 B=pr150tfull samples=['mcp1k', 'mcp2k'] A=1315 B=1306 common=1273
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| vtx_iso | 249 | R2D_W | 0.0112 | 0.0078 | -0.0035 | 64 / 19 | 7.39e-07 |
| vtx_iso | 249 | R2D_U | 0.0140 | 0.0102 | -0.0038 | 63 / 24 | 3.48e-05 |
| vtx_iso | 249 | R2D_V | 0.0161 | 0.0108 | -0.0053 | 87 / 28 | 3.18e-08 |
| vtx_iso | 249 | R2Dpm1_W | 0.0073 | 0.0056 | -0.0017 | 42 / 15 | 0.00046 |
| vtx_iso | 249 | P1 | 0.0299 | 0.0262 | -0.0036 | 82 / 60 | 0.0777 |
| vtx_iso | 249 | P1_2 | 0.0035 | 0.0036 | +0.0001 | 10 / 10 | 1 |
| vtx_iso | 249 | P2 | 0.0232 | 0.0176 | -0.0057 | 91 / 33 | 1.86e-07 |
| vtx_iso | 249 | P3 | 0.7909 | 0.7549 | -0.0360 | 72 / 73 | 1 |
| vtx_iso | 249 | P4 | 0.8490 | 0.8514 | +0.0023 | 79 / 69 | 0.46 |
| vtx_iso | 249 | uncov | 0.2076 | 0.2087 | +0.0011 | 107 / 55 | 5.36e-05 |
| vtx_iso | 249 | qneg | 0.0316 | 0.0297 | -0.0019 | 92 / 67 | 0.0567 |
| vtx_iso | 249 | wig1 | 0.1020 | 0.1055 | +0.0035 | 75 / 110 | 0.0122 |
| vtx_iso | 249 | med_d_W | 0.2402 | 0.2433 | +0.0031 | 87 / 124 | 0.013 |
| vtx_iso | 249 | noslice_W | 0.0016 | 0.0013 | -0.0003 | 14 / 5 | 0.0636 |
| vtx_iso | 249 | len_cm (sum) | 398574.2 | 397213.5 | -1360.7 | | |
| vtx_iso | 249 | rows (sum) | 83280.0 | 81958.0 | -1322.0 | | |
