sample	event	direction	dA	dB	moved
mcp1k	57903	away	1.04	12.77	11.77
mcp1k	59335	toward	65.05	0.09	65.00
mcp1k	61843	toward	12.38	0.24	12.17
mcp1k	62281	toward	29.27	0.56	29.23
mcp1k	65025	away	0.00	inf	inf
mcp1k	66118	away	0.13	66.54	66.44
mcp1k	67746	away	0.00	inf	inf
mcp1k	166804	toward	24.66	1.34	23.49
mcp1k	166870	away	2.52	18.94	17.38
mcp1k	171892	away	0.00	12.81	12.81
mcp1k	172788	away	99.26	inf	inf
mcp1k	276836	toward	224.78	48.34	263.13
mcp1k	278266	toward	inf	inf	inf
mcp1k	278640	away	0.00	inf	inf
mcp1k	278794	away	0.00	16.96	16.96
mcp1k	279256	toward	29.46	0.13	29.46
mcp1k	281527	away	0.15	153.16	153.29
mcp1k	281639	away	0.00	29.73	29.73
mcp1k	281953	away	0.00	inf	inf
mcp1k	282737	away	0.06	29.30	29.24
mcp1k	283691	away	0.15	16.13	16.21
mcp1k	283905	away	0.00	inf	inf
mcp1k	284235	away	1.73	30.94	29.23
mcp1k	285366	away	66.92	inf	inf
mcp1k	285443	away	0.00	inf	inf
mcp1k	285665	toward	88.95	2.20	89.67
mcp1k	286353	away	262.56	inf	inf
mcp1k	286655	toward	27.88	7.96	34.63
mcp1k	286681	toward	68.62	6.98	62.45
mcp1k	287431	toward	inf	inf	inf
mcp1k	290052	away	0.24	69.15	69.06
mcp1k	292643	away	0.71	22.27	21.67
mcp1k	293149	away	24.24	31.18	55.23
mcp1k	313781	toward	40.53	0.21	40.71
mcp1k	315013	away	0.00	212.64	212.64
mcp1k	315343	toward	10.91	0.80	10.57
mcp1k	321173	toward	22.10	1.15	23.20
mcp1k	321371	away	0.16	62.69	62.71
mcp1k	347129	away	1.22	64.90	65.07
mcp1k	348515	toward	56.17	18.34	38.42
mcp1k	348713	away	0.00	90.25	90.25
mcp1k	386948	toward	48.50	4.63	52.03
mcp1k	389874	away	0.00	12.96	12.96
mcp1k	390864	toward	93.19	0.10	93.24
mcp1k	391766	toward	115.52	0.41	115.57
mcp1k	393212	away	2.22	25.12	24.78
mcp1k	399052	toward	21.87	0.12	21.85
mcp1k	399856	away	0.00	61.20	61.20
mcp1k	401780	toward	63.62	8.96	72.42
mcp1k	409546	away	1.86	18.06	18.91
mcp1k	411460	away	2.71	inf	inf
mcp2k	47278	away	0.21	27.30	27.45
mcp2k	51128	away	0.22	12.71	12.92
mcp2k	52605	toward	24.69	5.51	24.99
mcp2k	52693	away	0.01	19.22	19.23
mcp2k	55740	toward	235.97	0.32	236.04
mcp2k	56972	away	0.36	inf	inf
mcp2k	58072	away	0.20	12.17	12.25
mcp2k	65266	toward	45.47	0.19	45.39
mcp2k	66872	away	5.12	62.21	58.74
mcp2k	67942	away	0.00	inf	inf
mcp2k	69936	away	0.23	57.52	57.30
mcp2k	72099	away	0.00	inf	inf
mcp2k	74270	toward	17.14	0.17	17.31
mcp2k	76346	toward	37.04	30.96	57.65
mcp2k	76866	toward	19.96	0.40	20.35
mcp2k	90135	away	0.00	128.93	128.93
mcp2k	92904	toward	25.82	6.84	19.02
mcp2k	92992	away	0.16	56.78	56.91
mcp2k	97062	toward	35.15	0.97	34.37
mcp2k	99232	away	0.27	32.77	32.58
mcp2k	103798	away	0.17	18.93	19.03
mcp2k	105492	toward	12.50	0.09	12.41
mcp2k	161043	away	0.16	11.66	11.80
mcp2k	163771	away	0.00	98.63	98.63
mcp2k	165544	away	0.04	19.24	19.21
mcp2k	167744	away	0.00	203.69	203.69
mcp2k	170274	away	0.00	11.28	11.28
mcp2k	173093	away	0.00	45.74	45.74
mcp2k	173620	away	15.09	102.05	110.59
mcp2k	174795	away	0.00	inf	inf
mcp2k	176810	away	0.00	11.07	11.07
mcp2k	177068	away	2.08	27.10	25.08
mcp2k	177939	away	3.50	inf	inf
mcp2k	178535	away	15.15	inf	inf
mcp2k	179246	toward	31.91	0.12	31.98
mcp2k	280159	away	13.21	27.12	15.95
mcp2k	280709	away	27.25	47.09	20.20
mcp2k	281567	away	10.72	18.65	14.08
mcp2k	281781	away	0.29	45.35	45.25
mcp2k	321015	toward	28.95	6.61	22.53
mcp2k	321169	toward	19.00	1.15	18.29
mcp2k	322707	away	0.16	37.00	36.94
mcp2k	323369	away	235.09	inf	inf
mcp2k	350354	away	5.22	62.58	57.56
mcp2k	355106	toward	352.89	1.41	353.17
mcp2k	392891	away	0.98	inf	inf
mcp2k	394407	toward	313.47	0.39	313.56
mcp2k	396816	toward	32.30	12.34	21.27
mcp2k	396829	away	0.00	66.49	66.49
mcp2k	400185	away	0.00	62.85	62.85
mcp2k	406367	away	0.77	inf	inf
mcp2k	406631	toward	206.10	0.06	206.05
mcp2k	409052	away	0.00	inf	inf
mcp2k	474612	away	0.00	18.55	18.55
mcp2k	479650	toward	25.87	15.10	33.65
mcp2k	481014	toward	inf	123.01	inf
mcp2k	499423	away	17.42	43.49	26.53
