# pr150 STM margin A=pr150s0 B=pr150cs samples=['mcp1k', 'mcp2k']: evaluated candidates A 1183 B 1210 common 1181
A: T_stm_pass status of the deciding pass: accepted 450, eval-failed 333, left-charge 221, pre-fit-exit 118, mid-point-trk 34, proton 27
A: verdict 1 638 / 0 331; margin_shape p10/p50/p90 -0.0254 +0.0568 +0.0971; |margin_shape| < 0.02: 182 (18.8 %); verdict 1 with margin_shape < 0.02: 56; verdict 0 with margin_shape > 0 (failed later rules): 136
B: T_stm_pass status of the deciding pass: accepted 450, eval-failed 348, left-charge 219, pre-fit-exit 129, mid-point-trk 34, proton 30
B: verdict 1 653 / 0 347; margin_shape p10/p50/p90 -0.0269 +0.0556 +0.0966; |margin_shape| < 0.02: 192 (19.2 %); verdict 1 with margin_shape < 0.02: 51; verdict 0 with margin_shape > 0 (failed later rules): 131
paired on common clusters (1181): |d ks1| p50/p90 0.0097/0.0536; |d margin_shape| p50/p90 0.0105/0.0549; on the 1043 verdict-stable clusters |d margin_shape| p90 = 0.0439 (the refit noise)
verdict flips on common clusters: 138 (1->0 67, 0->1 71); evaluated only in A 2 (verdict 1: 1), only in B 29 (verdict 1: 12)
CANDIDACY flips (status 0 <-> other) on common clusters: 86 (lost 43, gained 43); candidates only in A 1, only in B 1
     19  accepted -> eval-failed
     18  eval-failed -> accepted
     14  proton -> accepted
     11  accepted -> proton
     10  accepted -> pre-fit-exit
      9  pre-fit-exit -> accepted
      2  accepted -> left-charge
      2  left-charge -> accepted
      1  accepted -> mid-point-trk
   of the eval-failed (status 3) candidacy flips 37: losing-arm margin_shape within the noise (0.0439) 5, beyond 4, positive (a residual/Michel rule) 28
flip mechanism (losing arm): shape boundary within the noise 0; shape fail beyond the noise 0; shape passes, a later rule (residual / Michel) decides 138
sample	event	cluster	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	kind
mcp1k	50787	6	1	0	+0.0982	+nan	+0.0372	+nan	+0.1354	+nan	later-rule
mcp1k	52613	2	1	0	+0.0480	+0.0604	+0.0846	+0.0449	+0.1326	+0.1428	later-rule
mcp1k	56243	9	0	1	+nan	+0.0863	+nan	+1.7709	+nan	+1.8572	later-rule
mcp1k	57575	12	0	1	-0.0111	+0.0405	+0.0494	+0.0603	+0.0625	+0.1008	later-rule
mcp1k	58345	7	0	1	+0.0518	+0.0659	+0.0508	+0.0411	+0.1242	+0.1069	later-rule
mcp1k	59371	8	1	0	+0.0682	+0.0021	+0.0688	+0.0418	+0.1370	+0.0631	later-rule
mcp1k	64959	22	0	1	+0.0489	+0.0686	+0.0287	+0.0336	+0.0776	+0.1022	later-rule
mcp1k	68054	24	1	0	+0.0790	+0.0714	+0.0966	+0.1577	+0.1756	+0.2292	later-rule
mcp1k	68648	15	1	0	+0.0089	-0.0496	+0.0957	+0.1097	+0.1046	+0.0601	later-rule
mcp1k	72586	17	1	0	+0.0286	+nan	+0.0226	+nan	+0.0525	+nan	later-rule
mcp1k	73004	23	0	1	+0.0099	+0.0329	+0.0587	+0.0375	+0.0686	+0.0704	later-rule
mcp1k	168614	5	0	1	-0.0060	+0.0344	+0.0369	+0.0410	+0.0701	+0.1130	later-rule
mcp1k	172090	10	0	1	+0.0106	+0.0344	+0.0338	+0.0518	+0.0445	+0.0861	later-rule
mcp1k	280972	7	0	1	+0.0295	+0.0760	+0.0517	+0.0690	+0.0812	+0.1450	later-rule
mcp1k	281507	8	0	1	+0.0394	+0.0885	+0.0552	+0.0342	+0.1119	+0.1351	later-rule
mcp1k	282459	10	1	0	+0.0746	+0.0032	+0.0411	+0.0464	+0.1327	+0.0769	later-rule
mcp1k	282715	14	1	0	+0.0820	-0.0070	+0.0483	+0.0661	+0.1303	+0.0591	later-rule
