sample	event	cluster	status_A	status_B	verdict_A	verdict_B	margin_A	margin_B	ks1_A	ks1_B	ks2_A	ks2_B	ratio2_A	ratio2_B
mcp1k	48301	13	0	0	1	1	0.10004	0.09609	0.00979	0.01151	0.10982	0.10760	0.69961	0.71533
mcp1k	48367	19	3	3	0	0	-0.01309	-0.00919	0.07069	0.04345	0.06309	0.05656	1.03238	1.04896
mcp1k	48895	17	5	0	1	1	0.00251	0.00595	0.07373	0.05565	0.07624	0.06159	0.86395	0.83688
mcp1k	49951	16	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	50303	19	3	3	0	0	0.10741	0.04409	0.15402	0.10584	0.26144	0.14992	2.02160	0.95172
mcp1k	50765	15	0	0	1	1	0.07769	0.08612	0.02351	0.02412	0.10119	0.11024	0.72414	0.73438
mcp1k	50787	6	0	2	1	0	0.09816	nan	0.03719	nan	0.13535	nan	0.72748	nan
mcp1k	51051	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	52613	2	0	3	1	0	0.04803	0.06037	0.08458	0.04494	0.13261	0.14283	1.19993	1.02102
mcp1k	52723	7	7	7	1	1	0.04488	0.04461	0.07038	0.06106	0.11526	0.10567	0.89532	0.92033
mcp1k	54175	18	3	3	0	0	0.02875	0.03011	0.01773	0.01346	0.04648	0.05648	1.11374	1.09916
mcp1k	55595	8	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55627	22	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	55715	15	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	56243	9	2	7	0	1	nan	0.08627	nan	1.77088	nan	1.85716	nan	-3.15301
mcp1k	56387	11	0	0	1	1	0.07528	0.07531	0.01762	0.01960	0.09290	0.09491	0.75454	0.77195
mcp1k	56463	14	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	57575	12	3	7	0	1	-0.01108	0.04050	0.04937	0.06029	0.06246	0.10079	0.96238	0.91386
mcp1k	57661	18	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	58343	16	0	0	1	1	0.09549	0.09855	0.01028	0.01015	0.10576	0.10870	0.70384	0.71471
mcp1k	58345	7	3	0	0	1	0.05184	0.06585	0.05083	0.04106	0.12418	0.10692	0.94492	0.83401
mcp1k	58653	4	3	3	0	0	-0.01535	0.02592	0.06949	0.05561	0.05414	0.08154	1.10583	1.10191
mcp1k	58667	6	3	3	0	0	0.02045	0.02180	0.00755	0.00468	0.09457	0.08646	0.95567	1.06099
mcp1k	58711	15	0	0	1	1	0.01281	0.01276	0.04890	0.05758	0.06171	0.07033	0.68948	0.70859
mcp1k	58717	21	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	58755	21	0	0	1	1	0.03777	0.01259	0.05465	0.06977	0.09507	0.08236	0.92392	0.87971
mcp1k	59003	19	7	7	1	1	0.02694	0.00457	0.05051	0.04048	0.08509	0.06894	0.92881	0.94440
mcp1k	59025	19	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59063	14	0	0	1	1	0.02655	0.02010	0.04506	0.02310	0.09482	0.09878	1.05684	0.96715
mcp1k	59085	3	3	3	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.53904	0.47956
mcp1k	59179	15	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
mcp1k	59371	8	7	3	1	0	0.06819	0.00212	0.06878	0.04183	0.13697	0.06307	0.86429	0.94137
mcp1k	59377	7	0	0	1	1	0.08639	0.08590	0.01110	0.01204	0.09750	0.09794	0.37399	0.36986
mcp1k	59377	17		7		1		0.09321		0.15914		0.25235		0.98516
mcp1k	59459	20	0	0	1	1	0.09290	0.09207	0.01647	0.01431	0.10938	0.10638	0.72732	0.72022
mcp1k	59685	6	2	2	0	0	nan	nan	nan	nan	nan	nan	nan	nan
