section	cell	sample	quantity	value
A	s0	nuecc48	nu_evaluated	48
A	s0	nuecc48	nueCC	33
A	s0	nuecc48	numuCC	3
A	s0	nuecc48	both	1
A	s0	ncpi0	nu_evaluated	19
A	s0	ncpi0	nueCC	0
A	s0	ncpi0	numuCC	4
A	s0	ncpi0	both	0
A	s0	mcp1k	nu_evaluated	462
A	s0	mcp1k	nueCC	0
A	s0	mcp1k	numuCC	274
A	s0	mcp1k	both	0
A	s0	mcp2k	nu_evaluated	906
A	s0	mcp2k	nueCC	3
A	s0	mcp2k	numuCC	508
A	s0	mcp2k	both	0
A	s0	ALL	nu_evaluated	1435
A	s0	ALL	nueCC	36
A	s0	ALL	numuCC	789
A	s0	ALL	both	1
A	cs	nuecc48	nu_evaluated	48
A	cs	nuecc48	nueCC	34
A	cs	nuecc48	numuCC	5
A	cs	nuecc48	both	2
A	cs	ncpi0	nu_evaluated	19
A	cs	ncpi0	nueCC	1
A	cs	ncpi0	numuCC	5
A	cs	ncpi0	both	0
A	cs	mcp1k	nu_evaluated	463
A	cs	mcp1k	nueCC	1
A	cs	mcp1k	numuCC	268
A	cs	mcp1k	both	0
A	cs	mcp2k	nu_evaluated	905
A	cs	mcp2k	nueCC	4
A	cs	mcp2k	numuCC	524
A	cs	mcp2k	both	0
A	cs	ALL	nu_evaluated	1435
A	cs	ALL	nueCC	40
A	cs	ALL	numuCC	802
A	cs	ALL	both	2
A	p3bw	nuecc48	nu_evaluated	48
A	p3bw	nuecc48	nueCC	30
A	p3bw	nuecc48	numuCC	3
A	p3bw	nuecc48	both	0
A	p3bw	ncpi0	nu_evaluated	19
A	p3bw	ncpi0	nueCC	0
A	p3bw	ncpi0	numuCC	4
A	p3bw	ncpi0	both	0
A	p3bw	mcp1k	nu_evaluated	465
A	p3bw	mcp1k	nueCC	0
A	p3bw	mcp1k	numuCC	269
A	p3bw	mcp1k	both	0
A	p3bw	mcp2k	nu_evaluated	903
A	p3bw	mcp2k	nueCC	2
A	p3bw	mcp2k	numuCC	507
A	p3bw	mcp2k	both	0
A	p3bw	ALL	nu_evaluated	1435
A	p3bw	ALL	nueCC	32
A	p3bw	ALL	numuCC	783
A	p3bw	ALL	both	0
A	csp3bw	nuecc48	nu_evaluated	48
A	csp3bw	nuecc48	nueCC	32
A	csp3bw	nuecc48	numuCC	3
A	csp3bw	nuecc48	both	1
A	csp3bw	ncpi0	nu_evaluated	19
A	csp3bw	ncpi0	nueCC	2
A	csp3bw	ncpi0	numuCC	5
A	csp3bw	ncpi0	both	0
A	csp3bw	mcp1k	nu_evaluated	464
A	csp3bw	mcp1k	nueCC	0
A	csp3bw	mcp1k	numuCC	272
A	csp3bw	mcp1k	both	0
A	csp3bw	mcp2k	nu_evaluated	898
A	csp3bw	mcp2k	nueCC	3
A	csp3bw	mcp2k	numuCC	510
A	csp3bw	mcp2k	both	0
A	csp3bw	ALL	nu_evaluated	1429
A	csp3bw	ALL	nueCC	37
A	csp3bw	ALL	numuCC	790
A	csp3bw	ALL	both	1
A	tfull	nuecc48	nu_evaluated	48
A	tfull	nuecc48	nueCC	36
A	tfull	nuecc48	numuCC	5
A	tfull	nuecc48	both	0
