sample	event	class	A_deg	A_stub3	A_stub5	A_stub10	A_shortest	B_deg	B_stub3	B_stub5	B_stub10	B_shortest
mcp1k	166738	non-mover	2	0	0	0	81.6	2	0	0	0	79.9
mcp1k	166804	toward	2	0	1	1	3.1	2	0	0	1	6.4
mcp1k	166870	away	5	2	2	3	1.5	3	0	1	2	4.9
mcp1k	167112	non-mover	4	0	1	2	4.4	4	0	1	2	4.5
mcp1k	167684	non-mover	2	0	1	1	3.6	2	0	1	1	4.2
mcp1k	168526	non-mover	4	0	0	0	20.3	4	0	0	0	20.6
mcp1k	168658	non-mover	1	0	0	0	91.2	2	0	1	1	3.5
mcp1k	169356	non-mover	2	0	0	0	61.8	2	0	0	0	62.0
mcp1k	169488	non-mover	1	1	1	1	1.0	1	1	1	1	0.7
mcp1k	169598	non-mover	2	0	0	0	10.4	2	0	0	1	9.1
mcp1k	169620	non-mover	3	0	0	0	28.5	3	0	0	0	29.0
mcp1k	169774	non-mover	1	0	0	0	13.2	1	0	0	0	12.4
mcp1k	169824	non-mover	2	0	0	0	106.6	2	0	0	0	152.7
mcp1k	169846	non-mover	1	1	1	1	0.9	1	1	1	1	0.6
mcp1k	169890	non-mover	1	0	0	0	88.7	1	0	0	0	85.5
mcp1k	170792	non-mover	5	1	1	2	1.9	2	0	0	0	13.7
mcp1k	170808	non-mover	2	0	0	0	22.5	2	0	0	0	22.3
mcp1k	170814	non-mover	1	0	0	0	52.4	1	0	0	0	52.9
mcp1k	170880	non-mover	1	0	0	0	16.8	1	0	0	0	17.5
mcp1k	170924	non-mover	2	0	0	0	18.1	2	0	0	0	19.4
mcp1k	171358	non-mover	3	0	0	1	5.6	3	0	0	2	5.4
mcp1k	171600	non-mover	1	0	0	0	355.2	1	0	0	0	351.8
mcp1k	171892	away	1	1	1	1	0.4	1	1	1	1	0.7
mcp1k	172266	non-mover	4	0	2	2	3.8	3	0	1	1	3.4
mcp1k	172656	non-mover	1	0	0	0	255.2	1	0	0	0	258.9
