# pr150 traj compare A=pr150s0 B=pr150cs samples=['nuecc48', 'ncpi0'] A=67 B=67 common=67
| group | n | metric | A | B | delta (row-weighted) | paired better / worse (|d|>0.005) | sign p |
|---|---|---|---|---|---|---|---|
| all | 67 | R2D_W | 0.0279 | 0.0253 | -0.0026 | 30 / 17 | 0.0789 |
| all | 67 | R2D_U | 0.0279 | 0.0269 | -0.0010 | 24 / 25 | 1 |
| all | 67 | R2D_V | 0.0452 | 0.0389 | -0.0062 | 36 / 19 | 0.03 |
| all | 67 | R2Dpm1_W | 0.0140 | 0.0120 | -0.0019 | 19 / 12 | 0.281 |
| all | 67 | P1 | 0.1113 | 0.1109 | -0.0004 | 33 / 27 | 0.519 |
| all | 67 | P1_2 | 0.0081 | 0.0058 | -0.0024 | 14 / 5 | 0.0636 |
| all | 67 | P2 | 0.0505 | 0.0463 | -0.0042 | 33 / 19 | 0.0704 |
| all | 67 | P3 | 2.8199 | 2.8228 | +0.0029 | 32 / 33 | 1 |
| all | 67 | P4 | 0.6634 | 0.6616 | -0.0018 | 29 / 33 | 0.704 |
| all | 67 | uncov | 0.3071 | 0.3023 | -0.0048 | 30 / 27 | 0.791 |
| all | 67 | qneg | 0.0907 | 0.0903 | -0.0004 | 26 / 28 | 0.892 |
| all | 67 | wig1 | 0.2599 | 0.2634 | +0.0036 | 29 / 30 | 1 |
| all | 67 | med_d_W | 0.2479 | 0.2440 | -0.0039 | 32 / 21 | 0.169 |
| all | 67 | noslice_W | 0.0009 | 0.0007 | -0.0001 | 0 / 0 | nan |
| all | 67 | len_cm (sum) | 235471.3 | 238282.0 | +2810.7 | | |
| all | 67 | rows (sum) | 50606.0 | 51081.0 | +475.0 | | |
