idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1898200	0	nan
1	6505	130	12	1809016	0	nan
2	6512	130	13	1738540	0	nan
3	6520	130	17	1804092	0	nan
4	6528	130	12	1901832	0	nan
5	6529	130	12	1833048	0	nan
6	6532	130	18	2113236	0	nan
7	6536	130	12	1843716	0	nan
8	6545	130	14	1897728	0	nan
9	6550	130	10	1691776	0	nan
10	6570	131	21	2088624	0	nan
11	6588	131	10	1726860	0	nan
12	6604	132	26	2225124	0	nan
13	6606	132	13	1987464	0	nan
14	6612	132	14	2070472	0	nan
15	6642	132	18	2109092	0	nan
16	6650	132	13	2023196	0	nan
17	6711	134	11	1788524	0	nan
18	6748	134	14	1791292	0	nan
19	6775	135	11	1788756	0	nan
20	6786	135	17	2008608	0	nan
21	6804	136	13	1844172	0	nan
22	6805	136	12	1953208	0	nan
23	6806	136	13	2018736	0	nan
24	6821	136	13	1801384	0	nan
25	6822	136	17	2168004	0	nan
26	6837	136	14	2077376	0	nan
27	6844	136	14	2018508	0	nan
28	6852	137	14	1863824	0	nan
29	6867	137	13	1797824	0	nan
30	6874	137	21	2180732	0	nan
31	6878	137	16	1950596	0	nan
32	6887	137	11	1793396	0	nan
33	6888	137	21	2069336	0	nan
34	6898	137	11	1770532	0	nan
